State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Bidar,Bidar,GreenGram,9,5,01-Jan-2016
Karnataka,KK,Davangere,Davangere,GreenGram,9,2,01-Jan-2016
Karnataka,KK,Gadag,Gadag,GreenGram,9,4,01-Jan-2016
Karnataka,KK,Gulbarga,Chittapur,GreenGram,9,1,01-Jan-2016
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,64,01-Jan-2016
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,16,01-Jan-2016
Karnataka,KK,Mysore,Mysore (Bandipalya),GreenGram,9,6,01-Jan-2016
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,24,02-Jan-2016
Karnataka,KK,Bidar,Bidar,GreenGram,9,11,02-Jan-2016
Karnataka,KK,Gadag,Gadag,GreenGram,9,5,02-Jan-2016
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,62,02-Jan-2016
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,14,02-Jan-2016
Karnataka,KK,Bagalkot,Bagalakot,GreenGram,9,4,04-Jan-2016
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,28,04-Jan-2016
Karnataka,KK,Belgaum,Soundati,GreenGram,9,13,04-Jan-2016
Karnataka,KK,Gadag,Gadag,GreenGram,9,2,04-Jan-2016
Karnataka,KK,Gadag,Laxmeshwar,GreenGram,9,1,04-Jan-2016
Karnataka,KK,Gulbarga,Chittapur,GreenGram,9,2,04-Jan-2016
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,63,04-Jan-2016
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,38,04-Jan-2016
Karnataka,KK,Mysore,Mysore (Bandipalya),GreenGram,9,1,04-Jan-2016
Karnataka,KK,Udupi,Kundapura,GreenGram,9,1,04-Jan-2016
Karnataka,KK,Belgaum,Sankeshwar,GreenGram,9,24,05-Jan-2016
Karnataka,KK,Bidar,Bidar,GreenGram,9,10,05-Jan-2016
Karnataka,KK,Dharwad,Dharwar,GreenGram,9,11,05-Jan-2016
Karnataka,KK,Gadag,Gadag,GreenGram,9,1,05-Jan-2016
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,64,05-Jan-2016
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,41,05-Jan-2016
Karnataka,KK,Mysore,Mysore (Bandipalya),GreenGram,9,1,05-Jan-2016
Karnataka,KK,Tumkur,Tumkur,GreenGram,9,1,05-Jan-2016
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,38,06-Jan-2016
Karnataka,KK,Dharwad,Dharwar,GreenGram,9,27,06-Jan-2016
Karnataka,KK,Gadag,Gadag,GreenGram,9,8,06-Jan-2016
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,64,06-Jan-2016
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,30,06-Jan-2016
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,16,07-Jan-2016
Karnataka,KK,Bagalkot,Bagalakot,GreenGram,9,17,08-Jan-2016
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,79,08-Jan-2016
Karnataka,KK,Bidar,Bhalki,GreenGram,9,5,08-Jan-2016
Karnataka,KK,Davangere,Davangere,GreenGram,9,3,08-Jan-2016
Karnataka,KK,Gadag,Gadag,GreenGram,9,12,08-Jan-2016
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,58,08-Jan-2016
Karnataka,KK,Gulbarga,Sedam,GreenGram,9,3,08-Jan-2016
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,10,08-Jan-2016
Karnataka,KK,Kolar,Bangarpet,GreenGram,9,5,08-Jan-2016
Karnataka,KK,Gadag,Gadag,GreenGram,9,1,09-Jan-2016
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,57,09-Jan-2016
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,13,09-Jan-2016
Karnataka,KK,Kolar,Bangarpet,GreenGram,9,9,09-Jan-2016
Karnataka,KK,Bagalkot,Bagalakot,GreenGram,9,8,11-Jan-2016
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,86,11-Jan-2016
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,65,11-Jan-2016
Karnataka,KK,Mysore,Mysore (Bandipalya),GreenGram,9,22,11-Jan-2016
Karnataka,KK,Bangalore,Bangalore,GreenGram,9,37,12-Jan-2016
Karnataka,KK,Dharwad,Dharwar,GreenGram,9,21,12-Jan-2016
Karnataka,KK,Gadag,Gadag,GreenGram,9,1,12-Jan-2016
Karnataka,KK,Gulbarga,Gulbarga,GreenGram,9,62,12-Jan-2016
Karnataka,KK,Gulbarga,Yadgir,GreenGram,9,17,12-Jan-2016
Karnataka,KK,Mysore,Mysore (Bandipalya),GreenGram,9,18,12-Jan-2016
Karnataka,KK,Shimoga,Shimoga,GreenGram,9,2,12-Jan-2016
Karnataka,KK,Udupi,Kundapura,GreenGram,9,1,12-Jan-2016
