"Min,Max,Modal Price from Karnataka[Green Gram (Moong)(Whole)] from 01-Jan-2008To31-Dec-2008 (Total-2161) (Total-2161)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
763,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1865,2125,1900,2-Jan-08
762,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1931,2093,2000,4-Jan-08
1145,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,1835,2341,2020,4-Jan-08
621,Shimoga,Bhadravathi,Green Gram (Moong)(Whole),Green (Whole),FAQ,2800,3500,3150,4-Jan-08
589,Bidar,Basava Kalayana,Green Gram (Moong)(Whole),Green (Whole),FAQ,1600,1600,1600,5-Jan-08
829,Bijapur,Bijapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,1700,1925,1800,5-Jan-08
185,Bagalkot,Bagalakot,Green Gram (Moong)(Whole),Green (Whole),FAQ,1841,1841,1841,5-Jan-08
59,Bidar,Aurad,Green Gram (Moong)(Whole),Green (Whole),FAQ,1800,1951,1901,5-Jan-08
930,Dharwad,Dharwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1835,1938,1921,5-Jan-08
761,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1875,2076,2020,5-Jan-08
1144,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,1821,2339,2110,5-Jan-08
1746,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,2500,2800,2600,5-Jan-08
620,Shimoga,Bhadravathi,Green Gram (Moong)(Whole),Green (Whole),FAQ,2800,3500,3150,5-Jan-08
1303,Bidar,Humanabad,Green Gram (Moong)(Whole),Green (Whole),Medium,1841,1841,1841,6-Jan-08
1428,Koppal,Kustagi,Green Gram (Moong)(Whole),Green (Whole),FAQ,2320,2320,2320,6-Jan-08
1379,Koppal,Koppal,Green Gram (Moong)(Whole),Green (Whole),FAQ,1556,1556,1556,7-Jan-08
588,Bidar,Basava Kalayana,Green Gram (Moong)(Whole),Green (Whole),FAQ,1599,1599,1599,7-Jan-08
828,Bijapur,Bijapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,1700,1900,1800,7-Jan-08
1614,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1689,2081,1911,7-Jan-08
760,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1948,1948,1948,7-Jan-08
58,Bidar,Aurad,Green Gram (Moong)(Whole),Green (Whole),FAQ,1000,1955,1950,7-Jan-08
1143,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,1835,2251,2055,7-Jan-08
67,Bagalkot,Badami,Green Gram (Moong)(Whole),Green (Whole),Medium,2450,2450,2450,7-Jan-08
419,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,2500,2700,2600,7-Jan-08
2034,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,2800,2800,2800,7-Jan-08
418,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,2500,2700,2600,8-Jan-08
1745,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,2750,3100,2900,8-Jan-08
759,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1795,1795,1795,9-Jan-08
827,Bijapur,Bijapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,1600,1900,1800,9-Jan-08
1268,Dharwad,Hubli (Amaragol),Green Gram (Moong)(Whole),Green (Whole),FAQ,1769,1809,1809,9-Jan-08
1142,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,1835,2291,2020,9-Jan-08
184,Bagalkot,Bagalakot,Green Gram (Moong)(Whole),Green (Whole),FAQ,1811,2125,2021,9-Jan-08
417,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,2500,2700,2600,9-Jan-08
1744,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,2750,3100,2900,9-Jan-08
1613,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1555,2188,1860,10-Jan-08
587,Bidar,Basava Kalayana,Green Gram (Moong)(Whole),Green (Whole),FAQ,2000,2226,2000,10-Jan-08
