State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Bangalore,Bangalore,Groundnut,10,2,01-Jan-2013
Karnataka,KK,Dharwad,Hubli (Amaragol),Groundnut,10,8,01-Jan-2013
Karnataka,KK,Gadag,Gadag,Groundnut,10,21,01-Jan-2013
Karnataka,KK,Gadag,Laxmeshwar,Groundnut,10,8,01-Jan-2013
Karnataka,KK,Gadag,Mundaragi,Groundnut,10,8,01-Jan-2013
Karnataka,KK,Gadag,Rona,Groundnut,10,7,01-Jan-2013
Karnataka,KK,Gulbarga,Yadgir,Groundnut,10,18,01-Jan-2013
Karnataka,KK,Haveri,Savanur,Groundnut,10,1,01-Jan-2013
Karnataka,KK,Kolar,Mulabagilu,Groundnut,10,2,01-Jan-2013
Karnataka,KK,Raichur,Raichur,Groundnut,10,22,01-Jan-2013
Karnataka,KK,Tumkur,Madhugiri,Groundnut,10,5,01-Jan-2013
Karnataka,KK,Bagalkot,Bagalakot,Groundnut,10,1,02-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Groundnut,10,1,02-Jan-2013
Karnataka,KK,Bellary,Bellary,Groundnut,10,15,02-Jan-2013
Karnataka,KK,Chitradurga,Challakere,Groundnut,10,25,02-Jan-2013
Karnataka,KK,Chitradurga,Chitradurga,Groundnut,10,30,02-Jan-2013
Karnataka,KK,Dharwad,Hubli (Amaragol),Groundnut,10,5,02-Jan-2013
Karnataka,KK,Gadag,Gadag,Groundnut,10,24,02-Jan-2013
Karnataka,KK,Gadag,Laxmeshwar,Groundnut,10,37,02-Jan-2013
Karnataka,KK,Gadag,Mundaragi,Groundnut,10,11,02-Jan-2013
Karnataka,KK,Gadag,Rona,Groundnut,10,4,02-Jan-2013
Karnataka,KK,Gulbarga,Yadgir,Groundnut,10,11,02-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Groundnut,10,1,02-Jan-2013
Karnataka,KK,Raichur,Raichur,Groundnut,10,33,02-Jan-2013
Karnataka,KK,Tumkur,Pavagada,Groundnut,10,139,02-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Groundnut,10,2,03-Jan-2013
Karnataka,KK,Dharwad,Hubli (Amaragol),Groundnut,10,14,03-Jan-2013
Karnataka,KK,Gadag,Gadag,Groundnut,10,20,03-Jan-2013
Karnataka,KK,Gadag,Laxmeshwar,Groundnut,10,24,03-Jan-2013
Karnataka,KK,Gadag,Mundaragi,Groundnut,10,12,03-Jan-2013
Karnataka,KK,Gadag,Rona,Groundnut,10,5,03-Jan-2013
Karnataka,KK,Gulbarga,Yadgir,Groundnut,10,26,03-Jan-2013
Karnataka,KK,Haveri,Savanur,Groundnut,10,12,03-Jan-2013
Karnataka,KK,Raichur,Raichur,Groundnut,10,21,03-Jan-2013
Karnataka,KK,Tumkur,Madhugiri,Groundnut,10,14,03-Jan-2013
Karnataka,KK,Tumkur,Sira,Groundnut,10,44,03-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Groundnut,10,4,04-Jan-2013
Karnataka,KK,Bellary,Bellary,Groundnut,10,24,04-Jan-2013
Karnataka,KK,Bellary,Kottur,Groundnut,10,80,04-Jan-2013
Karnataka,KK,Chitradurga,Chitradurga,Groundnut,10,29,04-Jan-2013
Karnataka,KK,Dharwad,Hubli (Amaragol),Groundnut,10,1,04-Jan-2013
Karnataka,KK,Gadag,Gadag,Groundnut,10,24,04-Jan-2013
Karnataka,KK,Gadag,Laxmeshwar,Groundnut,10,113,04-Jan-2013
Karnataka,KK,Gadag,Mundaragi,Groundnut,10,7,04-Jan-2013
Karnataka,KK,Gadag,Rona,Groundnut,10,4,04-Jan-2013
Karnataka,KK,Gulbarga,Yadgir,Groundnut,10,5,04-Jan-2013
Karnataka,KK,Haveri,Haveri,Groundnut,10,2,04-Jan-2013
Karnataka,KK,Kolar,Chickkaballapura,Groundnut,10,2,04-Jan-2013
Karnataka,KK,Kolar,Kolar,Groundnut,10,14,04-Jan-2013
Karnataka,KK,Kolar,Mulabagilu,Groundnut,10,2,04-Jan-2013
Karnataka,KK,Koppal,Koppal,Groundnut,10,1,04-Jan-2013
