"Min,Max,Modal Price from Karnataka[Groundnut] from 01-Jan-2016To31-Dec-2016 (Total-4325) (Total-4325)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
290,Bagalkot,Bagalakot,Groundnut,Gejje,Medium,2831,4429,3538,1-Jan-16
358,Chikmagalur,Bagepalli,Groundnut,Other,FAQ,4040,4050,4040,1-Jan-16
703,Bijapur,Bijapur,Groundnut,Gejje,FAQ,4200,4500,4400,1-Jan-16
823,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3000,5501,4521,1-Jan-16
956,Chitradurga,Chitradurga,Groundnut,Natte,FAQ,2000,5418,4781,1-Jan-16
1100,Davangere,Davangere,Groundnut,Gejje,FAQ,2720,2720,2720,1-Jan-16
1573,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,3142,4251,4053,1-Jan-16
1574,Gadag,Gadag,Groundnut,Gejje,FAQ,3159,4469,4212,1-Jan-16
2313,Koppal,Koppal,Groundnut,Gejje,FAQ,3069,5329,5001,1-Jan-16
2381,Bellary,Kottur,Groundnut,Natte,FAQ,2089,5410,4859,1-Jan-16
2737,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,4129,4429,4236,1-Jan-16
2738,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,4033,5299,4229,1-Jan-16
3078,Gadag,Mundaragi,Groundnut,Gejje,FAQ,2389,5273,3533,1-Jan-16
3224,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,3391,4689,4160,1-Jan-16
3491,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2878,4838,4618,1-Jan-16
3852,Gadag,Rona,Groundnut,Gejje,FAQ,2792,5272,3850,1-Jan-16
4098,Tumkur,Sira,Groundnut,Other,FAQ,3690,4630,4289,1-Jan-16
4308,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,4241,4557,4252,1-Jan-16
289,Bagalkot,Bagalakot,Groundnut,Gejje,Medium,2829,2869,2846,2-Jan-16
533,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3800,4000,3900,2-Jan-16
1571,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,3142,4350,4095,2-Jan-16
1572,Gadag,Gadag,Groundnut,Gejje,FAQ,2469,5290,4242,2-Jan-16
1706,Chitradurga,Hiriyur,Groundnut,Big (With Shell),FAQ,3479,5092,4610,2-Jan-16
2098,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,3630,4000,3746,2-Jan-16
2099,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,2729,4603,3519,2-Jan-16
2312,Koppal,Koppal,Groundnut,Gejje,FAQ,3069,5329,5001,2-Jan-16
2462,Udupi,Kundapura,Groundnut,Gejje,FAQ,2700,3000,2900,2-Jan-16
2735,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,4219,4428,4299,2-Jan-16
2736,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,4129,5291,4569,2-Jan-16
3077,Gadag,Mundaragi,Groundnut,Gejje,FAQ,1389,5499,3763,2-Jan-16
3223,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,3304,4030,3869,2-Jan-16
3490,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,3194,4966,4794,2-Jan-16
3851,Gadag,Rona,Groundnut,Gejje,FAQ,2850,5423,4010,2-Jan-16
3969,Haveri,Savanur,Groundnut,Gejje,FAQ,2739,4879,3500,2-Jan-16
4307,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,4569,5039,4709,2-Jan-16
2500,Koppal,Kustagi,Groundnut,Gejje,FAQ,2931,5409,3450,3-Jan-16
3561,Belgaum,Ramdurga,Groundnut,Gejje,FAQ,2979,5189,3864,3-Jan-16
62,Bagalkot,Badami,Groundnut,Gejje,Small,4000,4000,4000,4-Jan-16
288,Bagalkot,Bagalakot,Groundnut,Gejje,Medium,3049,4529,3851,4-Jan-16
357,Chikmagalur,Bagepalli,Groundnut,Other,FAQ,4040,4100,4050,4-Jan-16
656,Bellary,Bellary,Groundnut,Big (With Shell),FAQ,1401,5306,4508,4-Jan-16
822,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3000,5175,4603,4-Jan-16
955,Chitradurga,Chitradurga,Groundnut,Natte,FAQ,1921,6621,4846,4-Jan-16
1099,Davangere,Davangere,Groundnut,Gejje,FAQ,3610,5110,4483,4-Jan-16
1569,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,3246,4509,4102,4-Jan-16
1570,Gadag,Gadag,Groundnut,Gejje,FAQ,2601,5259,4751,4-Jan-16
2095,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,2069,4109,3309,4-Jan-16
2096,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,4509,4613,4543,4-Jan-16
2097,Dharwad,Hubli (Amaragol),Groundnut,Hybrid,FAQ,2469,4483,3759,4-Jan-16
2733,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,4045,4369,4109,4-Jan-16
2734,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,4055,5369,4099,4-Jan-16
2803,Tumkur,Madhugiri,Groundnut,Natte,FAQ,3100,4500,3800,4-Jan-16
2829,Kolar,Mulabagilu,Groundnut,Other,FAQ,4000,4200,4100,4-Jan-16
3222,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,3510,5021,4291,4-Jan-16
3489,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,3005,5309,4939,4-Jan-16
3968,Haveri,Savanur,Groundnut,Gejje,FAQ,1108,5686,4025,4-Jan-16
4195,Tumkur,Tumkur,Groundnut,Other,FAQ,3650,4200,3980,4-Jan-16
4306,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,4277,5051,4845,4-Jan-16
287,Bagalkot,Bagalakot,Groundnut,Gejje,Medium,2471,5111,3978,5-Jan-16
356,Chikmagalur,Bagepalli,Groundnut,Other,FAQ,4040,4100,4050,5-Jan-16
532,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3800,4000,3900,5-Jan-16
821,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3169,5139,4607,5-Jan-16
847,Kolar,Chintamani,Groundnut,Big (With Shell),FAQ,3500,4200,4000,5-Jan-16
1567,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,3211,4519,4113,5-Jan-16
1568,Gadag,Gadag,Groundnut,Gejje,FAQ,2709,4970,4313,5-Jan-16
1666,Bellary,H.B. Halli,Groundnut,Big (With Shell),Medium,4150,4150,4150,5-Jan-16
2092,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,3476,3539,3476,5-Jan-16
2093,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,2729,3919,2789,5-Jan-16
2094,Dharwad,Hubli (Amaragol),Groundnut,Hybrid,FAQ,4509,4509,4509,5-Jan-16
2311,Koppal,Koppal,Groundnut,Gejje,FAQ,3609,5359,5069,5-Jan-16
2731,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,4079,4315,4169,5-Jan-16
2732,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,4103,5489,4889,5-Jan-16
2802,Tumkur,Madhugiri,Groundnut,Natte,FAQ,3100,4500,3800,5-Jan-16
2828,Kolar,Mulabagilu,Groundnut,Other,FAQ,4000,4200,4100,5-Jan-16
3221,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,2819,4030,2850,5-Jan-16
3488,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,3220,5050,4789,5-Jan-16
3967,Haveri,Savanur,Groundnut,Gejje,FAQ,3919,5372,4551,5-Jan-16
4305,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3609,5212,4279,5-Jan-16
286,Bagalkot,Bagalakot,Groundnut,Gejje,Medium,2790,3012,2858,6-Jan-16
531,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3800,4000,3900,6-Jan-16
655,Bellary,Bellary,Groundnut,Big (With Shell),FAQ,2500,5929,4548,6-Jan-16
820,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3000,5269,4684,6-Jan-16
1565,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,3205,4509,4109,6-Jan-16
1566,Gadag,Gadag,Groundnut,Gejje,FAQ,2280,5521,4751,6-Jan-16
2091,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,3861,3861,3861,6-Jan-16
2401,Dharwad,Kundagol,Groundnut,Balli/Habbu,FAQ,4000,4000,4000,6-Jan-16
2729,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,4099,4359,4118,6-Jan-16
2730,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,4109,5379,5069,6-Jan-16
3487,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2878,5011,4889,6-Jan-16
4304,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,4182,5129,4699,6-Jan-16
355,Chikmagalur,Bagepalli,Groundnut,Other,FAQ,4040,4100,4050,7-Jan-16
530,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3800,4000,3900,7-Jan-16
285,Bagalkot,Bagalakot,Groundnut,Gejje,Medium,3519,3519,3519,8-Jan-16
354,Chikmagalur,Bagepalli,Groundnut,Other,FAQ,4040,4100,4050,8-Jan-16
529,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3800,4000,3900,8-Jan-16
654,Bellary,Bellary,Groundnut,Big (With Shell),FAQ,2400,5270,4374,8-Jan-16
819,Chitradurga,Challakere,Groundnut,Gejje,FAQ,2900,5309,4602,8-Jan-16
954,Chitradurga,Chitradurga,Groundnut,Natte,FAQ,2129,5609,4946,8-Jan-16
1564,Gadag,Gadag,Groundnut,Gejje,FAQ,3102,5071,4311,8-Jan-16
2089,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,3669,3669,3669,8-Jan-16
2090,Dharwad,Hubli (Amaragol),Groundnut,Hybrid,FAQ,4679,4679,4679,8-Jan-16
2310,Koppal,Koppal,Groundnut,Gejje,FAQ,1509,5453,5149,8-Jan-16
2380,Bellary,Kottur,Groundnut,Natte,FAQ,2159,6729,4800,8-Jan-16
2728,Gadag,Laxmeshwar,Groundnut,Gejje,FAQ,4110,5343,4592,8-Jan-16
2801,Tumkur,Madhugiri,Groundnut,Natte,FAQ,2800,4500,4000,8-Jan-16
3076,Gadag,Mundaragi,Groundnut,Gejje,FAQ,1019,4841,3532,8-Jan-16
3486,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2849,5269,4856,8-Jan-16
4303,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3719,4949,4229,8-Jan-16
284,Bagalkot,Bagalakot,Groundnut,Gejje,Medium,2445,3021,2740,9-Jan-16
846,Kolar,Chintamani,Groundnut,Big (With Shell),FAQ,4100,4300,4200,9-Jan-16
1562,Gadag,Gadag,Groundnut,Balli/Habbu,FAQ,2068,4519,4010,9-Jan-16
1563,Gadag,Gadag,Groundnut,Gejje,FAQ,3019,6678,4350,9-Jan-16
1705,Chitradurga,Hiriyur,Groundnut,Big (With Shell),FAQ,3330,5092,4650,9-Jan-16
2087,Dharwad,Hubli (Amaragol),Groundnut,Balli/Habbu,FAQ,3139,4013,3300,9-Jan-16
2088,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,4773,4773,4773,9-Jan-16
2309,Koppal,Koppal,Groundnut,Gejje,FAQ,1509,5453,5149,9-Jan-16
2461,Udupi,Kundapura,Groundnut,Gejje,FAQ,2500,2700,2600,9-Jan-16
2727,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,4056,4239,4129,9-Jan-16
3075,Gadag,Mundaragi,Groundnut,Gejje,FAQ,3199,5111,4046,9-Jan-16
3485,Raichur,Raichur,Groundnut,Gungri (With Shell),FAQ,2690,4969,4739,9-Jan-16
3966,Haveri,Savanur,Groundnut,Gejje,FAQ,4159,4159,4159,9-Jan-16
4302,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3209,5219,4949,9-Jan-16
845,Kolar,Chintamani,Groundnut,Big (With Shell),FAQ,4100,4300,4200,10-Jan-16
1665,Bellary,H.B. Halli,Groundnut,Big (With Shell),FAQ,4000,4000,4000,10-Jan-16
2499,Koppal,Kustagi,Groundnut,Gejje,FAQ,4911,5409,5350,10-Jan-16
3560,Belgaum,Ramdurga,Groundnut,Gejje,Medium,2229,5189,3795,10-Jan-16
283,Bagalkot,Bagalakot,Groundnut,Gejje,Medium,5021,5021,5021,11-Jan-16
353,Chikmagalur,Bagepalli,Groundnut,Other,FAQ,4040,4100,4050,11-Jan-16
528,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3800,4000,3900,11-Jan-16
818,Chitradurga,Challakere,Groundnut,Gejje,FAQ,2800,5111,4000,11-Jan-16
844,Kolar,Chintamani,Groundnut,Big (With Shell),FAQ,4100,4300,4200,11-Jan-16
953,Chitradurga,Chitradurga,Groundnut,Natte,FAQ,2009,5279,4819,11-Jan-16
1098,Davangere,Davangere,Groundnut,Gejje,FAQ,3169,5210,4026,11-Jan-16
1664,Bellary,H.B. Halli,Groundnut,Big (With Shell),Medium,4600,4700,4700,11-Jan-16
2085,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,1653,4802,3540,11-Jan-16
2086,Dharwad,Hubli (Amaragol),Groundnut,Hybrid,FAQ,4802,4802,4802,11-Jan-16
2726,Gadag,Laxmeshwar,Groundnut,Balli/Habbu,FAQ,4069,5349,4070,11-Jan-16
2800,Tumkur,Madhugiri,Groundnut,Natte,FAQ,3000,5029,3800,11-Jan-16
2827,Kolar,Mulabagilu,Groundnut,Other,FAQ,4000,4200,4100,11-Jan-16
3074,Gadag,Mundaragi,Groundnut,Gejje,FAQ,1289,5209,3845,11-Jan-16
3850,Gadag,Rona,Groundnut,Gejje,FAQ,2890,5490,3850,11-Jan-16
3965,Haveri,Savanur,Groundnut,Gejje,FAQ,2828,5661,4103,11-Jan-16
4039,Gulbarga,Shorapur,Groundnut,Gejje,FAQ,3800,4862,4220,11-Jan-16
4301,Gulbarga,Yadgir,Groundnut,Big (With Shell),FAQ,3710,4711,4138,11-Jan-16
282,Bagalkot,Bagalakot,Groundnut,Gejje,Medium,2859,3299,2971,12-Jan-16
352,Chikmagalur,Bagepalli,Groundnut,Other,FAQ,4040,4100,4050,12-Jan-16
527,Bangalore,Bangalore,Groundnut,Big (With Shell),FAQ,3800,4000,3900,12-Jan-16
817,Chitradurga,Challakere,Groundnut,Gejje,FAQ,3000,4919,4366,12-Jan-16
1097,Davangere,Davangere,Groundnut,Gejje,FAQ,3390,4030,3550,12-Jan-16
