"Crop Production Statistics",,,,,
,,,,,
"State/Crop/District","Year","Season","Area (Hectare)","Production (Tonnes)","Yield (Tonnes/Hectare)"
"Karnataka",,,,,
"Jowar",,,,,
" 1.BAGALKOTE"," 2008-09","Kharif     ",5239,9125,1.74
,,"Rabi       ",134783,162768,1.21
,,"Total",140022,171893,1.23
," 2009-10","Kharif     ",5189,3769,0.73
,,"Rabi       ",110368,117488,1.06
,,"Total",115557,121257,1.05
," 2010-11","Kharif     ",3707,10608,2.86
,,"Rabi       ",102139,116792,1.14
,,"Total",105846,127400,1.20
," 2011-12","Kharif     ",6439,14927,2.32
,,"Rabi       ",104924,96699,0.92
,,"Summer     ",28,51,1.82
,,"Total",111391,111677,1.00
," 2012-13","Kharif     ",1708,3141,1.84
,,"Rabi       ",118324,151076,1.28
,,"Total",120032,154217,1.28
," 2013-14","Kharif     ",2708,4757,1.76
,,"Rabi       ",113387,109980,0.97
,,"Total",116095,114737,0.99
," 2014-15","Kharif     ",965,1492,1.55
,,"Rabi       ",104822,102867,0.98
,,"Total",105787,104359,0.99
," 2015-16","Kharif     ",1455,1697,1.17
,,"Rabi       ",109159,92398,0.85
,,"Total",110614,94095,0.85
," 2016-17","Kharif     ",969,1662,1.72
,,"Rabi       ",97615,46831,0.48
,,"Total",98584,48493,0.49
," 2017-18","Kharif     ",354,1078,3.05
,,"Rabi       ",110581,128268,1.16
,,"Total",110935,129346,1.17
," 2018-19","Kharif     ",1144,2776,2.43
,,"Rabi       ",95092,65314,0.69
,,"Total",96236,68090,0.71
" 2.BALLARI"," 2008-09","Kharif     ",29507,32475,1.10
,,"Rabi       ",25723,32753,1.27
,,"Summer     ",1085,2472,2.28
,,"Total",56315,67700,1.20
," 2009-10","Kharif     ",30529,28300,0.93
,,"Rabi       ",24292,26979,1.11
,,"Summer     ",727,2210,3.04
,,"Total",55548,57489,1.03
," 2010-11","Kharif     ",28537,40568,1.42
,,"Rabi       ",20656,29007,1.40
,,"Summer     ",386,1618,4.19
,,"Total",49579,71193,1.44
," 2011-12","Kharif     ",26778,31726,1.18
,,"Rabi       ",11332,22252,1.96
,,"Summer     ",4075,7456,1.83
,,"Total",42185,61434,1.46
," 2012-13","Kharif     ",13928,17849,1.28
,,"Rabi       ",22034,26584,1.21
,,"Summer     ",2034,3244,1.59
,,"Total",37996,47677,1.25
," 2013-14","Kharif     ",31439,55672,1.77
,,"Rabi       ",17618,21323,1.21
,,"Summer     ",2537,4107,1.62
,,"Total",51594,81102,1.57
," 2014-15","Kharif     ",21316,40197,1.89
,,"Rabi       ",17366,25588,1.47
,,"Summer     ",897,1604,1.79
,,"Total",39579,67389,1.70
," 2015-16","Kharif     ",17106,28000,1.64
,,"Rabi       ",31225,53246,1.71
,,"Summer     ",1901,4972,2.62
,,"Total",50232,86218,1.72
