State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Belgaum,Belgaum,Jowar,5,1,01-Jan-2017
Karnataka,KK,Bellary,H.B. Halli,Jowar,5,3,01-Jan-2017
Karnataka,KK,Bidar,Humanabad,Jowar,5,3,01-Jan-2017
Karnataka,KK,Bagalkot,Badami,Jowar,5,2,02-Jan-2017
Karnataka,KK,Bangalore,Bangalore,Jowar,5,21,02-Jan-2017
Karnataka,KK,Belgaum,Belgaum,Jowar,5,1,02-Jan-2017
Karnataka,KK,Bellary,Bellary,Jowar,5,1,02-Jan-2017
Karnataka,KK,Bellary,H.B. Halli,Jowar,5,18,02-Jan-2017
Karnataka,KK,Bidar,Basava Kalayana,Jowar,5,16,02-Jan-2017
Karnataka,KK,Bidar,Bidar,Jowar,5,25,02-Jan-2017
Karnataka,KK,Bijapur,Bijapur,Jowar,5,6,02-Jan-2017
Karnataka,KK,Gadag,Gadag,Jowar,5,3,02-Jan-2017
Karnataka,KK,Haveri,Savanur,Jowar,5,1,02-Jan-2017
Karnataka,KK,Raichur,Manvi,Jowar,5,14,02-Jan-2017
Karnataka,KK,Bangalore,Bangalore,Jowar,5,2,03-Jan-2017
Karnataka,KK,Bidar,Basava Kalayana,Jowar,5,7,03-Jan-2017
Karnataka,KK,Bidar,Bidar,Jowar,5,21,03-Jan-2017
Karnataka,KK,Gadag,Gadag,Jowar,5,3,03-Jan-2017
Karnataka,KK,Gulbarga,Gulbarga,Jowar,5,20,03-Jan-2017
Karnataka,KK,Haveri,Haveri,Jowar,5,2,03-Jan-2017
Karnataka,KK,Raichur,Manvi,Jowar,5,10,03-Jan-2017
Karnataka,KK,Bangalore,Bangalore,Jowar,5,51,04-Jan-2017
Karnataka,KK,Belgaum,Belgaum,Jowar,5,1,04-Jan-2017
Karnataka,KK,Bellary,Kottur,Jowar,5,27,04-Jan-2017
Karnataka,KK,Bidar,Basava Kalayana,Jowar,5,13,04-Jan-2017
Karnataka,KK,Bidar,Bidar,Jowar,5,15,04-Jan-2017
Karnataka,KK,Bidar,Humanabad,Jowar,5,6,04-Jan-2017
Karnataka,KK,Davangere,Harappana Halli,Jowar,5,17,04-Jan-2017
Karnataka,KK,Gadag,Gadag,Jowar,5,1,04-Jan-2017
Karnataka,KK,Gadag,Rona,Jowar,5,1,04-Jan-2017
Karnataka,KK,Gulbarga,Gulbarga,Jowar,5,22,04-Jan-2017
Karnataka,KK,Raichur,Manvi,Jowar,5,15,04-Jan-2017
Karnataka,KK,Bagalkot,Jamakhandi,Jowar,5,3,05-Jan-2017
Karnataka,KK,Bangalore,Bangalore,Jowar,5,16,05-Jan-2017
Karnataka,KK,Bellary,Kottur,Jowar,5,6,05-Jan-2017
Karnataka,KK,Bidar,Basava Kalayana,Jowar,5,9,05-Jan-2017
Karnataka,KK,Bidar,Bidar,Jowar,5,21,05-Jan-2017
Karnataka,KK,Bijapur,Bijapur,Jowar,5,1,05-Jan-2017
Karnataka,KK,Gadag,Gadag,Jowar,5,1,05-Jan-2017
Karnataka,KK,Gulbarga,Gulbarga,Jowar,5,23,05-Jan-2017
Karnataka,KK,Raichur,Manvi,Jowar,5,20,05-Jan-2017
Karnataka,KK,Raichur,Raichur,Jowar,5,2,05-Jan-2017
Karnataka,KK,Bellary,Bellary,Jowar,5,1,07-Jan-2017
Karnataka,KK,Bidar,Basava Kalayana,Jowar,5,14,07-Jan-2017
Karnataka,KK,Bidar,Bidar,Jowar,5,23,07-Jan-2017
Karnataka,KK,Bijapur,Bijapur,Jowar,5,1,07-Jan-2017
Karnataka,KK,Dharwad,Dharwar,Jowar,5,2,07-Jan-2017
Karnataka,KK,Gadag,Gadag,Jowar,5,9,07-Jan-2017
