"Min,Max,Modal Price from Karnataka[Jowar(Sorghum)] from 01-Jan-2014To31-Dec-2014 (Total-4410) (Total-4410)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
3097,Dharwad,Hubli (Amaragol),Jowar(Sorghum),Jowar ( White),Medium,1186,1526,1326,2-Jan-14
376,Bangalore,Bangalore,Jowar(Sorghum),Jowar ( White),Medium,1500,2400,1800,3-Jan-14
377,Bangalore,Bangalore,Jowar(Sorghum),Jowar ( White),FAQ,1500,2400,1800,3-Jan-14
608,Bidar,Basava Kalayana,Jowar(Sorghum),Jowar ( White),FAQ,1701,1701,1701,3-Jan-14
609,Bidar,Basava Kalayana,Jowar(Sorghum),Hybrid,FAQ,1050,1150,1095,3-Jan-14
876,Belgaum,Belgaum,Jowar(Sorghum),Jowar ( White),Medium,1400,1600,1500,3-Jan-14
877,Belgaum,Belgaum,Jowar(Sorghum),Jowar ( White),FAQ,1400,1600,1500,3-Jan-14
1118,Bellary,Bellary,Jowar(Sorghum),Jowar Hybrid,Medium,1212,1666,1568,3-Jan-14
1119,Bellary,Bellary,Jowar(Sorghum),Jowar Hybrid,FAQ,1212,1666,1568,3-Jan-14
1351,Bidar,Bidar,Jowar(Sorghum),Jowar ( White),Medium,2000,2800,2540,3-Jan-14
1352,Bidar,Bidar,Jowar(Sorghum),Jowar ( White),FAQ,2000,2800,2540,3-Jan-14
1353,Bidar,Bidar,Jowar(Sorghum),Jowar Hybrid,Medium,1100,1600,1400,3-Jan-14
1354,Bidar,Bidar,Jowar(Sorghum),Jowar Hybrid,FAQ,1100,1600,1400,3-Jan-14
1498,Bijapur,Bijapur,Jowar(Sorghum),Jowar ( White),Medium,1300,1400,1350,3-Jan-14
1499,Bijapur,Bijapur,Jowar(Sorghum),Jowar ( White),FAQ,1300,1400,1350,3-Jan-14
1668,Gulbarga,Chittapur,Jowar(Sorghum),Jowar ( White),Medium,1800,1800,1800,3-Jan-14
1669,Gulbarga,Chittapur,Jowar(Sorghum),Jowar ( White),FAQ,1800,1800,1800,3-Jan-14
2026,Gadag,Gadag,Jowar(Sorghum),Jowar ( White),Medium,1025,1689,1400,3-Jan-14
