"Crop Production Statistics",,,,,
,,,,,
"State/Crop/District","Year","Season","Area (Hectare)","Production (Tonnes)","Yield (Tonnes/Hectare)"
"Karnataka",,,,,
"Maize",,,,,
" 1.BAGALKOTE"," 2008-09","Kharif     ",44405,160977,3.63
,,"Rabi       ",20427,73062,3.58
,,"Summer     ",2834,9192,3.24
,,"Total",67666,243231,3.59
," 2009-10","Kharif     ",59425,124102,2.09
,,"Rabi       ",20192,63865,3.16
,,"Summer     ",2413,9552,3.96
,,"Total",82030,197519,2.41
," 2010-11","Kharif     ",60240,242030,4.02
,,"Rabi       ",24819,64462,2.60
,,"Summer     ",2961,9446,3.19
,,"Total",88020,315938,3.59
," 2011-12","Kharif     ",55883,197044,3.53
,,"Rabi       ",24019,74159,3.09
,,"Summer     ",2395,8680,3.62
,,"Total",82297,279883,3.40
," 2012-13","Kharif     ",41945,106154,2.53
,,"Rabi       ",24328,63025,2.59
,,"Summer     ",2192,8432,3.85
,,"Total",68465,177611,2.59
," 2013-14","Kharif     ",51814,183308,3.54
,,"Rabi       ",20503,67647,3.30
,,"Summer     ",2825,8384,2.97
,,"Total",75142,259339,3.45
," 2014-15","Kharif     ",44472,166543,3.74
,,"Rabi       ",20789,81388,3.91
,,"Summer     ",2820,9746,3.46
,,"Total",68081,257677,3.78
," 2015-16","Kharif     ",27789,102932,3.70
,,"Rabi       ",13864,45242,3.26
,,"Summer     ",2647,9261,3.50
,,"Total",44300,157435,3.55
," 2016-17","Kharif     ",52604,204393,3.89
,,"Rabi       ",10980,43445,3.96
,,"Summer     ",2263,7819,3.46
,,"Total",65847,255657,3.88
," 2017-18","Kharif     ",41804,191023,4.57
,,"Rabi       ",18938,79287,4.19
,,"Summer     ",2174,11438,5.26
,,"Total",62916,281748,4.48
," 2018-19","Kharif     ",48516,202244,4.17
,,"Rabi       ",17465,63165,3.62
,,"Summer     ",2064,8888,4.31
,,"Total",68045,274297,4.03
" 2.BALLARI"," 2008-09","Kharif     ",81737,221134,2.71
,,"Rabi       ",3418,7487,2.19
,,"Summer     ",2305,6160,2.67
,,"Total",87460,234781,2.68
," 2009-10","Kharif     ",97077,189500,1.95
,,"Rabi       ",2216,4954,2.24
,,"Summer     ",1224,3688,3.01
,,"Total",100517,198142,1.97
," 2010-11","Kharif     ",89370,254848,2.85
,,"Rabi       ",2383,5957,2.50
,,"Summer     ",1740,6486,3.73
,,"Total",93493,267291,2.86
," 2011-12","Kharif     ",98727,207485,2.10
,,"Rabi       ",2976,9830,3.30
,,"Summer     ",1947,4591,2.36
,,"Total",103650,221906,2.14
," 2012-13","Kharif     ",104728,241566,2.31
,,"Rabi       ",2129,6385,3.00
,,"Summer     ",2260,6523,2.89
,,"Total",109117,254474,2.33
," 2013-14","Kharif     ",80459,220977,2.75
,,"Rabi       ",2470,7070,2.86
,,"Summer     ",1698,6085,3.58
,,"Total",84627,234132,2.77
," 2014-15","Kharif     ",95624,249999,2.61
,,"Rabi       ",2369,6468,2.73
,,"Summer     ",1859,4812,2.59
,,"Total",99852,261279,2.62
," 2015-16","Kharif     ",91764,241564,2.63
,,"Rabi       ",5829,16186,2.78
,,"Summer     ",2146,5578,2.60
,,"Total",99739,263328,2.64
," 2016-17","Kharif     ",92825,247532,2.67
,,"Rabi       ",1894,2039,1.08
,,"Summer     ",382,1019,2.67
,,"Total",95101,250590,2.63
," 2017-18","Kharif     ",94305,363107,3.85
,,"Rabi       ",3105,11905,3.83
,,"Summer     ",408,1531,3.75
,,"Total",97818,376543,3.85
," 2018-19","Kharif     ",188994,509726,2.70
,,"Rabi       ",14595,44341,3.04
,,"Summer     ",325,1120,3.45
,,"Total",203914,555187,2.72
" 3.BANGALORE RURAL"," 2008-09","Kharif     ",10115,48324,4.78
,,"Rabi       ",85,268,3.15
,,"Summer     ",152,478,3.14
,,"Total",10352,49070,4.74
," 2009-10","Kharif     ",10788,50013,4.64
,,"Rabi       ",37,98,2.65
,,"Summer     ",110,301,2.74
,,"Total",10935,50412,4.61
," 2010-11","Kharif     ",10109,53329,5.28
,,"Rabi       ",124,365,2.94
,,"Summer     ",105,357,3.40
,,"Total",10338,54051,5.23
," 2011-12","Kharif     ",14355,66335,4.62
,,"Rabi       ",100,323,3.23
,,"Summer     ",96,327,3.41
,,"Total",14551,66985,4.60
," 2012-13","Kharif     ",10363,33207,3.20
,,"Rabi       ",82,248,3.02
,,"Summer     ",66,227,3.44
,,"Total",10511,33682,3.20
," 2013-14","Kharif     ",10622,28931,2.72
,,"Rabi       ",112,343,3.06
,,"Summer     ",78,253,3.24
,,"Total",10812,29527,2.73
," 2014-15","Kharif     ",14334,44066,3.07
,,"Rabi       ",127,429,3.38
,,"Summer     ",99,323,3.26
,,"Total",14560,44818,3.08
," 2015-16","Kharif     ",14695,41769,2.84
,,"Rabi       ",82,204,2.49
,,"Summer     ",89,250,2.81
,,"Total",14866,42223,2.84
," 2016-17","Kharif     ",10638,19757,1.86
,,"Rabi       ",95,286,3.01
,,"Summer     ",79,245,3.10
,,"Total",10812,20288,1.88
," 2017-18","Kharif     ",9339,46800,5.01
,,"Rabi       ",87,323,3.71
,,"Summer     ",23,86,3.74
,,"Total",9449,47209,5.00
," 2018-19","Kharif     ",10411,32965,3.17
,,"Rabi       ",68,231,3.40
,,"Summer     ",25,86,3.44
,,"Total",10504,33282,3.17
" 4.BELAGAVI"," 2008-09","Kharif     ",104540,297062,2.84
,,"Rabi       ",37921,119848,3.16
,,"Summer     ",3283,9958,3.03
,,"Total",145744,426868,2.93
," 2009-10","Kharif     ",119251,231381,1.94
,,"Rabi       ",39852,101513,2.55
,,"Summer     ",3241,10684,3.30
,,"Total",162344,343578,2.12
," 2010-11","Kharif     ",118380,429355,3.63
,,"Rabi       ",35650,103811,2.91
,,"Summer     ",3481,11002,3.16
,,"Total",157511,544168,3.45
," 2011-12","Kharif     ",111075,386569,3.48
,,"Rabi       ",34155,109475,3.21
,,"Summer     ",2768,7997,2.89
,,"Total",147998,504041,3.41
," 2012-13","Kharif     ",91964,231694,2.52
,,"Rabi       ",37993,111601,2.94
,,"Summer     ",3211,9536,2.97
,,"Total",133168,352831,2.65
