State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Belgaum,Ramdurga,Maize,4,694,01-Jan-2012
Karnataka,KK,Bellary,H.B. Halli,Maize,4,500,01-Jan-2012
Karnataka,KK,Koppal,Kustagi,Maize,4,70,01-Jan-2012
Karnataka,KK,Bagalkot,Bagalakot,Maize,4,163,02-Jan-2012
Karnataka,KK,Bagalkot,Jamakhandi,Maize,4,8,02-Jan-2012
Karnataka,KK,Bangalore,Bangalore,Maize,4,47,02-Jan-2012
Karnataka,KK,Belgaum,Athani,Maize,4,26,02-Jan-2012
Karnataka,KK,Belgaum,Kudchi,Maize,4,12,02-Jan-2012
Karnataka,KK,Belgaum,Sankeshwar,Maize,4,12,02-Jan-2012
Karnataka,KK,Bellary,Bellary,Maize,4,4,02-Jan-2012
Karnataka,KK,Bellary,Hoovinahadagali,Maize,4,374,02-Jan-2012
Karnataka,KK,Bellary,Kottur,Maize,4,381,02-Jan-2012
Karnataka,KK,Bijapur,Bijapur,Maize,4,18,02-Jan-2012
Karnataka,KK,Chamrajnagar,Chamaraj Nagar,Maize,4,41,02-Jan-2012
Karnataka,KK,Chamrajnagar,Kollegal,Maize,4,6,02-Jan-2012
Karnataka,KK,Chikmagalur,Kadur,Maize,4,434,02-Jan-2012
Karnataka,KK,Chikmagalur,Moodigere,Maize,4,18,02-Jan-2012
Karnataka,KK,Chikmagalur,Tarikere,Maize,4,67,02-Jan-2012
Karnataka,KK,Chitradurga,Chitradurga,Maize,4,77,02-Jan-2012
Karnataka,KK,Davangere,Channagiri,Maize,4,51,02-Jan-2012
Karnataka,KK,Davangere,Davangere,Maize,4,817,02-Jan-2012
Karnataka,KK,Davangere,Harappana Halli,Maize,4,146,02-Jan-2012
Karnataka,KK,Davangere,Harihara,Maize,4,56,02-Jan-2012
Karnataka,KK,Davangere,Honnali,Maize,4,929,02-Jan-2012
Karnataka,KK,Davangere,Jagalur,Maize,4,30,02-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Maize,4,23,02-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Maize,4,372,02-Jan-2012
Karnataka,KK,Gadag,Gadag,Maize,4,52,02-Jan-2012
Karnataka,KK,Gadag,Laxmeshwar,Maize,4,1,02-Jan-2012
Karnataka,KK,Gadag,Mundaragi,Maize,4,82,02-Jan-2012
Karnataka,KK,Gadag,Nargunda,Maize,4,90,02-Jan-2012
Karnataka,KK,Gadag,Rona,Maize,4,18,02-Jan-2012
Karnataka,KK,Gulbarga,Gulbarga,Maize,4,4,02-Jan-2012
Karnataka,KK,Hassan,Arasikere,Maize,4,65,02-Jan-2012
Karnataka,KK,Hassan,Belur,Maize,4,51,02-Jan-2012
Karnataka,KK,Hassan,Channarayapatna,Maize,4,6,02-Jan-2012
Karnataka,KK,Hassan,Hassan,Maize,4,906,02-Jan-2012
Karnataka,KK,Haveri,Hanagal,Maize,4,52,02-Jan-2012
Karnataka,KK,Haveri,Hirekerur,Maize,4,139,02-Jan-2012
Karnataka,KK,Haveri,Savanur,Maize,4,4,02-Jan-2012
Karnataka,KK,Koppal,Koppal,Maize,4,185,02-Jan-2012
Karnataka,KK,Madikeri(Kodagu),Somvarpet,Maize,4,88,02-Jan-2012
Karnataka,KK,Mandya,Pandavapura,Maize,4,7,02-Jan-2012
Karnataka,KK,Mysore,Hunsur,Maize,4,4,02-Jan-2012
Karnataka,KK,Mysore,Mysore (Bandipalya),Maize,4,1,02-Jan-2012
Karnataka,KK,Mysore,Piriya Pattana,Maize,4,10,02-Jan-2012
Karnataka,KK,Shimoga,Bhadravathi,Maize,4,41,02-Jan-2012
Karnataka,KK,Shimoga,Shikaripura,Maize,4,33,02-Jan-2012
