"Min,Max,Modal Price from Karnataka[Maize] from 01-Jan-2018To31-Dec-2018 (Total-11525) (Total-11525)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
258,Hassan,Arakalgud,Maize,Local,FAQ,1000,1000,1000,01-Jan-18
365,Hassan,Arasikere,Maize,Local,FAQ,1150,1210,1200,01-Jan-18
558,Belgaum,Athani,Maize,Hybrid/Local,FAQ,1120,1210,1200,01-Jan-18
681,Bagalkot,Badami,Maize,Hybrid/Local,Small,1150,1183,1160,01-Jan-18
900,Bagalkot,Bagalakot,Maize,Hybrid/Local,Medium,1050,1160,1140,01-Jan-18
1012,Chikmagalur,Bagepalli,Maize,Local,FAQ,1200,1500,1249,01-Jan-18
1280,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1300,1600,1450,01-Jan-18
1641,Bellary,Bellary,Maize,Local,FAQ,1142,1202,1172,01-Jan-18
1771,Hassan,Belur,Maize,Hybrid/Local,FAQ,1100,1275,1100,01-Jan-18
1885,Shimoga,Bhadravathi,Maize,Local,FAQ,1250,1250,1250,01-Jan-18
2024,Bijapur,Bijapur,Maize,Hybrid/Local,FAQ,1000,1150,1100,01-Jan-18
2145,Chamrajnagar,Chamaraj Nagar,Maize,Local,FAQ,1010,1010,1010,01-Jan-18
2370,Chikmagalur,Chikkamagalore,Maize,Local,FAQ,1150,1200,1157,01-Jan-18
2531,Chitradurga,Chitradurga,Maize,Local,FAQ,1090,1230,1123,01-Jan-18
2788,Davangere,Davangere,Maize,Local,FAQ,1072,1250,1151,01-Jan-18
2956,Dharwad,Dharwar,Maize,Local,FAQ,1130,1130,1130,01-Jan-18
3230,Gadag,Gadag,Maize,Local,FAQ,501,1089,1028,01-Jan-18
3503,Kolar,Gowribidanoor,Maize,Hybrid/Local,FAQ,1300,1400,1350,01-Jan-18
3749,Chamrajnagar,Gundlupet,Maize,Local,FAQ,860,1050,940,01-Jan-18
4163,Karwar(Uttar Kannad),Haliyala,Maize,Hybrid/Local,FAQ,1100,1150,1120,01-Jan-18
4428,Haveri,Hanagal,Maize,Local,Medium,1000,1170,1170,01-Jan-18
4649,Davangere,Harappana Halli,Maize,Hybrid/Local,Medium,1020,1180,1090,01-Jan-18
4898,Hassan,Hassan,Maize,Local,FAQ,1260,1310,1310,01-Jan-18
5146,Haveri,Haveri,Maize,Local,Medium,1100,1200,1150,01-Jan-18
5300,Chitradurga,Hiriyur,Maize,Hybrid/Local,FAQ,2425,2425,2425,01-Jan-18
5405,Chitradurga,Holalkere,Maize,Yellow,Medium,1200,1220,1205,01-Jan-18
5580,Hassan,Holenarsipura,Maize,Local,FAQ,1100,1100,1100,01-Jan-18
5852,Davangere,Honnali,Maize,Local,Medium,1100,1200,1180,01-Jan-18
6003,Bellary,Hoovinahadagali,Maize,Yellow,FAQ,1130,1250,1150,01-Jan-18
6125,Bangalore,Hoskote,Maize,Local,FAQ,1220,1220,1220,01-Jan-18
6285,Dharwad,Hubli (Amaragol),Maize,Local,Medium,1143,1143,1143,01-Jan-18
6489,Bagalkot,Jamakhandi,Maize,Hybrid/Local,FAQ,1100,1200,1150,01-Jan-18
6638,Mysore,K.R.Nagar,Maize,Local,FAQ,1000,1000,1000,01-Jan-18
6745,Chikmagalur,Kadur,Maize,Other,FAQ,1100,1160,1140,01-Jan-18
6942,Dharwad,Kalagategi,Maize,Local,FAQ,1120,1140,1130,01-Jan-18
7122,Koppal,Koppal,Maize,Yellow,FAQ,770,1165,1117,01-Jan-18
7316,Bellary,Kottur,Maize,Hybrid/Local,FAQ,1050,1185,1138,01-Jan-18
7474,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,1150,1210,1200,01-Jan-18
7784,Koppal,Kustagi,Maize,Hybrid/Local,FAQ,1120,1120,1120,01-Jan-18
7839,Gadag,Laxmeshwar,Maize,Local,FAQ,960,1048,1004,01-Jan-18
8021,Bagalkot,Mhalingapur,Maize,Yellow,FAQ,1100,1200,1150,01-Jan-18
8231,Gadag,Mundaragi,Maize,Yellow,FAQ,709,1205,1123,01-Jan-18
8466,Karwar(Uttar Kannad),Mundgod,Maize,Hybrid/Local,FAQ,1000,1150,1150,01-Jan-18
8640,Mysore,Mysore (Bandipalya),Maize,Local,FAQ,1002,1002,1002,01-Jan-18
8677,Mandya,Nagamangala,Maize,Hybrid/Local,FAQ,1200,1205,1200,01-Jan-18
8917,Gadag,Nargunda,Maize,Local,Medium,1000,1230,1186,01-Jan-18
9590,Haveri,Ranebennur,Maize,Local,Medium,1100,1190,1150,01-Jan-18
9754,Gadag,Rona,Maize,Hybrid/Local,FAQ,881,1130,1084,01-Jan-18
9871,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,1100,1300,1200,01-Jan-18
9989,Mysore,Santhesargur,Maize,Local,FAQ,900,900,900,01-Jan-18
10270,Haveri,Shiggauv,Maize,Local,FAQ,960,1180,1070,01-Jan-18
10520,Shimoga,Shikaripura,Maize,Local,Medium,1000,1100,1050,01-Jan-18
10696,Shimoga,Shimoga,Maize,Hybrid/Local,FAQ,1230,1300,1265,01-Jan-18
10835,Bijapur,Sindagi(Hendi),Maize,Local,FAQ,1000,1100,1040,01-Jan-18
11295,Belgaum,Soundati,Maize,Local,FAQ,1100,1240,1170,01-Jan-18
11332,Mysore,T. Narasipura,Maize,Yellow,FAQ,1100,1100,1100,01-Jan-18
11374,Chikmagalur,Tarikere,Maize,Other,FAQ,1124,1124,1124,01-Jan-18
11525,Tumkur,Tumkur,Maize,Local,FAQ,1200,1380,1300,01-Jan-18
257,Hassan,Arakalgud,Maize,Local,FAQ,900,1200,1100,02-Jan-18
364,Hassan,Arasikere,Maize,Local,FAQ,1150,1290,1200,02-Jan-18
557,Belgaum,Athani,Maize,Hybrid/Local,FAQ,1110,1210,1200,02-Jan-18
899,Bagalkot,Bagalakot,Maize,Hybrid/Local,Medium,1026,1161,1139,02-Jan-18
1011,Chikmagalur,Bagepalli,Maize,Other,FAQ,1200,1500,1249,02-Jan-18
1279,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1300,1600,1450,02-Jan-18
1639,Bellary,Bellary,Maize,Local,FAQ,1102,1208,1170,02-Jan-18
1640,Bellary,Bellary,Maize,Sweet Corn (For Biscuits),FAQ,1227,2652,1634,02-Jan-18
1770,Hassan,Belur,Maize,Hybrid/Local,FAQ,1150,1480,1310,02-Jan-18
1884,Shimoga,Bhadravathi,Maize,Local,FAQ,1256,1256,1256,02-Jan-18
2023,Bijapur,Bijapur,Maize,Hybrid/Local,FAQ,1000,1150,1100,02-Jan-18
2099,Chitradurga,Challakere,Maize,Yellow,FAQ,1000,1232,1194,02-Jan-18
2144,Chamrajnagar,Chamaraj Nagar,Maize,Local,FAQ,1100,1100,1100,02-Jan-18
2369,Chikmagalur,Chikkamagalore,Maize,Local,FAQ,1150,1200,1161,02-Jan-18
2398,Kolar,Chintamani,Maize,Local,FAQ,1250,1400,1300,02-Jan-18
2787,Davangere,Davangere,Maize,Local,FAQ,1056,1269,1179,02-Jan-18
2955,Dharwad,Dharwar,Maize,Local,FAQ,1000,1160,1080,02-Jan-18
3229,Gadag,Gadag,Maize,Local,FAQ,919,1180,1065,02-Jan-18
3322,Belgaum,Gokak,Maize,Local,FAQ,1990,1990,1990,02-Jan-18
3502,Kolar,Gowribidanoor,Maize,Hybrid/Local,FAQ,1300,1400,1350,02-Jan-18
3748,Chamrajnagar,Gundlupet,Maize,Local,FAQ,860,1200,1050,02-Jan-18
3947,Bellary,H.B. Halli,Maize,Hybrid/Local,Medium,1100,1180,1150,02-Jan-18
4162,Karwar(Uttar Kannad),Haliyala,Maize,Hybrid/Local,FAQ,1100,1180,1140,02-Jan-18
4427,Haveri,Hanagal,Maize,Local,Medium,1000,1200,1150,02-Jan-18
4648,Davangere,Harappana Halli,Maize,Hybrid/Local,Medium,1110,1180,1143,02-Jan-18
4728,Davangere,Harihara,Maize,Hybrid/Local,FAQ,1200,1200,1200,02-Jan-18
4897,Hassan,Hassan,Maize,Local,FAQ,1000,1325,1320,02-Jan-18
5145,Haveri,Haveri,Maize,Local,Medium,1100,1150,1130,02-Jan-18
5270,Haveri,Hirekerur,Maize,Local,FAQ,1070,1190,1180,02-Jan-18
5579,Hassan,Holenarsipura,Maize,Local,FAQ,1100,1120,1120,02-Jan-18
5851,Davangere,Honnali,Maize,Local,Medium,1100,1200,1180,02-Jan-18
6002,Bellary,Hoovinahadagali,Maize,Yellow,FAQ,1150,1210,1160,02-Jan-18
6124,Bangalore,Hoskote,Maize,Local,FAQ,1200,1200,1200,02-Jan-18
6284,Dharwad,Hubli (Amaragol),Maize,Local,Medium,1125,1142,1125,02-Jan-18
6504,Mandya,K.R. Pet,Maize,Other,FAQ,840,840,840,02-Jan-18
6637,Mysore,K.R.Nagar,Maize,Local,FAQ,1000,1000,1000,02-Jan-18
6744,Chikmagalur,Kadur,Maize,Other,FAQ,1140,1140,1140,02-Jan-18
6941,Dharwad,Kalagategi,Maize,Local,FAQ,1110,1130,1120,02-Jan-18
7473,Belgaum,Kudchi,Maize,Hybrid/Local,FAQ,1150,1220,1200,02-Jan-18
8020,Bagalkot,Mhalingapur,Maize,Yellow,FAQ,1150,1250,1200,02-Jan-18
8230,Gadag,Mundaragi,Maize,Yellow,FAQ,889,1153,1040,02-Jan-18
8465,Karwar(Uttar Kannad),Mundgod,Maize,Hybrid/Local,FAQ,1050,1150,1130,02-Jan-18
8639,Mysore,Mysore (Bandipalya),Maize,Local,FAQ,1003,1202,1136,02-Jan-18
8676,Mandya,Nagamangala,Maize,Hybrid/Local,FAQ,3200,3200,3200,02-Jan-18
8916,Gadag,Nargunda,Maize,Local,Medium,957,1230,1225,02-Jan-18
9254,Mysore,Piriya Pattana,Maize,Hybrid/Local,FAQ,1000,1000,1000,02-Jan-18
9753,Gadag,Rona,Maize,Hybrid/Local,FAQ,932,1129,1089,02-Jan-18
9870,Belgaum,Sankeshwar,Maize,Hybrid/Local,FAQ,1100,1300,1150,02-Jan-18
9988,Mysore,Santhesargur,Maize,Local,FAQ,900,900,900,02-Jan-18
10269,Haveri,Shiggauv,Maize,Local,FAQ,960,1180,1070,02-Jan-18
10519,Shimoga,Shikaripura,Maize,Local,Medium,1000,1100,1080,02-Jan-18
10695,Shimoga,Shimoga,Maize,Hybrid/Local,FAQ,1230,1300,1265,02-Jan-18
10716,Bijapur,Sindagi,Maize,Local,FAQ,900,1100,1050,02-Jan-18
10834,Bijapur,Sindagi(Hendi),Maize,Local,FAQ,1000,1100,1040,02-Jan-18
10859,Raichur,Sindhanur,Maize,Local,Large,1090,1090,1090,02-Jan-18
11294,Belgaum,Soundati,Maize,Local,FAQ,1160,1232,1180,02-Jan-18
256,Hassan,Arakalgud,Maize,Local,FAQ,1000,1000,1000,03-Jan-18
363,Hassan,Arasikere,Maize,Local,FAQ,1150,1200,1200,03-Jan-18
556,Belgaum,Athani,Maize,Hybrid/Local,FAQ,2200,3000,2500,03-Jan-18
680,Bagalkot,Badami,Maize,Hybrid/Local,Small,1165,1225,1170,03-Jan-18
898,Bagalkot,Bagalakot,Maize,Hybrid/Local,Medium,1101,1160,1124,03-Jan-18
1010,Chikmagalur,Bagepalli,Maize,Other,FAQ,1200,1500,1310,03-Jan-18
1278,Bangalore,Bangalore,Maize,Hybrid/Local,FAQ,1300,1600,1450,03-Jan-18
1300,Bidar,Basava Kalayana,Maize,Hybrid/Local,FAQ,981,981,981,03-Jan-18
1638,Bellary,Bellary,Maize,Local,FAQ,901,1198,1154,03-Jan-18
1769,Hassan,Belur,Maize,Hybrid/Local,FAQ,1170,1290,1275,03-Jan-18
1883,Shimoga,Bhadravathi,Maize,Local,FAQ,1206,1206,1206,03-Jan-18
2022,Bijapur,Bijapur,Maize,Hybrid/Local,FAQ,1130,1130,1130,03-Jan-18
2143,Chamrajnagar,Chamaraj Nagar,Maize,Local,FAQ,1100,1100,1100,03-Jan-18
2260,Kolar,Chickkaballapura,Maize,Sweet Corn (For Biscuits),FAQ,2700,2900,2800,03-Jan-18
2368,Chikmagalur,Chikkamagalore,Maize,Local,FAQ,1180,1200,1193,03-Jan-18
2530,Chitradurga,Chitradurga,Maize,Local,FAQ,719,1225,1143,03-Jan-18
2786,Davangere,Davangere,Maize,Local,FAQ,1075,1240,1154,03-Jan-18
2954,Dharwad,Dharwar,Maize,Local,FAQ,1130,1130,1130,03-Jan-18
3025,Bangalore,Doddaballa Pur,Maize,Sweet Corn (For Biscuits),FAQ,3700,3700,3700,03-Jan-18
3228,Gadag,Gadag,Maize,Local,FAQ,801,1075,996,03-Jan-18
3321,Belgaum,Gokak,Maize,Local,FAQ,1212,1213,1212,03-Jan-18
3501,Kolar,Gowribidanoor,Maize,Hybrid/Local,FAQ,1300,1400,1350,03-Jan-18
3747,Chamrajnagar,Gundlupet,Maize,Local,FAQ,860,940,870,03-Jan-18
3946,Bellary,H.B. Halli,Maize,Hybrid/Local,Medium,1155,1180,1170,03-Jan-18
