State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Belgaum,Belgaum,Onion,23,95,4-Jan-09
Karnataka,KK,Belgaum,Belgaum,Onion,23,22,5-Jan-09
Karnataka,KK,Kolar,Kolar,Onion,23,4,6-Jan-09
Karnataka,KK,Raichur,Raichur,Onion,23,86,6-Jan-09
Karnataka,KK,Belgaum,Belgaum,Onion,23,381,7-Jan-09
Karnataka,KK,Dharwad,Hubli (Amaragol),Onion,23,229,7-Jan-09
Karnataka,KK,Kolar,Kolar,Onion,23,3,7-Jan-09
Karnataka,KK,Raichur,Raichur,Onion,23,54,7-Jan-09
Karnataka,KK,Udupi,Udupi,Onion,23,6,7-Jan-09
Karnataka,KK,Hassan,Hassan,Onion,23,412,8-Jan-09
Karnataka,KK,Kolar,Kolar,Onion,23,3,8-Jan-09
Karnataka,KK,Tumkur,Tumkur,Onion,23,7,8-Jan-09
Karnataka,KK,Bagalkot,Jamakhandi,Onion,23,20,9-Jan-09
Karnataka,KK,Belgaum,Belgaum,Onion,23,109,9-Jan-09
Karnataka,KK,Davangere,Davangere,Onion,23,30,9-Jan-09
Karnataka,KK,Dharwad,Hubli (Amaragol),Onion,23,62,9-Jan-09
Karnataka,KK,Gadag,Gadag,Onion,23,86,9-Jan-09
Karnataka,KK,Hassan,Holenarsipura,Onion,23,2,9-Jan-09
Karnataka,KK,Haveri,Ranebennur,Onion,23,52,9-Jan-09
Karnataka,KK,Kolar,Kolar,Onion,23,3,9-Jan-09
Karnataka,KK,Mysore,Mysore (Bandipalya),Onion,23,80,9-Jan-09
Karnataka,KK,Raichur,Raichur,Onion,23,25,9-Jan-09
Karnataka,KK,Belgaum,Belgaum,Onion,23,373,10-Jan-09
Karnataka,KK,Bellary,Hospet,Onion,23,1,10-Jan-09
Karnataka,KK,Chikmagalur,Tarikere,Onion,23,1,10-Jan-09
Karnataka,KK,Dharwad,Hubli (Amaragol),Onion,23,210,10-Jan-09
Karnataka,KK,Kolar,Chickkaballapura,Onion,23,8,10-Jan-09
Karnataka,KK,Kolar,Kolar,Onion,23,3,10-Jan-09
Karnataka,KK,Udupi,Kundapura,Onion,23,6,10-Jan-09
Karnataka,KK,Belgaum,Belgaum,Onion,23,99,11-Jan-09
Karnataka,KK,Kolar,Kolar,Onion,23,3,11-Jan-09
Karnataka,KK,Bellary,Hospet,Onion,23,5,12-Jan-09
Karnataka,KK,Bijapur,Bijapur,Onion,23,80,12-Jan-09
Karnataka,KK,Davangere,Davangere,Onion,23,80,12-Jan-09
Karnataka,KK,Dharwad,Hubli (Amaragol),Onion,23,329,12-Jan-09
Karnataka,KK,Kolar,Kolar,Onion,23,3,12-Jan-09
Karnataka,KK,Mysore,Mysore (Bandipalya),Onion,23,47,12-Jan-09
Karnataka,KK,Raichur,Raichur,Onion,23,98,12-Jan-09
Karnataka,KK,Tumkur,Tumkur,Onion,23,8,12-Jan-09
Karnataka,KK,Bellary,Hospet,Onion,23,4,13-Jan-09
Karnataka,KK,Chikmagalur,Chikkamagalore,Onion,23,8,13-Jan-09
Karnataka,KK,Davangere,Davangere,Onion,23,100,13-Jan-09
Karnataka,KK,Dharwad,Hubli (Amaragol),Onion,23,271,13-Jan-09
Karnataka,KK,Kolar,Kolar,Onion,23,3,13-Jan-09
Karnataka,KK,Tumkur,Tumkur,Onion,23,8,13-Jan-09
Karnataka,KK,Hassan,Hassan,Onion,23,63,14-Jan-09
Karnataka,KK,Kolar,Chickkaballapura,Onion,23,11,14-Jan-09
Karnataka,KK,Kolar,Kolar,Onion,23,2,14-Jan-09
Karnataka,KK,Belgaum,Belgaum,Onion,23,524,15-Jan-09
Karnataka,KK,Chikmagalur,Chikkamagalore,Onion,23,4,15-Jan-09
Karnataka,KK,Davangere,Davangere,Onion,23,80,15-Jan-09
Karnataka,KK,Kolar,Kolar,Onion,23,2,15-Jan-09
Karnataka,KK,Mysore,Mysore (Bandipalya),Onion,23,74,15-Jan-09
Karnataka,KK,Tumkur,Tumkur,Onion,23,6,15-Jan-09
Karnataka,KK,Belgaum,Belgaum,Onion,23,22,16-Jan-09
Karnataka,KK,Bellary,Hospet,Onion,23,2,16-Jan-09
Karnataka,KK,Davangere,Davangere,Onion,23,80,16-Jan-09
Karnataka,KK,Dharwad,Hubli (Amaragol),Onion,23,73,16-Jan-09
Karnataka,KK,Hassan,Hassan,Onion,23,296,16-Jan-09
Karnataka,KK,Kolar,Kolar,Onion,23,3,16-Jan-09
Karnataka,KK,Mysore,Mysore (Bandipalya),Onion,23,158,16-Jan-09
Karnataka,KK,Raichur,Raichur,Onion,23,40,16-Jan-09
Karnataka,KK,Belgaum,Belgaum,Onion,23,436,17-Jan-09
Karnataka,KK,Bellary,Hospet,Onion,23,2,17-Jan-09
Karnataka,KK,Chikmagalur,Tarikere,Onion,23,1,17-Jan-09
Karnataka,KK,Davangere,Davangere,Onion,23,80,17-Jan-09
Karnataka,KK,Dharwad,Hubli (Amaragol),Onion,23,374,17-Jan-09
Karnataka,KK,Hassan,Arasikere,Onion,23,18,17-Jan-09
Karnataka,KK,Haveri,Ranebennur,Onion,23,19,17-Jan-09
Karnataka,KK,Kolar,Chickkaballapura,Onion,23,9,17-Jan-09
Karnataka,KK,Kolar,Kolar,Onion,23,3,17-Jan-09
Karnataka,KK,Mysore,Mysore (Bandipalya),Onion,23,8,17-Jan-09
Karnataka,KK,Raichur,Raichur,Onion,23,55,17-Jan-09
Karnataka,KK,Shimoga,Sagar,Onion,23,13.5,17-Jan-09
Karnataka,KK,Udupi,Kundapura,Onion,23,12,17-Jan-09
Karnataka,KK,Belgaum,Belgaum,Onion,23,37,18-Jan-09
Karnataka,KK,Kolar,Kolar,Onion,23,2,18-Jan-09
Karnataka,KK,Shimoga,Sagar,Onion,23,2,18-Jan-09
Karnataka,KK,Bangalore,Bangalore,Onion,23,1884,19-Jan-09
Karnataka,KK,Belgaum,Belgaum,Onion,23,49,19-Jan-09
Karnataka,KK,Bellary,Hospet,Onion,23,8,19-Jan-09
Karnataka,KK,Chamrajnagar,Kollegal,Onion,23,5,19-Jan-09
Karnataka,KK,Davangere,Davangere,Onion,23,100,19-Jan-09
Karnataka,KK,Dharwad,Hubli (Amaragol),Onion,23,406,19-Jan-09
Karnataka,KK,Hassan,Arasikere,Onion,23,7,19-Jan-09
Karnataka,KK,Kolar,Kolar,Onion,23,3,19-Jan-09
Karnataka,KK,Mysore,Mysore (Bandipalya),Onion,23,8,19-Jan-09
Karnataka,KK,Raichur,Raichur,Onion,23,96,19-Jan-09
Karnataka,KK,Shimoga,Bhadravathi,Onion,23,2,19-Jan-09
Karnataka,KK,Shimoga,Sagar,Onion,23,2.5,19-Jan-09
Karnataka,KK,Tumkur,Tumkur,Onion,23,11,19-Jan-09
Karnataka,KK,Bellary,Hospet,Onion,23,2,20-Jan-09
Karnataka,KK,Davangere,Davangere,Onion,23,50,20-Jan-09
Karnataka,KK,Dharwad,Hubli (Amaragol),Onion,23,255,20-Jan-09
Karnataka,KK,Hassan,Arasikere,Onion,23,9,20-Jan-09
Karnataka,KK,Kolar,Kolar,Onion,23,3,20-Jan-09
Karnataka,KK,Mysore,Mysore (Bandipalya),Onion,23,33,20-Jan-09
Karnataka,KK,Raichur,Raichur,Onion,23,59,20-Jan-09
Karnataka,KK,Tumkur,Tumkur,Onion,23,14,20-Jan-09
Karnataka,KK,Belgaum,Belgaum,Onion,23,664,21-Jan-09
Karnataka,KK,Chamrajnagar,Kollegal,Onion,23,5,21-Jan-09
Karnataka,KK,Chikmagalur,Chikkamagalore,Onion,23,4,21-Jan-09
