"Min,Max,Modal Price from Karnataka[Onion] from 01-Jan-2008To31-Dec-2019 (Total-50192) (Total-50192)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
17971,Kolar,Chickkaballapura,Onion,Beelary-Red,Large,1600,2000,1800,1-Jan-14
28456,Bellary,Hospet,Onion,Local,Medium,1000,1400,1000,1-Jan-14
6320,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,1000,750,3-Jan-14
6321,Bangalore,Bangalore,Onion,Local,Medium,1000,1200,1100,3-Jan-14
6322,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1100,3-Jan-14
6323,Bangalore,Bangalore,Onion,Onion,Medium,1200,1600,1300,3-Jan-14
6324,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1600,1300,3-Jan-14
6325,Bangalore,Bangalore,Onion,Puna,FAQ,1100,1550,1275,3-Jan-14
13182,Belgaum,Belgaum,Onion,White,FAQ,400,1800,1250,3-Jan-14
13183,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,360,1600,1000,3-Jan-14
19408,Chikmagalur,Chikkamagalore,Onion,Other,FAQ,1020,1400,1200,3-Jan-14
21827,Davangere,Davangere,Onion,Onion,Medium,500,1500,1000,3-Jan-14
21828,Davangere,Davangere,Onion,Onion,FAQ,500,1500,1000,3-Jan-14
23994,Gadag,Gadag,Onion,Onion,Medium,300,1200,800,3-Jan-14
23995,Gadag,Gadag,Onion,Onion,FAQ,300,1200,800,3-Jan-14
33042,Dharwad,Hubli (Amaragol),Onion,Local,Medium,500,1500,950,3-Jan-14
33043,Dharwad,Hubli (Amaragol),Onion,Local,FAQ,500,1500,950,3-Jan-14
33044,Dharwad,Hubli (Amaragol),Onion,Puna,FAQ,500,1650,1000,3-Jan-14
33045,Dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,500,1450,900,3-Jan-14
39268,Udupi,Kundapura,Onion,Onion,Medium,1300,1400,1350,3-Jan-14
39269,Udupi,Kundapura,Onion,Onion,FAQ,1300,1400,1350,3-Jan-14
41072,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,1400,1600,1500,3-Jan-14
43845,Raichur,Raichur,Onion,Onion,Medium,450,1330,1050,3-Jan-14
43846,Raichur,Raichur,Onion,Onion,FAQ,450,1330,1050,3-Jan-14
46732,Shimoga,Shimoga,Onion,Onion,Medium,1800,2000,1900,3-Jan-14
46733,Shimoga,Shimoga,Onion,Onion,FAQ,1800,2000,1900,3-Jan-14
47806,Chikmagalur,Tarikere,Onion,Local,Medium,1000,1250,1190,3-Jan-14
47807,Chikmagalur,Tarikere,Onion,Local,FAQ,1000,1250,1190,3-Jan-14
48543,Tumkur,Tumkur,Onion,Other,FAQ,1400,1800,1650,3-Jan-14
6313,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,4-Jan-14
6314,Bangalore,Bangalore,Onion,Local,Medium,1000,1200,1100,4-Jan-14
6315,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1100,4-Jan-14
6316,Bangalore,Bangalore,Onion,Onion,Medium,1200,1550,1250,4-Jan-14
6317,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1550,1250,4-Jan-14
6318,Bangalore,Bangalore,Onion,Puna,Medium,1000,1500,1200,4-Jan-14
6319,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1500,1200,4-Jan-14
13180,Belgaum,Belgaum,Onion,White,FAQ,500,1700,1200,4-Jan-14
13181,Belgaum,Belgaum,Onion,Pusa-Red,FAQ,400,1680,1100,4-Jan-14
17970,Kolar,Chickkaballapura,Onion,Beelary-Red,FAQ,1600,2000,1800,4-Jan-14
19407,Chikmagalur,Chikkamagalore,Onion,Other,FAQ,1050,1400,1200,4-Jan-14
21825,Davangere,Davangere,Onion,Onion,Medium,500,1400,950,4-Jan-14
21826,Davangere,Davangere,Onion,Onion,FAQ,500,1400,950,4-Jan-14
23992,Gadag,Gadag,Onion,Onion,Medium,300,1300,800,4-Jan-14
23993,Gadag,Gadag,Onion,Onion,FAQ,300,1300,800,4-Jan-14
24265,Madikeri(Kodagu),Gonikappal,Onion,Bangalore-Samall,FAQ,1000,1000,1000,4-Jan-14
33036,Dharwad,Hubli (Amaragol),Onion,Local,Medium,500,1320,850,4-Jan-14
33037,Dharwad,Hubli (Amaragol),Onion,Local,FAQ,500,1320,850,4-Jan-14
33038,Dharwad,Hubli (Amaragol),Onion,Puna,Medium,500,1500,950,4-Jan-14
33039,Dharwad,Hubli (Amaragol),Onion,Puna,FAQ,500,1500,950,4-Jan-14
33040,Dharwad,Hubli (Amaragol),Onion,Telagi,Medium,500,1350,850,4-Jan-14
33041,Dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,500,1350,850,4-Jan-14
36361,Mandya,K.R. Pet,Onion,Onion,Medium,1000,1000,1000,4-Jan-14
39266,Udupi,Kundapura,Onion,Onion,Medium,1500,2000,1750,4-Jan-14
39267,Udupi,Kundapura,Onion,Onion,FAQ,1500,2000,1750,4-Jan-14
41070,Mysore,Mysore (Bandipalya),Onion,Other,Medium,1400,1600,1500,4-Jan-14
