"Crop Production Statistics",,,,,
,,,,,
"State/Crop/District","Year","Season","Area (Hectare)","Production (Tonnes)","Yield (Tonnes/Hectare)"
"Karnataka",,,,,
"Ragi",,,,,
" 1.BAGALKOTE"," 2018-19","Kharif     ",24,29,1.21
" 2.BALLARI"," 2008-09","Kharif     ",3576,1783,0.50
,,"Rabi       ",54,79,1.46
,,"Summer     ",69,137,1.99
,,"Total",3699,1999,0.54
," 2009-10","Kharif     ",3356,1082,0.32
,,"Rabi       ",25,35,1.40
,,"Summer     ",68,128,1.88
,,"Total",3449,1245,0.36
," 2010-11","Kharif     ",5966,3606,0.60
,,"Summer     ",38,74,1.95
,,"Total",6004,3680,0.61
," 2011-12","Kharif     ",3580,2472,0.69
,,"Rabi       ",13,24,1.85
,,"Summer     ",149,287,1.93
,,"Total",3742,2783,0.74
," 2012-13","Kharif     ",4102,2015,0.49
,,"Rabi       ",6,9,1.50
,,"Summer     ",66,99,1.50
,,"Total",4174,2123,0.51
," 2013-14","Kharif     ",3525,2548,0.72
,,"Rabi       ",149,217,1.46
,,"Summer     ",187,367,1.96
,,"Total",3861,3132,0.81
," 2014-15","Kharif     ",2897,2042,0.70
,,"Rabi       ",67,109,1.63
,,"Summer     ",189,337,1.78
,,"Total",3153,2488,0.79
," 2015-16","Kharif     ",2897,1671,0.58
,,"Rabi       ",10,17,1.70
,,"Summer     ",227,388,1.71
,,"Total",3134,2076,0.66
," 2016-17","Kharif     ",1988,2081,1.05
,,"Rabi       ",312,323,1.04
,,"Summer     ",79,143,1.81
,,"Total",2379,2547,1.07
," 2017-18","Kharif     ",10039,13590,1.35
,,"Rabi       ",281,450,1.60
,,"Summer     ",682,1185,1.74
,,"Total",11002,15225,1.38
," 2018-19","Kharif     ",8823,6529,0.74
,,"Rabi       ",2610,4066,1.56
,,"Summer     ",684,1230,1.80
,,"Total",12117,11825,0.98
" 3.BANGALORE RURAL"," 2008-09","Kharif     ",43788,100903,2.30
,,"Rabi       ",211,441,2.09
,,"Summer     ",217,432,1.99
,,"Total",44216,101776,2.30
," 2009-10","Kharif     ",41469,91892,2.22
,,"Rabi       ",143,335,2.34
,,"Summer     ",143,268,1.87
,,"Total",41755,92495,2.22
