State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Bangalore,Bangalore,Ragi,30,19,01-Jan-2016
Karnataka,KK,Bangalore,Doddaballa Pur,Ragi,30,90,01-Jan-2016
Karnataka,KK,Chamrajnagar,Kollegal,Ragi,30,356,01-Jan-2016
Karnataka,KK,Chikmagalur,Bagepalli,Ragi,30,6,01-Jan-2016
Karnataka,KK,Chikmagalur,Kadur,Ragi,30,13,01-Jan-2016
Karnataka,KK,Davangere,Davangere,Ragi,30,43,01-Jan-2016
Karnataka,KK,Hassan,Arasikere,Ragi,30,374,01-Jan-2016
Karnataka,KK,Kolar,Chintamani,Ragi,30,46,01-Jan-2016
Karnataka,KK,Kolar,Malur,Ragi,30,6,01-Jan-2016
Karnataka,KK,Tumkur,Kunigal,Ragi,30,7,01-Jan-2016
Karnataka,KK,Tumkur,Sira,Ragi,30,1,01-Jan-2016
Karnataka,KK,Tumkur,Tumkur,Ragi,30,18,01-Jan-2016
Karnataka,KK,Bangalore,Bangalore,Ragi,30,13,02-Jan-2016
Karnataka,KK,Bangalore,Doddaballa Pur,Ragi,30,83,02-Jan-2016
Karnataka,KK,Chikmagalur,Tarikere,Ragi,30,1,02-Jan-2016
Karnataka,KK,Hassan,Arasikere,Ragi,30,5,02-Jan-2016
Karnataka,KK,Hassan,Belur,Ragi,30,30,02-Jan-2016
Karnataka,KK,Hassan,Channarayapatna,Ragi,30,12,02-Jan-2016
Karnataka,KK,Hassan,Holenarsipura,Ragi,30,10,02-Jan-2016
Karnataka,KK,Mysore,Mysore (Bandipalya),Ragi,30,3,02-Jan-2016
Karnataka,KK,Mysore,Piriya Pattana,Ragi,30,30,02-Jan-2016
Karnataka,KK,Tumkur,Huliyar,Ragi,30,10,02-Jan-2016
Karnataka,KK,Tumkur,Kunigal,Ragi,30,10,02-Jan-2016
Karnataka,KK,Bangalore,Bangalore,Ragi,30,6,04-Jan-2016
Karnataka,KK,Bangalore,Doddaballa Pur,Ragi,30,95,04-Jan-2016
Karnataka,KK,Bellary,Kottur,Ragi,30,1,04-Jan-2016
Karnataka,KK,Chikmagalur,Bagepalli,Ragi,30,4,04-Jan-2016
Karnataka,KK,Hassan,Arasikere,Ragi,30,44,04-Jan-2016
Karnataka,KK,Hassan,Belur,Ragi,30,20,04-Jan-2016
Karnataka,KK,Kolar,Bangarpet,Ragi,30,16,04-Jan-2016
Karnataka,KK,Kolar,Chintamani,Ragi,30,90,04-Jan-2016
Karnataka,KK,Mandya,Nagamangala,Ragi,30,36,04-Jan-2016
Karnataka,KK,Mysore,Mysore (Bandipalya),Ragi,30,224,04-Jan-2016
Karnataka,KK,Mysore,T. Narasipura,Ragi,30,10,04-Jan-2016
Karnataka,KK,Tumkur,Gubbi,Ragi,30,26,04-Jan-2016
Karnataka,KK,Bangalore,Bangalore,Ragi,30,25,05-Jan-2016
Karnataka,KK,Bangalore,Doddaballa Pur,Ragi,30,83,05-Jan-2016
Karnataka,KK,Hassan,Arasikere,Ragi,30,107,05-Jan-2016
Karnataka,KK,Hassan,Channarayapatna,Ragi,30,4,05-Jan-2016
Karnataka,KK,Hassan,Hassan,Ragi,30,30,05-Jan-2016
Karnataka,KK,Mandya,K.R. Pet,Ragi,30,39,05-Jan-2016
Karnataka,KK,Mysore,Mysore (Bandipalya),Ragi,30,1,05-Jan-2016
Karnataka,KK,Mysore,Piriya Pattana,Ragi,30,20,05-Jan-2016
Karnataka,KK,Tumkur,Sira,Ragi,30,1,05-Jan-2016
Karnataka,KK,Tumkur,Tumkur,Ragi,30,41,05-Jan-2016
Karnataka,KK,Bangalore,Bangalore,Ragi,30,6,06-Jan-2016
Karnataka,KK,Bellary,Kottur,Ragi,30,1,06-Jan-2016
Karnataka,KK,Chikmagalur,Kadur,Ragi,30,20,06-Jan-2016
Karnataka,KK,Hassan,Arasikere,Ragi,30,108,06-Jan-2016
Karnataka,KK,Hassan,Hassan,Ragi,30,103,06-Jan-2016
Karnataka,KK,Kolar,Bangarpet,Ragi,30,3,06-Jan-2016
Karnataka,KK,Kolar,Gowribidanoor,Ragi,30,3,06-Jan-2016
Karnataka,KK,Mandya,K.R. Pet,Ragi,30,20,06-Jan-2016
Karnataka,KK,Mandya,Nagamangala,Ragi,30,249,06-Jan-2016
Karnataka,KK,Mysore,Hunsur,Ragi,30,3,06-Jan-2016
Karnataka,KK,Tumkur,Tumkur,Ragi,30,25,06-Jan-2016
Karnataka,KK,Bangalore,Bangalore,Ragi,30,39,07-Jan-2016
Karnataka,KK,Hassan,Channarayapatna,Ragi,30,8,07-Jan-2016
Karnataka,KK,Hassan,Holenarsipura,Ragi,30,1,07-Jan-2016
Karnataka,KK,Kolar,Chintamani,Ragi,30,8,07-Jan-2016
Karnataka,KK,Mandya,K.R. Pet,Ragi,30,40,07-Jan-2016
Karnataka,KK,Mandya,Nagamangala,Ragi,30,19,07-Jan-2016
Karnataka,KK,Bangalore,Bangalore,Ragi,30,22,08-Jan-2016
Karnataka,KK,Bellary,Kottur,Ragi,30,1,08-Jan-2016
Karnataka,KK,Chikmagalur,Chikkamagalore,Ragi,30,10,08-Jan-2016
Karnataka,KK,Chitradurga,Hosadurga,Ragi,30,20,08-Jan-2016
Karnataka,KK,Davangere,Davangere,Ragi,30,43,08-Jan-2016
Karnataka,KK,Hassan,Arasikere,Ragi,30,20,08-Jan-2016
Karnataka,KK,Hassan,Holenarsipura,Ragi,30,30,08-Jan-2016
Karnataka,KK,Mandya,K.R. Pet,Ragi,30,21,08-Jan-2016
Karnataka,KK,Mandya,Nagamangala,Ragi,30,15,08-Jan-2016
Karnataka,KK,Tumkur,Huliyar,Ragi,30,16,08-Jan-2016
Karnataka,KK,Tumkur,Tumkur,Ragi,30,37,08-Jan-2016
Karnataka,KK,Hassan,Channarayapatna,Ragi,30,49,09-Jan-2016
Karnataka,KK,Bellary,H.B. Halli,Ragi,30,1,10-Jan-2016
Karnataka,KK,Hassan,Belur,Ragi,30,14,10-Jan-2016
Karnataka,KK,Hassan,Channarayapatna,Ragi,30,7,10-Jan-2016
Karnataka,KK,Kolar,Chintamani,Ragi,30,15,10-Jan-2016
Karnataka,KK,Bangalore,Bangalore,Ragi,30,66,11-Jan-2016
Karnataka,KK,Bellary,Kottur,Ragi,30,1,11-Jan-2016
Karnataka,KK,Chikmagalur,Bagepalli,Ragi,30,3,11-Jan-2016
Karnataka,KK,Chikmagalur,Tarikere,Ragi,30,3,11-Jan-2016
Karnataka,KK,Chitradurga,Hosadurga,Ragi,30,21,11-Jan-2016
Karnataka,KK,Hassan,Arasikere,Ragi,30,55,11-Jan-2016
Karnataka,KK,Hassan,Hassan,Ragi,30,56,11-Jan-2016
