"Min,Max,Modal Price from Karnataka[Ragi (Finger Millet)] from 01-Jan-2011To31-Dec-2011 (Total-3185) (Total-3185)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
252,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,830,830,830,1-Jan-11
802,Bangalore,Bangalore,Ragi (Finger Millet),Fine,FAQ,1200,1300,1250,1-Jan-11
803,Bangalore,Bangalore,Ragi (Finger Millet),Medium,FAQ,900,1000,975,1-Jan-11
2608,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,680,940,831,1-Jan-11
2686,Mandya,Nagamangala,Ragi (Finger Millet),Other,Medium,750,850,850,1-Jan-11
3016,Chikmagalur,Tarikere,Ragi (Finger Millet),Local,FAQ,845,845,845,1-Jan-11
2780,Mysore,Piriya Pattana,Ragi (Finger Millet),Local,FAQ,800,965,900,2-Jan-11
251,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,750,860,820,3-Jan-11
800,Bangalore,Bangalore,Ragi (Finger Millet),Fine,FAQ,1200,1300,1250,3-Jan-11
801,Bangalore,Bangalore,Ragi (Finger Millet),Medium,FAQ,900,1000,975,3-Jan-11
1158,Kolar,Chintamani,Ragi (Finger Millet),Local,FAQ,900,950,925,3-Jan-11
2607,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,735,962,856,3-Jan-11
2685,Mandya,Nagamangala,Ragi (Finger Millet),Local,Medium,975,975,975,3-Jan-11
2779,Mysore,Piriya Pattana,Ragi (Finger Millet),Local,FAQ,770,770,770,3-Jan-11
250,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,812,812,812,4-Jan-11
1550,Hassan,Hassan,Ragi (Finger Millet),Other,FAQ,800,1026,800,4-Jan-11
2694,Tumkur,Pavagada,Ragi (Finger Millet),Fine,FAQ,1100,1300,1200,4-Jan-11
249,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,730,820,800,5-Jan-11
798,Bangalore,Bangalore,Ragi (Finger Millet),Fine,FAQ,1200,1300,1250,5-Jan-11
799,Bangalore,Bangalore,Ragi (Finger Millet),Medium,FAQ,900,1000,975,5-Jan-11
1746,Hassan,Holenarsipura,Ragi (Finger Millet),Local,FAQ,750,850,800,5-Jan-11
2606,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,FAQ,740,916,878,5-Jan-11
2684,Mandya,Nagamangala,Ragi (Finger Millet),Fine,Medium,820,900,850,5-Jan-11
248,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,780,850,800,6-Jan-11
1157,Kolar,Chintamani,Ragi (Finger Millet),Local,FAQ,850,950,900,6-Jan-11
1745,Hassan,Holenarsipura,Ragi (Finger Millet),Local,FAQ,750,850,800,6-Jan-11
2191,Chikmagalur,Kadur,Ragi (Finger Millet),Local,FAQ,700,700,700,6-Jan-11
2605,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,701,920,864,6-Jan-11
3183,Tumkur,Tumkur,Ragi (Finger Millet),Local,Medium,900,1100,1000,6-Jan-11
247,Hassan,Arasikere,Ragi (Finger Millet),Local,Medium,750,850,800,7-Jan-11
796,Bangalore,Bangalore,Ragi (Finger Millet),Fine,FAQ,1000,1200,1100,7-Jan-11
797,Bangalore,Bangalore,Ragi (Finger Millet),Medium,FAQ,850,1000,950,7-Jan-11
1744,Hassan,Holenarsipura,Ragi (Finger Millet),Local,FAQ,750,850,800,7-Jan-11
2604,Mysore,Mysore (Bandipalya),Ragi (Finger Millet),Local,Medium,675,918,770,7-Jan-11
3182,Tumkur,Tumkur,Ragi (Finger Millet),Local,Medium,950,1100,1000,7-Jan-11
1743,Hassan,Holenarsipura,Ragi (Finger Millet),Local,FAQ,800,850,825,8-Jan-11
1742,Hassan,Holenarsipura,Ragi (Finger Millet),Local,FAQ,750,850,800,9-Jan-11
