"Crop Production Statistics",,,,,
,,,,,
"State/Crop/District","Year","Season","Area (Hectare)","Production (Tonnes)","Yield (Tonnes/Hectare)"
"Karnataka",,,,,
"Rice",,,,,
" 1.BAGALKOTE"," 2008-09","Kharif     ",87,266,3.06
," 2009-10","Kharif     ",133,382,2.87
," 2010-11","Kharif     ",121,388,3.21
,,"Summer     ",23,74,3.22
,,"Total",144,462,3.21
," 2011-12","Kharif     ",79,254,3.22
,,"Summer     ",6,20,3.33
,,"Total",85,274,3.22
," 2012-13","Kharif     ",49,125,2.55
," 2013-14","Kharif     ",54,160,2.96
," 2014-15","Kharif     ",25,76,3.04
," 2015-16","Kharif     ",32,87,2.72
," 2016-17","Kharif     ",17,47,2.76
," 2018-19","Kharif     ",54,154,2.85
" 2.BALLARI"," 2008-09","Kharif     ",77958,283650,3.64
,,"Rabi       ",150,700,4.67
,,"Summer     ",44613,157154,3.52
,,"Total",122721,441504,3.60
," 2009-10","Kharif     ",80447,248380,3.09
,,"Rabi       ",46,185,4.02
,,"Summer     ",39921,132661,3.32
,,"Total",120414,381226,3.17
," 2010-11","Kharif     ",88799,339376,3.82
,,"Rabi       ",135,602,4.46
,,"Summer     ",41745,145941,3.50
,,"Total",130679,485919,3.72
," 2011-12","Kharif     ",77226,288837,3.74
,,"Summer     ",38943,139548,3.58
,,"Total",116169,428385,3.69
," 2012-13","Kharif     ",78029,289394,3.71
,,"Summer     ",31119,98386,3.16
,,"Total",109148,387780,3.55
," 2013-14","Kharif     ",76010,290788,3.83
,,"Summer     ",34538,127832,3.70
,,"Total",110548,418620,3.79
," 2014-15","Kharif     ",77598,286690,3.69
,,"Rabi       ",40,99,2.48
,,"Summer     ",41005,121344,2.96
,,"Total",118643,408133,3.44
," 2015-16","Kharif     ",75608,283647,3.75
,,"Summer     ",18058,57796,3.20
,,"Total",93666,341443,3.65
," 2016-17","Kharif     ",83580,328323,3.93
,,"Rabi       ",11,29,2.64
,,"Summer     ",3417,9443,2.76
,,"Total",87008,337795,3.88
," 2017-18","Kharif     ",55561,234990,4.23
,,"Rabi       ",6619,17657,2.67
,,"Summer     ",39753,135691,3.41
,,"Total",101933,388338,3.81
," 2018-19","Kharif     ",105813,427823,4.04
,,"Rabi       ",1551,3841,2.48
,,"Summer     ",30541,111530,3.65
,,"Total",137905,543194,3.94
" 3.BANGALORE RURAL"," 2008-09","Kharif     ",1782,7753,4.35
,,"Rabi       ",12,26,2.17
,,"Summer     ",439,1326,3.02
,,"Total",2233,9105,4.08
," 2009-10","Kharif     ",1525,6751,4.43
,,"Rabi       ",3,7,2.33
,,"Summer     ",139,425,3.06
,,"Total",1667,7183,4.31
," 2010-11","Kharif     ",1531,4486,2.93
,,"Summer     ",155,501,3.23
,,"Total",1686,4987,2.96
," 2011-12","Kharif     ",1460,4836,3.31
,,"Summer     ",153,521,3.41
,,"Total",1613,5357,3.32
," 2012-13","Kharif     ",963,2796,2.90
,,"Rabi       ",1,2,2.00
,,"Summer     ",13,41,3.15
,,"Total",977,2839,2.91
," 2013-14","Kharif     ",685,2197,3.21
,,"Summer     ",137,463,3.38
,,"Total",822,2660,3.24
," 2014-15","Kharif     ",598,2093,3.50
,,"Summer     ",49,150,3.06
,,"Total",647,2243,3.47
," 2015-16","Kharif     ",704,1853,2.63
,,"Summer     ",32,95,2.97
,,"Total",736,1948,2.65
," 2016-17","Kharif     ",540,1413,2.62
,,"Rabi       ",1,3,3.00
,,"Summer     ",48,138,2.88
,,"Total",589,1554,2.64
," 2017-18","Kharif     ",532,1510,2.84
,,"Summer     ",144,450,3.13
,,"Total",676,1960,2.90
," 2018-19","Kharif     ",186,553,2.97
,,"Summer     ",79,253,3.20
,,"Total",265,806,3.04
" 4.BELAGAVI"," 2008-09","Kharif     ",71079,93185,1.31
,,"Summer     ",160,483,3.02
,,"Total",71239,93668,1.31
