State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Hassan,Holenarsipura,Rice,3,10,01-Jan-2012
Karnataka,KK,Kolar,Chintamani,Rice,3,32,01-Jan-2012
Karnataka,KK,Bangalore,Bangalore,Rice,3,2151,02-Jan-2012
Karnataka,KK,Bidar,Bidar,Rice,3,27,02-Jan-2012
Karnataka,KK,Gulbarga,Gulbarga,Rice,3,15,02-Jan-2012
Karnataka,KK,Hassan,Hassan,Rice,3,6,02-Jan-2012
Karnataka,KK,Haveri,Hanagal,Rice,3,10,02-Jan-2012
Karnataka,KK,Karwar(Uttar Kannad),Karwar,Rice,3,2,02-Jan-2012
Karnataka,KK,Kolar,Bangarpet,Rice,3,562,02-Jan-2012
Karnataka,KK,Kolar,Chintamani,Rice,3,34,02-Jan-2012
Karnataka,KK,Madikeri(Kodagu),Somvarpet,Rice,3,10,02-Jan-2012
Karnataka,KK,Mandya,Nagamangala,Rice,3,9,02-Jan-2012
Karnataka,KK,Mangalore(Dakshin Kannad),Mangalore,Rice,3,50,02-Jan-2012
Karnataka,KK,Mysore,K.R.Nagar,Rice,3,12,02-Jan-2012
Karnataka,KK,Mysore,Mysore (Bandipalya),Rice,3,280,02-Jan-2012
Karnataka,KK,Raichur,Sindhanur,Rice,3,119,02-Jan-2012
Karnataka,KK,Shimoga,Shimoga,Rice,3,16,02-Jan-2012
Karnataka,KK,Bangalore,Bangalore,Rice,3,1783,03-Jan-2012
Karnataka,KK,Bidar,Bidar,Rice,3,26,03-Jan-2012
Karnataka,KK,Gulbarga,Gulbarga,Rice,3,9,03-Jan-2012
Karnataka,KK,Kolar,Bangarpet,Rice,3,343,03-Jan-2012
Karnataka,KK,Kolar,Chickkaballapura,Rice,3,7,03-Jan-2012
Karnataka,KK,Kolar,Chintamani,Rice,3,40,03-Jan-2012
Karnataka,KK,Koppal,Gangavathi,Rice,3,17,03-Jan-2012
Karnataka,KK,Madikeri(Kodagu),Madikeri,Rice,3,3,03-Jan-2012
Karnataka,KK,Madikeri(Kodagu),Somvarpet,Rice,3,10,03-Jan-2012
Karnataka,KK,Mangalore(Dakshin Kannad),Mangalore,Rice,3,45,03-Jan-2012
Karnataka,KK,Mysore,Hunsur,Rice,3,10,03-Jan-2012
Karnataka,KK,Mysore,Mysore (Bandipalya),Rice,3,261,03-Jan-2012
Karnataka,KK,Mysore,T. Narasipura,Rice,3,20,03-Jan-2012
Karnataka,KK,Tumkur,Pavagada,Rice,3,16,03-Jan-2012
Karnataka,KK,Bangalore,Bangalore,Rice,3,1809,04-Jan-2012
Karnataka,KK,Bangalore,Channapatana,Rice,3,10,04-Jan-2012
Karnataka,KK,Bidar,Bidar,Rice,3,29,04-Jan-2012
Karnataka,KK,Gulbarga,Gulbarga,Rice,3,11,04-Jan-2012
Karnataka,KK,Hassan,Arasikere,Rice,3,20,04-Jan-2012
Karnataka,KK,Hassan,Holenarsipura,Rice,3,10,04-Jan-2012
Karnataka,KK,Kolar,Bangarpet,Rice,3,80,04-Jan-2012
Karnataka,KK,Koppal,Gangavathi,Rice,3,39,04-Jan-2012
Karnataka,KK,Madikeri(Kodagu),Somvarpet,Rice,3,10,04-Jan-2012
Karnataka,KK,Mangalore(Dakshin Kannad),Mangalore,Rice,3,60,04-Jan-2012
Karnataka,KK,Mysore,K.R.Nagar,Rice,3,51,04-Jan-2012
Karnataka,KK,Mysore,Mysore (Bandipalya),Rice,3,321,04-Jan-2012
Karnataka,KK,Raichur,Sindhanur,Rice,3,86,04-Jan-2012
Karnataka,KK,Bangalore,Bangalore,Rice,3,2024,05-Jan-2012
Karnataka,KK,Bangalore,Channapatana,Rice,3,10,05-Jan-2012
Karnataka,KK,Bidar,Bidar,Rice,3,25,05-Jan-2012
Karnataka,KK,Gulbarga,Gulbarga,Rice,3,17,05-Jan-2012
Karnataka,KK,Hassan,Arasikere,Rice,3,15,05-Jan-2012
Karnataka,KK,Hassan,Sakaleshpura,Rice,3,10,05-Jan-2012
Karnataka,KK,Karwar(Uttar Kannad),Karwar,Rice,3,1,05-Jan-2012
Karnataka,KK,Kolar,Bangarpet,Rice,3,250,05-Jan-2012
Karnataka,KK,Kolar,Chintamani,Rice,3,46,05-Jan-2012
Karnataka,KK,Kolar,Mulabagilu,Rice,3,5,05-Jan-2012
Karnataka,KK,Koppal,Gangavathi,Rice,3,13,05-Jan-2012
Karnataka,KK,Mangalore(Dakshin Kannad),Mangalore,Rice,3,50,05-Jan-2012
Karnataka,KK,Mysore,K.R.Nagar,Rice,3,126,05-Jan-2012
Karnataka,KK,Mysore,Mysore (Bandipalya),Rice,3,178,05-Jan-2012
Karnataka,KK,Raichur,Sindhanur,Rice,3,125,05-Jan-2012
Karnataka,KK,Shimoga,Shimoga,Rice,3,12,05-Jan-2012
Karnataka,KK,Bangalore,Bangalore,Rice,3,1762,06-Jan-2012
Karnataka,KK,Bellary,Hospet,Rice,3,7,06-Jan-2012
Karnataka,KK,Bidar,Bidar,Rice,3,26,06-Jan-2012
Karnataka,KK,Chamrajnagar,Gundlupet,Rice,3,3,06-Jan-2012
Karnataka,KK,Gulbarga,Gulbarga,Rice,3,7,06-Jan-2012
Karnataka,KK,Hassan,Holenarsipura,Rice,3,10,06-Jan-2012
Karnataka,KK,Kolar,Bangarpet,Rice,3,271,06-Jan-2012
Karnataka,KK,Kolar,Chintamani,Rice,3,43,06-Jan-2012
Karnataka,KK,Kolar,Kolar,Rice,3,3,06-Jan-2012
Karnataka,KK,Kolar,Malur,Rice,3,16,06-Jan-2012
Karnataka,KK,Koppal,Gangavathi,Rice,3,13,06-Jan-2012
Karnataka,KK,Mangalore(Dakshin Kannad),Mangalore,Rice,3,40,06-Jan-2012
Karnataka,KK,Mysore,K.R.Nagar,Rice,3,10,06-Jan-2012
Karnataka,KK,Mysore,Mysore (Bandipalya),Rice,3,231,06-Jan-2012
Karnataka,KK,Raichur,Sindhanur,Rice,3,48,06-Jan-2012
Karnataka,KK,Shimoga,Shikaripura,Rice,3,32,06-Jan-2012
Karnataka,KK,Tumkur,Madhugiri,Rice,3,1,06-Jan-2012
