"Min,Max,Modal Price from Karnataka[Rice] from 01-Jan-2013To31-Dec-2013 (Total-5194) (Total-5194)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
8,Hassan,Arasikere,Rice,Medium,Medium,3000,3500,3250,1-Jan-13
517,Bangalore,Bangalore,Rice,Dappa,FAQ,1500,1620,1560,1-Jan-13
518,Bangalore,Bangalore,Rice,Medium,FAQ,2800,3400,3200,1-Jan-13
519,Bangalore,Bangalore,Rice,Fine,FAQ,3400,3980,3650,1-Jan-13
885,Kolar,Bangarpet,Rice,Sarbati Raw,FAQ,2380,2650,2450,1-Jan-13
886,Kolar,Bangarpet,Rice,Broken Rice,FAQ,1380,1680,1550,1-Jan-13
1047,Mangalore(Dakshin Kannad),Belthangdi,Rice,Kachha Basmati,FAQ,2200,3200,2800,1-Jan-13
1359,Bidar,Bidar,Rice,CR 1009 (Coarse) Boiled,FAQ,2900,3900,3600,1-Jan-13
1360,Bidar,Bidar,Rice,Broken Rice,FAQ,1800,2200,2100,1-Jan-13
1937,Kolar,Chintamani,Rice,Sona,FAQ,2850,3900,3700,1-Jan-13
1938,Kolar,Chintamani,Rice,Hansa,FAQ,2000,2350,2150,1-Jan-13
1939,Kolar,Chintamani,Rice,Broken Rice,FAQ,1540,1765,1650,1-Jan-13
2363,Gulbarga,Gulbarga,Rice,Broken Rice,FAQ,1300,1900,1725,1-Jan-13
2364,Gulbarga,Gulbarga,Rice,Fine,FAQ,2600,3600,3000,1-Jan-13
2496,Haveri,Haveri,Rice,Coarse,Medium,1720,1720,1720,1-Jan-13
2573,Hassan,Holenarsipura,Rice,Coarse,FAQ,1770,1770,1770,1-Jan-13
2979,Kolar,Kolar,Rice,Fine,FAQ,2000,4500,3435,1-Jan-13
3102,Udupi,Kundapura,Rice,CR 1009 (Coarse) Boiled,FAQ,2000,2000,2000,1-Jan-13
3694,Mangalore(Dakshin Kannad),Mangalore,Rice,Kattasambar,FAQ,2400,2480,2450,1-Jan-13
3695,Mangalore(Dakshin Kannad),Mangalore,Rice,IR-8,FAQ,2760,2800,2790,1-Jan-13
3696,Mangalore(Dakshin Kannad),Mangalore,Rice,Fine,FAQ,2800,3060,2950,1-Jan-13
3707,Raichur,Manvi,Rice,Pusa Basmati Raw (New),Medium,1810,2893,2654,1-Jan-13
