State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,89,02-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,2,02-Jan-2012
Karnataka,KK,Bidar,Bhalki,Soyabean,13,11,02-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,72,02-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,56,02-Jan-2012
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,58,02-Jan-2012
Karnataka,KK,Haveri,Savanur,Soyabean,13,39,02-Jan-2012
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,154,03-Jan-2012
Karnataka,KK,Belgaum,Soundati,Soyabean,13,10,03-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,3,03-Jan-2012
Karnataka,KK,Bidar,Bhalki,Soyabean,13,11,03-Jan-2012
Karnataka,KK,Bidar,Humanabad,Soyabean,13,1,03-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,43,03-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,2,03-Jan-2012
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,22,03-Jan-2012
Karnataka,KK,Haveri,Savanur,Soyabean,13,9,03-Jan-2012
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,91,04-Jan-2012
Karnataka,KK,Belgaum,Sankeshwar,Soyabean,13,44,04-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,2,04-Jan-2012
Karnataka,KK,Bidar,Bhalki,Soyabean,13,16,04-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,75,04-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,8,04-Jan-2012
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,71,04-Jan-2012
Karnataka,KK,Haveri,Savanur,Soyabean,13,8,04-Jan-2012
Karnataka,KK,Belgaum,Sankeshwar,Soyabean,13,26,05-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,1,05-Jan-2012
Karnataka,KK,Bidar,Bhalki,Soyabean,13,15,05-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,78,05-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,14,05-Jan-2012
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,38,05-Jan-2012
Karnataka,KK,Haveri,Savanur,Soyabean,13,11,05-Jan-2012
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,12,06-Jan-2012
Karnataka,KK,Belgaum,Nippani,Soyabean,13,1,06-Jan-2012
Karnataka,KK,Belgaum,Sankeshwar,Soyabean,13,25,06-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,1,06-Jan-2012
Karnataka,KK,Bidar,Bhalki,Soyabean,13,11,06-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,73,06-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,19,06-Jan-2012
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,23,06-Jan-2012
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,248,07-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,1,07-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,26,07-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,24,07-Jan-2012
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,12,07-Jan-2012
Karnataka,KK,Haveri,Savanur,Soyabean,13,5,07-Jan-2012
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,94,09-Jan-2012
Karnataka,KK,Belgaum,Sankeshwar,Soyabean,13,28,09-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,1,09-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,65,09-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,71,09-Jan-2012
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,60,09-Jan-2012
Karnataka,KK,Haveri,Savanur,Soyabean,13,29,09-Jan-2012
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,62,10-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,2,10-Jan-2012
Karnataka,KK,Bidar,Bhalki,Soyabean,13,12,10-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,55,10-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,24,10-Jan-2012
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,12,10-Jan-2012
Karnataka,KK,Belgaum,Sankeshwar,Soyabean,13,15,11-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,1,11-Jan-2012
Karnataka,KK,Bidar,Bhalki,Soyabean,13,10,11-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,41,11-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,27,11-Jan-2012
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,29,11-Jan-2012
Karnataka,KK,Belgaum,Sankeshwar,Soyabean,13,4,12-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,2,12-Jan-2012
Karnataka,KK,Bidar,Bhalki,Soyabean,13,8,12-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,81,12-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,38,12-Jan-2012
Karnataka,KK,Haveri,Savanur,Soyabean,13,27,12-Jan-2012
Karnataka,KK,Belgaum,Sankeshwar,Soyabean,13,21,13-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,1,13-Jan-2012
Karnataka,KK,Bidar,Bhalki,Soyabean,13,11,13-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,74,13-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,22,13-Jan-2012
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,25,13-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,20,14-Jan-2012
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,12,14-Jan-2012
Karnataka,KK,Bangalore,Bangalore,Soyabean,13,2,16-Jan-2012
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,30,16-Jan-2012
Karnataka,KK,Belgaum,Sankeshwar,Soyabean,13,5,16-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,158,16-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,15,16-Jan-2012
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,25,16-Jan-2012
Karnataka,KK,Haveri,Savanur,Soyabean,13,3,16-Jan-2012
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,34,17-Jan-2012
Karnataka,KK,Bidar,Basava Kalayana,Soyabean,13,1,17-Jan-2012
Karnataka,KK,Bidar,Bhalki,Soyabean,13,4,17-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,20,17-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,29,17-Jan-2012
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,12,17-Jan-2012
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,21,18-Jan-2012
Karnataka,KK,Belgaum,Sankeshwar,Soyabean,13,30,18-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,65,18-Jan-2012
Karnataka,KK,Dharwad,Hubli (Amaragol),Soyabean,13,7,18-Jan-2012
Karnataka,KK,Dharwad,Kalagategi,Soyabean,13,91,18-Jan-2012
Karnataka,KK,Belgaum,Bailahongal,Soyabean,13,15,19-Jan-2012
Karnataka,KK,Belgaum,Sankeshwar,Soyabean,13,32,19-Jan-2012
Karnataka,KK,Bidar,Bhalki,Soyabean,13,4,19-Jan-2012
Karnataka,KK,Dharwad,Dharwar,Soyabean,13,26,19-Jan-2012
