"Min,Max,Modal Price from Karnataka[Soyabean] from 01-Jan-2014To31-Dec-2014 (Total-1398) (Total-1398)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
275,Bidar,Basava Kalayana,Soyabean,Soyabeen,Medium,3800,0,0,29-Mar-14
1251,Belgaum,Nandagada,Soyabean,Local,Medium,1600,1600,1600,12-Feb-14
1265,Belgaum,Nippani,Soyabean,Soyabeen,Medium,2000,3000,2400,17-Sep-14
952,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,1936,3109,2419,23-Dec-14
1036,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2432,3776,2432,21-Jun-14
627,Dharwad,Dharwar,Soyabean,Soyabeen,Medium,2445,2445,2445,25-Sep-14
1017,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2500,2500,2500,30-Aug-14
1136,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2011,3519,2501,20-Jan-14
1140,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,1611,3411,2501,13-Jan-14
1026,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2209,3509,2509,25-Jul-14
1005,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2119,2819,2529,9-Oct-14
620,Dharwad,Dharwar,Soyabean,Soyabeen,Medium,2550,2610,2560,15-Oct-14
819,Gulbarga,Gulbarga,Soyabean,Soyabeen,Medium,2451,2808,2575,12-Sep-14
818,Gulbarga,Gulbarga,Soyabean,Soyabeen,Medium,2462,2818,2601,13-Sep-14
1041,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2601,3000,2601,12-Jun-14
1130,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2101,3586,2601,28-Jan-14
619,Dharwad,Dharwar,Soyabean,Soyabeen,Medium,2640,2680,2650,20-Oct-14
1051,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2666,2666,2666,27-May-14
622,Dharwad,Dharwar,Soyabean,Soyabeen,Medium,2700,2700,2700,9-Oct-14
1211,Dharwad,Kalagategi,Soyabean,Soyabeen,Medium,2700,2700,2700,23-Oct-14
1266,Belgaum,Nippani,Soyabean,Soyabeen,Medium,2700,2700,2700,5-Sep-14
1297,Belgaum,Sankeshwar,Soyabean,Soyabeen,Medium,2600,2752,2700,10-Oct-14
1016,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,1500,3001,2701,1-Sep-14
1007,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2709,2709,2709,30-Sep-14
742,Gadag,Gadag,Soyabean,Soyabeen,Medium,2715,2715,2715,15-Nov-14
617,Dharwad,Dharwar,Soyabean,Soyabeen,Medium,2701,2750,2725,30-Oct-14
1006,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2119,2832,2729,7-Oct-14
960,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,1928,3246,2732,12-Dec-14
961,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,1821,3209,2732,11-Dec-14
1001,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2732,2911,2732,14-Oct-14
1134,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,1701,3569,2739,23-Jan-14
1292,Belgaum,Sankeshwar,Soyabean,Soyabeen,Medium,2700,2800,2750,20-Oct-14
1110,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,1532,3747,2761,24-Feb-14
949,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,1669,3259,2765,27-Dec-14
805,Gulbarga,Gulbarga,Soyabean,Soyabeen,Medium,2715,2850,2780,14-Oct-14
798,Gulbarga,Gulbarga,Soyabean,Soyabeen,Medium,2612,2950,2781,25-Oct-14
959,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2010,3200,2795,13-Dec-14
208,Bidar,Basava Kalayana,Soyabean,Soyabeen,Medium,2500,3050,2800,13-Oct-14
614,Dharwad,Dharwar,Soyabean,Soyabeen,Medium,2775,2975,2800,5-Nov-14
804,Gulbarga,Gulbarga,Soyabean,Soyabeen,Medium,2700,2900,2800,15-Oct-14
812,Gulbarga,Gulbarga,Soyabean,Soyabeen,Medium,2500,3000,2800,26-Sep-14
1179,Bidar,Humanabad,Soyabean,Soyabeen,Medium,2500,2900,2800,17-Oct-14
1181,Bidar,Humanabad,Soyabean,Soyabeen,Medium,2700,2900,2800,15-Oct-14
1188,Bidar,Humanabad,Soyabean,Soyabeen,Medium,2700,3100,2800,30-Sep-14
1209,Dharwad,Kalagategi,Soyabean,Soyabeen,Medium,2800,2800,2800,2-Nov-14
1259,Belgaum,Nippani,Soyabean,Soyabeen,Medium,2800,2800,2800,25-Oct-14
1260,Belgaum,Nippani,Soyabean,Soyabeen,Medium,2800,2800,2800,21-Oct-14
1261,Belgaum,Nippani,Soyabean,Soyabeen,Medium,2800,2800,2800,17-Oct-14
365,Bidar,Bhalki,Soyabean,Soyabeen,Medium,2720,2950,2801,14-Oct-14
998,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2769,2951,2801,18-Oct-14
1003,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2801,2801,2801,11-Oct-14
1004,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2619,2946,2801,10-Oct-14
1043,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2801,3811,2801,10-Jun-14
1077,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2801,3842,2801,9-Apr-14
1143,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2501,3439,2801,8-Jan-14
1147,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2121,3425,2801,4-Jan-14
1148,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,2121,3425,2801,4-Jan-14
363,Bidar,Bhalki,Soyabean,Soyabeen,Medium,2701,3105,2802,17-Oct-14
1002,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2732,2842,2802,13-Oct-14
511,Bidar,Bidar,Soyabean,Soyabeen,Medium,2650,2926,2805,14-Oct-14
967,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,1921,3166,2809,4-Dec-14
1009,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2809,3009,2809,25-Sep-14
1034,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2809,2809,2809,24-Jun-14
999,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2759,2919,2819,17-Oct-14
1059,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2819,3809,2819,14-May-14
803,Gulbarga,Gulbarga,Soyabean,Soyabeen,Medium,2650,2950,2825,16-Oct-14
953,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2030,3172,2829,20-Dec-14
1290,Belgaum,Sankeshwar,Soyabean,Soyabeen,Medium,2800,2862,2830,25-Oct-14
1046,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,2832,2832,2832,4-Jun-14
3,Belgaum,Athani,Soyabean,Soyabeen,Medium,2600,3050,2835,23-Sep-14
802,Gulbarga,Gulbarga,Soyabean,Soyabeen,Medium,2750,2975,2840,17-Oct-14
801,Gulbarga,Gulbarga,Soyabean,Soyabeen,Medium,2755,2982,2845,18-Oct-14
207,Bidar,Basava Kalayana,Soyabean,Soyabeen,Medium,2401,3050,2850,14-Oct-14
216,Bidar,Basava Kalayana,Soyabean,Soyabeen,Medium,2850,3202,2850,18-Sep-14
226,Bidar,Basava Kalayana,Soyabean,Soyabeen,Medium,2800,2900,2850,1-Sep-14
512,Bidar,Bidar,Soyabean,Soyabeen,Medium,2605,2906,2850,13-Oct-14
623,Dharwad,Dharwar,Soyabean,Soyabeen,Medium,2850,2850,2850,7-Oct-14
797,Gulbarga,Gulbarga,Soyabean,Soyabeen,Medium,2752,2950,2850,27-Oct-14
1286,Belgaum,Sankeshwar,Soyabean,Soyabeen,Medium,2800,2900,2850,31-Oct-14
1287,Belgaum,Sankeshwar,Soyabean,Soyabeen,Medium,2800,2900,2850,29-Oct-14
1288,Belgaum,Sankeshwar,Soyabean,Soyabeen,Medium,2800,2900,2850,28-Oct-14
970,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,Medium,1829,3251,2851,1-Dec-14
