State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Bidar,Bidar,Wheat,1,4,02-Jan-2008
Karnataka,KK,Bidar,Bidar,Wheat,1,3,03-Jan-2008
Karnataka,KK,Shimoga,Bhadravathi,Wheat,1,1,03-Jan-2008
Karnataka,KK,Bidar,Bidar,Wheat,1,4,04-Jan-2008
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,7,04-Jan-2008
Karnataka,KK,Shimoga,Bhadravathi,Wheat,1,2,04-Jan-2008
Karnataka,KK,Bidar,Bidar,Wheat,1,5,05-Jan-2008
Karnataka,KK,Bijapur,Bijapur,Wheat,1,5,05-Jan-2008
Karnataka,KK,Chikmagalur,Tarikere,Wheat,1,10,05-Jan-2008
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,7,05-Jan-2008
Karnataka,KK,Haveri,Ranebennur,Wheat,1,47,05-Jan-2008
Karnataka,KK,Mysore,K.R.Nagar,Wheat,1,15,05-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,16,05-Jan-2008
Karnataka,KK,Shimoga,Shimoga,Wheat,1,6,05-Jan-2008
Karnataka,KK,Belgaum,Ramdurga,Wheat,1,2,06-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Wheat,1,98,07-Jan-2008
Karnataka,KK,Bidar,Bidar,Wheat,1,4,07-Jan-2008
Karnataka,KK,Bijapur,Bijapur,Wheat,1,31,07-Jan-2008
Karnataka,KK,Chikmagalur,Chikkamagalore,Wheat,1,15,07-Jan-2008
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,7,07-Jan-2008
Karnataka,KK,Hassan,Hassan,Wheat,1,3,07-Jan-2008
Karnataka,KK,Kolar,Bangarpet,Wheat,1,14,07-Jan-2008
Karnataka,KK,Mysore,K.R.Nagar,Wheat,1,63,07-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,16,07-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Wheat,1,131,08-Jan-2008
Karnataka,KK,Chikmagalur,Chikkamagalore,Wheat,1,11,08-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,17,08-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Wheat,1,103,09-Jan-2008
Karnataka,KK,Belgaum,Sankeshwar,Wheat,1,3,09-Jan-2008
Karnataka,KK,Bidar,Bidar,Wheat,1,3,09-Jan-2008
Karnataka,KK,Bijapur,Bijapur,Wheat,1,2,09-Jan-2008
Karnataka,KK,Gadag,Gadag,Wheat,1,1,09-Jan-2008
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,7,09-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,3,09-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Wheat,1,42,10-Jan-2008
Karnataka,KK,Bidar,Bidar,Wheat,1,3,10-Jan-2008
Karnataka,KK,Bijapur,Bijapur,Wheat,1,3,10-Jan-2008
Karnataka,KK,Dharwad,Hubli (Amaragol),Wheat,1,1,10-Jan-2008
Karnataka,KK,Gadag,Gadag,Wheat,1,1,10-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,28,10-Jan-2008
Karnataka,KK,Shimoga,Bhadravathi,Wheat,1,3,10-Jan-2008
Karnataka,KK,Bidar,Bidar,Wheat,1,4,11-Jan-2008
Karnataka,KK,Bijapur,Bijapur,Wheat,1,13,11-Jan-2008
Karnataka,KK,Gadag,Gadag,Wheat,1,1,11-Jan-2008
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,7,11-Jan-2008
Karnataka,KK,Hassan,Hassan,Wheat,1,6,11-Jan-2008
Karnataka,KK,Kolar,Bangarpet,Wheat,1,14,11-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,5,11-Jan-2008
Karnataka,KK,Shimoga,Bhadravathi,Wheat,1,1,11-Jan-2008
Karnataka,KK,Shimoga,Shimoga,Wheat,1,7,11-Jan-2008
Karnataka,KK,Bidar,Bidar,Wheat,1,5,12-Jan-2008
Karnataka,KK,Gadag,Gadag,Wheat,1,6,12-Jan-2008
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,8,12-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,8,12-Jan-2008
Karnataka,KK,Belgaum,Ramdurga,Wheat,1,1,13-Jan-2008
Karnataka,KK,Chikmagalur,Tarikere,Wheat,1,10,13-Jan-2008
Karnataka,KK,Shimoga,Bhadravathi,Wheat,1,1,13-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Wheat,1,267,14-Jan-2008
Karnataka,KK,Bidar,Bidar,Wheat,1,7,14-Jan-2008
Karnataka,KK,Gadag,Gadag,Wheat,1,1,14-Jan-2008
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,8,14-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,16,14-Jan-2008
Karnataka,KK,Shimoga,Bhadravathi,Wheat,1,4,14-Jan-2008
Karnataka,KK,Bagalkot,Jamakhandi,Wheat,1,10,16-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Wheat,1,114,16-Jan-2008
Karnataka,KK,Chikmagalur,Chikkamagalore,Wheat,1,8,16-Jan-2008
Karnataka,KK,Gadag,Gadag,Wheat,1,1,16-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,12,16-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Wheat,1,56,17-Jan-2008
Karnataka,KK,Belgaum,Sankeshwar,Wheat,1,3,17-Jan-2008
Karnataka,KK,Bidar,Bidar,Wheat,1,6,17-Jan-2008
Karnataka,KK,Gadag,Gadag,Wheat,1,2,17-Jan-2008
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,19,17-Jan-2008
Karnataka,KK,Hassan,Hassan,Wheat,1,2,17-Jan-2008
Karnataka,KK,Shimoga,Bhadravathi,Wheat,1,2,17-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Wheat,1,82,18-Jan-2008
Karnataka,KK,Bidar,Bidar,Wheat,1,7,18-Jan-2008
Karnataka,KK,Bijapur,Bijapur,Wheat,1,6,18-Jan-2008
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,10,18-Jan-2008
Karnataka,KK,Shimoga,Bhadravathi,Wheat,1,1,18-Jan-2008
Karnataka,KK,Shimoga,Shimoga,Wheat,1,7,18-Jan-2008
Karnataka,KK,Chikmagalur,Tarikere,Wheat,1,11,19-Jan-2008
Karnataka,KK,Haveri,Ranebennur,Wheat,1,12,19-Jan-2008
Karnataka,KK,Belgaum,Ramdurga,Wheat,1,1,20-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Wheat,1,210,21-Jan-2008
Karnataka,KK,Bidar,Bidar,Wheat,1,6,21-Jan-2008
Karnataka,KK,Bijapur,Bijapur,Wheat,1,9,21-Jan-2008
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,9,21-Jan-2008
Karnataka,KK,Hassan,Hassan,Wheat,1,5,21-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,25,21-Jan-2008
Karnataka,KK,Shimoga,Bhadravathi,Wheat,1,1,21-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Wheat,1,160,22-Jan-2008
Karnataka,KK,Bijapur,Bijapur,Wheat,1,4,22-Jan-2008
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,9,22-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,54,22-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Wheat,1,52,23-Jan-2008
Karnataka,KK,Belgaum,Sankeshwar,Wheat,1,3,23-Jan-2008
Karnataka,KK,Bidar,Bidar,Wheat,1,6,23-Jan-2008
Karnataka,KK,Bijapur,Bijapur,Wheat,1,9,23-Jan-2008
Karnataka,KK,Gulbarga,Gulbarga,Wheat,1,12,23-Jan-2008
Karnataka,KK,Mysore,Mysore (Bandipalya),Wheat,1,8,23-Jan-2008
Karnataka,KK,Bangalore,Bangalore,Wheat,1,61,24-Jan-2008
Karnataka,KK,Bidar,Bidar,Wheat,1,7,24-Jan-2008
Karnataka,KK,Bijapur,Bijapur,Wheat,1,2,24-Jan-2008
