"Min,Max,Modal Price from Karnataka[Wheat] from 01-Jan-2008To31-Dec-2018 (Total-35470) (Total-35470)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
627,Bagalkot,Bagalakot,Wheat,Sona,Medium,1400,1400,1400,1-Jan-16
1824,Bangalore,Bangalore,Wheat,Local,FAQ,2600,3200,2900,1-Jan-16
5676,Bidar,Basava Kalayana,Wheat,Medium,FAQ,3800,3800,3800,1-Jan-16
9007,Bidar,Bidar,Wheat,Red,FAQ,2100,2600,2300,1-Jan-16
11399,Bijapur,Bijapur,Wheat,Sona,FAQ,2300,2500,2400,1-Jan-16
11400,Bijapur,Bijapur,Wheat,Bansi,FAQ,2400,3000,2500,1-Jan-16
14991,Davangere,Davangere,Wheat,Super Fine,FAQ,2500,2600,2550,1-Jan-16
16856,Gadag,Gadag,Wheat,White,FAQ,1562,2311,1802,1-Jan-16
18930,Koppal,Gangavathi,Wheat,Local,FAQ,1770,1770,1770,1-Jan-16
20778,Haveri,Haveri,Wheat,Local,Medium,1600,1640,1620,1-Jan-16
21654,Bangalore,Hoskote,Wheat,Other,FAQ,1830,1830,1830,1-Jan-16
25676,Dharwad,Kundagol,Wheat,Local,FAQ,1620,1620,1620,1-Jan-16
26255,Gadag,Laxmeshwar,Wheat,White,FAQ,1325,3619,1834,1-Jan-16
28558,Mysore,Mysore (Bandipalya),Wheat,Local,FAQ,2800,3000,2900,1-Jan-16
32554,Shimoga,Shimoga,Wheat,Super Fine,FAQ,2500,2800,2650,1-Jan-16
626,Bagalkot,Bagalakot,Wheat,Sona,Medium,1450,1450,1450,2-Jan-16
1823,Bangalore,Bangalore,Wheat,Local,FAQ,2600,3200,2900,2-Jan-16
9006,Bidar,Bidar,Wheat,Red,FAQ,2100,2700,2400,2-Jan-16
16855,Gadag,Gadag,Wheat,White,FAQ,1369,2327,1681,2-Jan-16
18929,Koppal,Gangavathi,Wheat,Local,FAQ,1515,1515,1515,2-Jan-16
20105,Haveri,Hanagal,Wheat,Super Fine,Medium,1620,1620,1620,2-Jan-16
20777,Haveri,Haveri,Wheat,Local,Medium,1620,1680,1640,2-Jan-16
21653,Bangalore,Hoskote,Wheat,Other,FAQ,1830,1830,1830,2-Jan-16
