District ID,ragi,maize,rice,sugarcane,jowar,cotton,bajra,wheat,tobacco ,onion,arhar,soyabean,greengram,groundnut
1,24,68045,54,101924,96236,1006,18210,24665,2,35472,42565,795,40834,30820
2,42344,10504,265,59,546,3,11,1,3,51,815,0,7,162
3,1044,159679,53529,206864,133922,63580,9033,38759,8217,6586,14881,72014,54963,31100
4,12117,203914,137905,10096,29802,45630,15532,23,109,11251,13708,4,333,60802
5,10661,1207,361,30,365,14,9,3,1,35,461,4,5,87
6,12,1490,617,13037,29527,446,409,2927,2,733,77019,125173,26461,36
7,76,45811,91,53010,149508,34569,19373,35336,2,17965,520937,30,5691,14174
8,9061,29146,10436,7035,8845,7097,503,1,67,3207,962,46,1349,4437
9,32348,32799,584,132,14887,118,210,4,2,921,4417,8,147,24982
10,26956,20592,19417,8378,13400,1689,34,3,3,5744,332,6,3994,4972
11,21586,104566,843,15,4173,9483,1912,231,14,27305,4054,20,4262,75074
12,0,0,9374,7,0,2,4,3,1,0,1,0,24,0
13,7572,132066,125670,890,3315,3038,470,209,75,4917,4750,4,31,13381
14,69,42650,11107,8046,49073,53005,54,29262,0,26620,628,34554,61362,30992
15,35,54946,3703,1905,65293,25671,3617,14327,5,35974,2975,45,140566,40080
16,69,2261,10083,25629,124811,68183,1682,6349,8,3954,613760,22325,43466,7017
17,72470,87526,46801,2849,12511,48,96,9,11116,57,1138,24,6449,330
18,277,191315,37288,7323,47825,80922,6,703,4,6596,1463,6608,3975,19843
19,62,2237,19023,0,0,0,0,2,0,0,0,0,6,8
20,44120,1098,3223,48,1088,0,98,0,0,326,2053,3,43,12104
21,69,73290,75185,2378,40197,7110,67048,4351,14,21960,24740,14,22568,30798
22,45314,3490,68030,34637,3257,4,13,1,9,152,341,66,302,489
23,46139,26257,99744,9345,9854,43453,18,3,44109,25,3767,70,4463,1673
24,84,4599,174934,558,127743,123580,47022,25,41,3015,102883,9,1355,34803
25,50308,3326,3174,278,1703,1,7,1,1,1,1379,5,20,1169
26,439,66674,95087,1002,182,1494,2,2,3,0,23,0,269,136
27,132078,29469,6958,616,2161,1512,178,6,25,338,10507,11,2777,64129
28,6,10203,53915,24,73,956,1,0,0,42,2,17,354,983
29,0,2,34608,0,4,0,0,1,0,0,0,0,194,1806
30,0,0,0,6836,0,0,0,0,4,0,0,0,0,0
31,10,128,97584,911,23451,145784,8876,320,3,362,110119,0,16719,34734
