District ID,ragi,maize,rice,sugarcane,jowar,cotton,bajra,wheat,tobacco ,onion,arhar,soyabean,greengram,groundnut
1,0,62916,0,,110935,1532,,,,,,,,
2,37163,9449,676,,0,0,,,,,,,,
3,433,141195,64585,,145000,54724,,,,,,,,
4,11002,97818,101933,,39315,59161,,,,,,,,
5,14449,1153,270,,0,0,,,,,,,,
6,0,867,1018,,42688,,,,,,,,,
7,0,50520,30,,145997,,,,,,,,,
8,20565,29289,3011,,24258,,,,,,,,,
9,48698,59501,431,,0,,,,,,,,,
10,52115,15287,26898,,13216,,,,,,,,,
11,50098,80866,1584,,13883,,,,,,,,,
12,0,0,33162,,0,,,,,,,,,
13,23296,189436,64403,,10128,,,,,,,,,
14,6,27986,22421,,61361,,,,,,,,,
15,0,38468,2437,,76846,,,,,,,,,
16,0,220,7833,,206682,,,,,,,,,
17,94627,82852,21625,,1455,,,,,,,,,
18,186,185153,27730,,31769,,,,,,,,,
19,0,3558,27171,,0,,,,,,,,,
20,66381,114,1256,,0,,,,,,,,,
21,0,63744,53939,,47261,,,,,,,,,
22,83792,10287,33853,,0,,,,,,,,,
23,55578,49309,65128,,5238,,,,,,,,,
24,0,1592,113457,,67057,,,,,,,,,
25,73847,2160,4294,,0,,,,,,,,,
26,1052,71212,93516,,143,,,,,,,,,
27,144547,20122,4858,,0,,,,,,,,,
28,0,9868,62868,,2,,,,,,,,,
29,0,6,47095,,0,,,,,,,,,
30,0,0,0,,0,,,,,,,,,
31,0,60,105443,,44824,,,,,,,,,
