District ID,District Name,Bajra,Cotton,groundnut,Jowar,Maize,Moong,Onion,ragi,Rice,soyabean,tur,wheat,sum,Bajra_fract,Cotton_fract,Groundnut_fract,Jowar_fract,Maiz_fract,Moong_fract,Onion_fract,ragi_fract,Rice_fract,soyabean_fract,tur_fract,wheat_fract
1,Bagalkot,21719.53,1101.492,25568.88425,68159.259,194804.4875,4751.3725,308070.105,10.164,53.865,732.48,13080.816,25681.95,663734.40525,0.03,0,0.04,0.1,0.29,0.01,0.46,0,0,0,0.02,0.04
2,BANGALORE RURAL,6.09,0.798,73.682,261.807,28527.80175,0.7105,363.909,57741.95875,978.1695,0,684.8135,0.35,88640.09,0,0,0,0,0.32,0,0,0.65,0.01,0,0.01,0
3,Belgaum,6826.89,46789.232,25206.006,123980.829,435439.8965,13210.736,42976.479,677.2045,99629.159,64822.60575,4443.39,46765.747,910768.17475,0.01,0.05,0.03,0.14,0.48,0.01,0.05,0,0.11,0.07,0,0.05
4,BELLARY,20861.043,47679.905,55154.19,52010.5425,346916.367,40.7925,69424.2465,9548.147,325280.2875,1.4,6015.76325,227.63125,933160.3155,0.02,0.05,0.06,0.06,0.37,0,0.07,0.01,0.35,0,0.01,0
5,BENGALURU URBAN,5.376,4.41,53.235,175.0175,3283.35,2.2365,249.018,15072.2775,755.307,1.4,289.653,1.05,19892.3305,0,0,0,0.01,0.17,0,0.01,0.76,0.04,0,0.01,0
6,Bidar,1048.5615,304.668,32.55,28813.785,2285.1115,13660.64,4485.39,4.914,738.2025,126682.248,57219.3825,3026.016,238301.469,0,0,0,0.12,0.01,0.06,0.02,0,0,0.53,0.24,0.01
7,Bijapur,13108.522,11111.982,14876.008,0,103676.2388,621.81875,111654.9315,31.92,121.121,10.185,127514.625,23776.8755,406504.22755,0.03,0.03,0.04,0,0.26,0,0.27,0,0,0,0.31,0.06
8,CHAMARAJANAGAR,1459.9305,7186.62,4460.218,10427.445,86922.0625,255.57,31707.984,20530.818,17107.94575,15.778,434.378,0.35,180509.09975,0.01,0.04,0.02,0.06,0.48,0,0.18,0.11,0.09,0,0,0
9,CHIKBALLAPUR,138.25,48.664,13066.284,7138.3165,96430.425,16.9785,9507.953,44251.116,1206.07375,2.8,3496.647,1.4,175304.90775,0,0,0.07,0.04,0.55,0,0.05,0.25,0.01,0,0.02,0
10,CHIKMAGALUR,10.829,1287.706,3311.9135,8197.728,36982.27925,522.9,34239.6495,35838.93075,39796.16375,2.1,229.593,1.05,160420.84275,0,0.01,0.02,0.05,0.23,0,0.21,0.22,0.25,0,0,0
11,CHITRADURGA,1432.333,4988.844,42103.152,4866.092,204114.274,412.25625,229874.4,36379.63,1839.05925,7,3682.756,180.971,529880.7675,0,0.01,0.08,0.01,0.39,0,0.43,0.07,0,0,0.01,0
12,DAVANGERE,739.648,3524.409,13441.6065,7292.8275,382024.7515,30.82275,52467.38,15935.605,235167.8193,27.00775,4693.052,75.222,715420.1513,0,0,0.02,0.01,0.53,0,0.07,0.02,0.33,0,0.01,0
13,Dharwad,19.278,26109.174,13633.62,25510.254,71324.701,7228.368,45953.544,42.2625,8801.1,17953.32,190.134,13450.584,230216.3395,0,0.11,0.06,0.11,0.31,0.03,0.2,0,0.04,0.08,0,0.06
14,Gadag,1802.962,13641.824,17103.52,27113.01425,80919.8775,9521.88125,174112.512,14.7,6070.925,20.398,1010.919,5268.05475,336600.58775,0.01,0.04,0.05,0.08,0.24,0.03,0.52,0,0.02,0,0,0.02
15,Gulbarga,7087.5805,47948.46,5544.28875,129945.256,2987.124,25570.1845,31370.22,28.98,18811.8,20667.06075,343094.752,10916.64,643972.3465,0.01,0.07,0.01,0.2,0,0.04,0.05,0,0.03,0.03,0.53,0.02
16,Hassan,30.576,46.018,281.673,4545.933,271028.8035,1013.3375,592.116,99422.715,67057.48,8.4,473.34,3.15,444503.542,0,0,0,0.01,0.61,0,0,0.22,0.15,0,0,0
17,Haveri,1.743,53945.913,15434.1425,20336.267,419008.884,530.10125,26349.624,194.46,38913.273,3948.42,784.399,137.837,579585.06375,0,0.09,0.03,0.04,0.72,0,0.05,0,0.07,0.01,0,0
18,Kodagu,0,0,24.72575,0,10810.5725,0.693,0,26.257,41713.182,0,0,0.7,52576.13025,0,0,0,0,0.21,0,0,0,0.79,0,0,0
19,Kolar,31.213,0,6821.892,521.696,1480.458,4.9665,2310,71936.151,3887.772,1.05,1202.775,0,88197.9735,0,0,0.08,0.01,0.02,0,0.03,0.82,0.04,0,0.01,0
20,Koppal,63986.125,4512.564,21382.368,17907.0255,120384.369,3424.3755,78108.7615,28.98,167215.58,4.9,6173.265,2324.3745,485452.688,0.13,0.01,0.04,0.04,0.25,0.01,0.16,0,0.34,0,0.01,0
21,Mandya,4.186,1.106,285.901,1561.7315,14948.045,71.008,1519,71621.5535,110543.055,22.638,315.9975,0.35,200894.5715,0,0,0,0.01,0.07,0,0.01,0.36,0.55,0,0,0
22,Mysore,5.607,33618.9,1551.9525,5387.844,91510.426,1764.77,158.62,55003.46775,175135.282,24.255,1691.83525,1.05,365854.0095,0,0.09,0,0.01,0.25,0,0,0.15,0.48,0,0,0
23,Raichur,34301.715,156130.065,19741.95825,99201.9,11690.15575,185.71,11916.4325,35.28,274043.5478,3.15,26168.6705,128.856,633547.4408,0.05,0.25,0.03,0.16,0.02,0,0.02,0,0.43,0,0.04,0
24,RAMANAGARA,32.2525,0.399,1073.60925,816.5885,6163.521,11.57625,69.972,90167.56879,13382.656,1.75,1057.021,0.35,112777.26429,0,0,0.01,0.01,0.05,0,0,0.8,0.12,0,0.01,0
25,Shimoga,6.237,894.1485,130.2,273.56875,206794.5285,43.12,9.1,795.82125,167998.1223,1.05,140.322,0,377086.2183,0,0,0,0,0.55,0,0,0,0.45,0,0,0
26,Tumkur,91.203,527.156,28632.863,900.0565,37230.44325,922.7295,3265.416,128768.9375,10938.662,3.85,2254.35,8.2005,213543.86725,0,0,0.13,0,0.17,0,0.02,0.6,0.05,0,0.01,0
27,UTTAR KANNAD,0.35,1622.334,2001.4995,31.10625,32876.298,79.968,364.952,2.793,83178.69179,10.794,1.05,0,120169.83654,0,0.01,0.02,0,0.27,0,0,0,0.69,0,0,0
