WHID,WH_ID,WH Name,District,Capacity,Cost In Rs,Latitude,Longitude,B_P,C_P,G_P,J_P,Mz_P,M_P,O_P,Rg_P,R_P,S_P,T_P,W_P,B_P1,C_P1,G_P1,J_P1,Mz_P1,M_P1,O_P1,Rg_P1,R_P1,S_P1,T_P1,W_P1
1,17,SHREE KOLLUR MOOKAMBIKA WAREHOUSE,Haveri,19732,1141272,15.3333333,75.6333333,0,0.1,0.01,0.02,0.79,0.01,0.02,0,0.04,0,0,0,0,1973.2,197.32,394.64,15588.28,197.32,394.64,0,789.28,0,0,0
2,15,CENTRAL WAREHOUSE GULBARGA-II,Gulbarga,63428,4973245,17.3166667,76.9,0.01,0.08,0,0.22,0.01,0.04,0.05,0,0.03,0.04,0.51,0.01,634.28,5074.24,0,13954.16,634.28,2537.12,3171.4,0,1902.84,2537.12,32348.28,634.28
3,14,CENTRAL WAREHOUSE GADAG-I,Gadag,23500,2399719,15.4166667,75.7,0,0.02,0.03,0.05,0.27,0,0.59,0,0.02,0,0,0.01,0,470,705,1175,6345,0,13865,0,470,0,0,235
4,14,"Central Warehousing Corporation, Gadag – II",Gadag,26266,2683023,15.4166667,75.7,0,0.02,0.03,0.05,0.27,0,0.59,0,0.02,0,0,0.01,0,525.32,787.98,1313.3,7091.82,0,15496.94,0,525.32,0,0,262.66
5,3,"CENTRAL WAREHOUSE , BELGAUM",Belgaum,14809,648303,15.8666667,74.5666667,0,0.05,0.03,0.11,0.5,0.01,0.05,0,0.11,0.07,0.01,0.05,0,740.45,444.27,1628.99,7404.5,148.09,740.45,0,1628.99,1036.63,148.09,740.45
6,28,"CENTRAL WAREHOUSE, MANNAGUDDA, MANGALORE-I",Dakshina Kannada,14112,642303,13.3333333,74.8833333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14112,0,0,0
7,5,CENTRAL WAREHOUSE BANGALORE-I,Bangalore,23608,8570425,13.5666667,77.05,0,0,0,0.01,0.18,0,0.01,0.74,0.04,0,0.02,0,0,0,0,236.08,4249.44,0,236.08,17469.92,944.32,0,472.16,0
8,28,CENTRAL WAREHOUSE PANAMBUR,Dakshina Kannada,15382,678303,13.3333333,74.8833333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15382,0,0,0
9,6,"Central Warehousing Corporation, Bidar",Bidar,24300,1814085,18.5166667,77.7666667,0,0,0,0.13,0.01,0.06,0.02,0,0,0.58,0.18,0.01,0,0,0,3159,243,1458,486,0,0,14094,4374,243
10,15,CENTRAL WAREHOUSE SEDAM,Gulbarga,9100,663960,17.3166667,76.9,0.01,0.08,0,0.22,0.01,0.04,0.05,0,0.03,0.04,0.51,0.01,91,728,0,2002,91,364,455,0,273,364,4641,91
11,5,CENTRAL WAREHOUSE RV LAYOUT,Bangalore,5017,1905750,13.5666667,77.05,0,0,0,0.01,0.18,0,0.01,0.74,0.04,0,0.02,0,0,0,0,50.17,903.06,0,50.17,3712.58,200.68,0,100.34,0
12,26,"CENTRAL WAREHOUSE, TUMKUR",Tumkur,21925,2557840,13.3333333,77.1333333,0,0,0.11,0,0.28,0,0.02,0.48,0.08,0,0.01,0,0,0,2411.75,0,6139,0,438.5,10524,1754,0,219.25,0
13,25,CENTRAL WAREHOUSE SHIKARIPURA,Shimoga,9873,999544,13.9333333,75.6333333,0,0,0,0,0.49,0,0,0,0.5,0,0,0,0,0,0,0,4837.77,0,0,0,4936.5,0,0,0
14,13,"Central Warehousing Corporation, Dharwad",Dharwad,23939,3428170,15.45,75.0833333,0,0.15,0.04,0.07,0.41,0.02,0.13,0,0.03,0.1,0,0.04,0,3590.85,957.56,1675.73,9814.99,478.78,3112.07,0,718.17,2393.9,0,957.56
15,14,"Central Warehousing Corporation, Nargund",Gadag,8766,789544,15.4166667,75.7,0,0.02,0.03,0.05,0.27,0,0.59,0,0.02,0,0,0.01,0,175.32,262.98,438.3,2366.82,0,5171.94,0,175.32,0,0,87.66
16,21,Central Warehouse Mandya,Mandya,5538,547610,12.8666667,77.4666667,0,0,0,0.01,0.09,0,0.01,0.22,0.67,0,0,0,0,0,0,55.38,498.42,0,55.38,1218.36,3710.46,0,0,0
17,13,CENTRAL WAREHOUSE HUBLI,Dharwad,36695,5353520,15.45,75.0833333,0,0.15,0.04,0.07,0.41,0.02,0.13,0,0.03,0.1,0,0.04,0,5504.25,1467.8,2568.65,15044.95,733.9,4770.35,0,1100.85,3669.5,0,1467.8
18,3,"Central Warehouse, Soundatti",Belgaum,9000,398376,15.8666667,74.5666667,0,0.05,0.03,0.11,0.5,0.01,0.05,0,0.11,0.07,0.01,0.05,0,450,270,990,4500,90,450,0,990,630,90,450
19,15,CENTRAL WAREHOUSE GULBARGA-I,Gulbarga,9936,713960,17.3166667,76.9,0.01,0.08,0,0.22,0.01,0.04,0.05,0,0.03,0.04,0.51,0.01,99.36,794.88,0,2185.92,99.36,397.44,496.8,0,298.08,397.44,5067.36,99.36
20,12,Central Warehouse Davanagere,Davanagere,21523,1278920,14.5166667,75.9666667,0,0.01,0.01,0.01,0.53,0,0.08,0.01,0.35,0,0.01,0,0,215.23,215.23,215.23,11407.19,0,1721.84,215.23,7533.05,0,215.23,0
21,23,CENTRAL WAREHOUSE RAICHUR,Raichur,5100,457380,16.3666667,77.5333333,0.03,0.26,0.03,0.16,0.02,0,0.02,0,0.45,0,0.02,0,153,1326,153,816,102,0,102,0,2295,0,102,0
22,15,VIJAY WAREHOUSE,Gulbarga,1000,72960,17.3166667,76.9,0.01,0.08,0,0.22,0.01,0.04,0.05,0,0.03,0.04,0.51,0.01,10,80,0,220,10,40,50,0,30,40,510,10
23,15,NAGAMMA WAREHOUSE-1,Gulbarga,1584,87960,17.3166667,76.9,0.01,0.08,0,0.22,0.01,0.04,0.05,0,0.03,0.04,0.51,0.01,15.84,126.72,0,348.48,15.84,63.36,79.2,0,47.52,63.36,807.84,15.84
