District ID,capacity,Bajra,Cotton,Groundnut,Jowar,Maiz,Moong,Onion,Ragi,Rice,Soyabean,Tur,Wheat,capacity1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,30309,0,1515.45,909.27,3333.99,15154.5,303.09,1515.45,0,3333.99,2121.63,303.09,1515.45,33339.9
4,17400,174,1044,1044,1044,6960,0,1392,174,5394,0,0,0,19140
5,28625,0,0,0,286.25,5152.5,0,286.25,21182.5,1145,0,572.5,0,31487.5
6,66300,0,0,0,8619,663,3978,1326,0,0,38454,11934,663,72930
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,41158,0,411.58,1646.32,0,17286.36,0,19344.26,1646.32,0,0,411.58,0,45273.8
12,55123,0,551.23,551.23,551.23,29215.19,0,4409.84,551.23,19293.05,0,551.23,0,60635.3
13,69634,0,10445.1,2785.36,4874.38,28549.94,1392.68,9052.42,0,2089.02,6963.4,0,2785.36,76597.4
14,58532,0,1170.64,1755.96,2926.6,15803.64,0,34533.88,0,1170.64,0,0,585.32,64385.2
15,168098,1680.98,13447.84,0,36981.56,1680.98,6723.92,8404.9,0,5042.94,6723.92,85729.98,1680.98,184907.8
16,11500,0,0,0,115,7935,0,0,1495,1955,0,0,0,12650
17,20357,0,2035.7,203.57,407.14,16082.03,203.57,407.14,0,814.28,0,0,0,22392.7
18,947,0,0,0,0,321.98,0,0,0,615.55,0,0,0,1041.7
19,4400,0,0,176,44,88,0,132,3740,220,0,44,0,4840
20,55250,3867.5,552.5,1105,1105,15470,0,9945,0,21547.5,0,552.5,0,60775
21,30233,0,0,0,302.33,2720.97,0,302.33,6651.26,20256.11,0,0,0,33256.3
22,15000,0,1500,0,150,4050,150,0,1200,7800,0,150,0,16500
23,70432,2112.96,18312.32,2112.96,11269.12,1408.64,0,1408.64,0,31694.4,0,1408.64,0,77475.2
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,33323,0,0,0,0,16328.27,0,0,0,16661.5,0,0,0,36655.3
26,35725,0,0,3929.75,0,10003,0,714.5,17148,2858,0,357.25,0,39297.5
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,32373,0,0,0,0,0,0,0,0,32373,0,0,0,35610.3
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,28680,286.8,5162.4,1147.2,2294.4,0,573.6,286.8,0,15774,0,3154.8,0,31548
