District ID,tur,maize,rice,jowar,cotton,ragi,groundnut,moong,bajra,soybean,onion,wheat
1,36062.4,72028.55,29.7,56396.55,1395.9,6.533333333,32534.15,21738.30556,10898.68889,959.2,33735.9,26037
2,1189.1,10974.15,517.55,148.6333333,0.816666667,38790.65556,75.40555556,0,3.266666667,0,51.15,0.272222222
3,11637.45,165480.7,64962.7,119815.55,65067.2,402.0722222,35052.6,23352.31111,4577.416667,81818.55004,6040.65,46808.3
4,6280.438889,165952.6,109072.3278,38014.35,57635.05,6293.505556,66669.9,90.65,10889.43333,2.2,9348.35,164.6944444
5,583.55,1298,347.05,200.75,7.7,12375.96111,46.00555556,4.9,3.266666667,2.2,36.3,0.816666667
6,59994.36667,1296.35,445.0833333,39718.25,514.8,3.266666667,27.22222222,33541.75,734.7277778,150812.2,664.95,2064.533333
7,213286.1111,52982.05002,66.55,0,12709.78333,20.68888889,16890.84444,3869.094444,12283.75556,16.5,14230.15,44746.9
8,961.4,32139.25,7395.85,9011.372222,9411.05,16294.3,2902.977778,993.8833333,600.7944444,25.3,4452.8,0.55
9,8325.35,50765,558.25,8187.85,86.9,32225.34764,23332.65,41.69124579,86.02222222,4.4,1165.45,1.088888889
10,462.55,19733.45,25473.25,14638.8,1964.6,21524.88333,5052.85,2201.188889,9.255555556,3.3,6093.45,1.65
11,9565.6,101987.6,1334.85,4915.244444,10888.35,19513.97778,45481.8,2565.15,1526.077778,11,30102.6,276.1
12,7091.15,167015.9889,104540.15,3659.483333,4293.3,8402.955556,8104.327778,84.11666667,553.1555556,33.55,7107.65,54.17222222
13,410.7833333,38849.8,9127.066667,30062.58889,52600.9,20.41666667,13594.77778,23425.26667,14.7,35265.45,11455.65556,17731.46667
14,1728.066667,51377.7,3377,38693.39444,16578.60556,9.527777778,20785.52778,13308.77178,1575.622222,25.85,32806.4,9042.112843
15,448326.5111,1364.55,9853.8,182321.15,71759.6,18.78333333,4087.416667,67532.3,2494.372222,19623.45,4246,4717.066667
16,751.3333333,93707.9,37634.3,3801.855556,95.15,45487.51667,286.3777778,4260.277778,26.13333333,13.2,73.15,4.95
17,1476.2,207057.4,17699.34444,21667.25556,83109.95,126.0388889,11711.54444,26189.83889,1.633333333,3655.944444,3461.85,0
18,0,3187.25,12575.03333,0,0,16.87777778,39.05,123.4074074,0,0,0,1.1
19,2392.5,666.6,2463.45,598.4,0,58973.58333,5126.488889,23.65,26.67777778,1.65,330,0
20,11431.97222,75368.7,71018.2,23808.01111,7543.8,18.78333333,17692.26667,13658.47778,39813.58889,7.7,14124.55,2963.683333
21,763.95,7577.35,56035.65,1791.35,2.2,35145.52222,568.7,172.5888889,3.538888889,36.3,192.5,0.55
22,3183.95,41561.3,90679.6,4108.377778,50314,27689.62778,1149.594444,6525.2,4.9,38.5,22,1.65
23,38402.66111,3405.05,158615.05,107140,115186.5,22.86666667,29129.65,515.8611111,23609.83333,4.95,1713.25,113.2444444
24,2615.8,3017.3,4107.4,463.5944444,0.55,61490.38889,1473.45,28.58333333,25.86111111,2.75,11.55,0.272222222
25,139.9222222,60190.46109,103731.65,178.75,1510.85,405.8833333,108.8888889,0,2.45,0.544444444,1.1,0
26,5844.611111,27275.05,6498.8,588.2722222,1236.4,75303.47222,32510.95556,4349.566667,54.98888889,6.05,501.6,12.1
27,2.2,11039.05,57343.08333,41.25,1191.3,1.633333333,1466.3,243.9111111,0.272222222,13.2,41.8,0
28,0,0,42884.10556,0,0,0,0,0,0,0,0,56.89444444
29,0,0,21418.62778,0,1.1,0,0,0,0,0,0,0.272222222
30,82160.96109,103.4,111664.85,37551.25,113994.65,2.722222222,22839.98889,25280.2,6139.155556,0,273.35,112.9722222
