District ID,Cost,Yield,Price,Demand Max,Demand Min,Allocation,Price_n,Yield_n,Risk,yield_n_1
1,35085,1.55,1346.016473,34130.69,21719.53,20018,1480.6181203,1.4,2171.953,1.65
2,35085,1.45,2009.664582,9.57,6.09,6,2210.6310402,1.31,0.609,1.13
3,35085,1.16,1345.23417,10727.97,6826.89,8407.5,1479.757587,1.04,682.689,1.09
4,35085,1.49,1364.292634,32781.639,20861.043,20001,1500.7218974,1.34,2086.1043,1.49
5,35085,1.28,2009.664582,8.448,5.376,6,2210.6310402,1.15,0.5376,1.06
6,35085,1.11,1419.053996,1647.7395,1048.5615,1349.5,1560.9593956,1,104.85615,0.98
7,35085,0.83,1280.849913,20599.106,13108.522,22562,1408.9349043,0.75,1310.8522,0.63
8,35085,1.89,1198.823529,2294.1765,1459.9305,1103.5,1318.7058819,1.7,145.99305,2.30
9,35085,1.25,2009.664582,217.25,138.25,158,2210.6310402,1.13,13.825,1.08
10,35085,0.91,1217.117647,17.017,10.829,17,1338.8294117,0.82,1.0829,1.08
11,35085,0.73,1217.117647,2250.809,1432.333,2803,1338.8294117,0.66,143.2333,0.63
12,35085,1.04,1217.117647,1162.304,739.648,1016,1338.8294117,0.94,73.9648,0.75
13,35085,1.02,1276,30.294,19.278,27,1403.6,0.92,1.9278,1.09
14,35085,0.89,1377.19598,2833.226,1802.962,2894,1514.915578,0.8,180.2962,0.69
15,35085,2.21,1535.78222,11137.6265,7087.5805,4581.5,1689.360442,1.99,708.75805,1.68
16,35085,0.91,1377.19598,48.048,30.576,48,1514.915578,0.82,3.0576,1.08
17,35085,0.83,1377.19598,2.739,1.743,3,1514.915578,0.75,0.1743,1.07
18,35085,0,1217.117647,0,0,0,1338.8294117,0,0,1.00
19,35085,0.91,2009.664582,49.049,31.213,49,2210.6310402,0.82,3.1213,1.08
20,35085,1.25,1273.312654,100549.625,63986.125,73127,1400.6439194,1.13,6398.6125,0.85
21,35085,0.92,2009.664582,6.578,4.186,6.5,2210.6310402,0.83,0.4186,1.09
22,35085,0.89,1198.823529,8.811,5.607,9,1318.7058819,0.8,0.5607,1.06
23,35085,1.13,1300.929015,53902.695,34301.715,43365,1431.0219165,1.02,3430.1715,1.14
24,35085,0.97,2009.664582,50.6825,32.2525,47.5,2210.6310402,0.87,3.22525,1.00
25,35085,1.98,1217.117647,9.801,6.237,4.5,1338.8294117,1.78,0.6237,1.00
26,35085,1.29,1700,143.319,91.203,101,1870,1.16,9.1203,0.52
27,35085,1,1345.23417,0.55,0.35,0.5,1479.757587,0.9,0.035,1.00
28,35085,1,1217.117647,0,0,0,1338.8294117,0.9,0,1.13
29,35085,0,1217.117647,0,0,2,1338.8294117,0,0,1.07
30,35085,1.43,1535.78222,17737.148,11287.276,11276,1689.360442,1.29,1128.7276,1.46
