District ID,Cost,Yield,Price,Demand Max,Demand Min,Allocation,Price_n,Yield_n,Risk,yield_n_1
1,34428,1.235,3596.520538,40179.67525,25568.88425,29576.5,2877.2164304,0.99,2556.888425,1.51
2,34428,0.76,4874.110032,115.786,73.682,138.5,3899.2880256,0.61,7.3682,1.35
3,34428,1.13,3515.864269,39609.438,25206.006,31866,2812.6914152,0.9,2520.6006,1.15
4,34428,1.3,4009.396321,86670.87,55154.19,60609,3207.5170568,1.04,5515.419,0.94
5,34428,0.9,4874.110032,83.655,53.235,84.5,3899.2880256,0.72,5.3235,0.89
6,34428,0.93,4171.936709,51.15,32.55,50,3337.5493672,0.74,3.255,1.02
7,34428,0.685,3596.520538,23376.584,14876.008,31024,2877.2164304,0.55,1487.6008,0.65
8,34428,1.195,1664.150943,7008.914,4460.218,5332,1331.3207544,0.96,446.0218,1.37
9,34428,0.88,4874.110032,20532.732,13066.284,21211.5,3899.2880256,0.7,1306.6284,1.15
10,34428,1.03,3870.289024,5204.4355,3311.9135,4593.5,3096.2312192,0.82,331.19135,1.06
11,34428,0.72,3864.104209,66162.096,42103.152,83538,3091.2833672,0.58,4210.3152,0.69
12,34428,1.29,3210.189834,21122.5245,13441.6065,14885.5,2568.1518672,1.03,1344.16065,1.25
13,34428,0.78,3791.48077,21424.26,13633.62,24970,3033.184616,0.62,1363.362,0.96
14,34428,0.64,3614.09348,26876.96,17103.52,38177.5,2891.274784,0.51,1710.352,0.79
15,34428,1.055,3962.758301,8712.45375,5544.28875,7507.5,3170.2066408,0.84,554.428875,0.42
16,34428,0.765,3469.72553,442.629,281.673,526,2775.780424,0.61,28.1673,0.68
17,34428,1.025,3614.09348,24253.6525,15434.1425,21511,2891.274784,0.82,1543.41425,1.24
18,34428,0.995,3870.289024,38.85475,24.72575,35.5,3096.2312192,0.8,2.472575,1.11
19,34428,1.035,3164.65779,10720.116,6821.892,9416,2531.726232,0.83,682.1892,0.93
20,34428,0.94,3578.502275,33600.864,21382.368,32496,2862.80182,0.75,2138.2368,0.88
21,34428,0.79,5893.75,449.273,285.901,517,4715,0.63,28.5901,1.04
22,34428,1.05,3054.883856,2438.7825,1551.9525,2111.5,2443.9070848,0.84,155.19525,0.84
23,34428,1.065,3938.717122,31023.07725,19741.95825,26481.5,3150.9736976,0.85,1974.195825,1.11
24,34428,1.145,5893.75,1687.10025,1073.60925,1339.5,4715,0.92,107.360925,1.32
25,34428,0.93,5893.75,204.6,130.2,200,4715,0.74,13.02,0.99
26,34428,0.685,3814.241002,44994.499,28632.863,59714,3051.3928016,0.55,2863.2863,0.89
27,34428,2.145,3504.17284,3145.2135,2001.4995,1333,2803.338272,1.72,200.14995,0.65
28,34428,0,3529.75,0,0,1790,2823.8,0,0,2.22
29,34428,2.175,3529.75,0,0,0,2823.8,1.74,0,0
30,34428,0.945,3962.758301,43608.0645,27750.5865,41951,3170.2066408,0.76,2775.05865,1.28
