District ID,Cost,Yield,Price,Demand Max,Demand Min,Allocation,Price_n,Yield_n,Risk,Yield_1_n
1,18069,0.94,1745.80737,107107.407,68159.259,103585.5,2094.968844,0.85,6815.9259,1.42
2,18069,1.37,2230.80682,411.411,261.807,273,2676.968184,1.23,26.1807,2.38
3,18069,1.27,1836.71858,194827.017,123980.829,139461,2204.062296,1.14,12398.0829,1.31
4,18069,2.15,1401.23282,81730.8525,52010.5425,34558.5,1681.479384,1.94,5201.05425,1.09
5,18069,1.37,2230.80682,275.0275,175.0175,182.5,2676.968184,1.23,17.50175,1.31
6,18069,1.14,2652.49848,45278.805,28813.785,36107.5,3182.998176,1.03,2881.3785,1
7,18069,0,1815.84838,0,0,147752.5,2179.018056,0,0,0.7
8,18069,0.9,1126.72414,16385.985,10427.445,16551.5,1352.068968,0.81,1042.7445,0.98
9,18069,1.37,2230.80682,11217.3545,7138.3165,7443.5,2676.968184,1.23,713.83165,1.31
10,18069,0.88,2196.78913,12882.144,8197.728,13308,2636.146956,0.79,819.7728,0.82
11,18069,0.77,1350,7646.716,4866.092,9028,1620,0.69,486.6092,0.88
12,18069,1.55,1281.39042,11460.1575,7292.8275,6721.5,1537.668504,1.4,729.28275,1.55
13,18069,0.66,1621.92441,40087.542,25510.254,55217,1946.309292,0.59,2551.0254,0.87
14,18069,0.545,1556.90174,42606.16525,27113.01425,71069.5,1868.282088,0.49,2711.301425,0.83
15,18069,1.12,2504.50029,204199.688,129945.256,165746.5,3005.400348,1.01,12994.5256,1.34
16,18069,0.93,1690.13649,7143.609,4545.933,6983,2028.163788,0.84,454.5933,0.99
17,18069,0.73,1339.46848,31956.991,20336.267,39797,1607.362176,0.66,2033.6267,0.69
18,18069,0,2196.78913,0,0,0,2636.146956,0,0,2.56
19,18069,1.37,1818,819.808,521.696,544,2181.6,1.23,52.1696,2.43
20,18069,0.585,1297.88776,28139.6115,17907.0255,43729,1557.465312,0.53,1790.70255,3.37
21,18069,1.37,1500,2454.1495,1561.7315,1628.5,1800,1.23,156.17315,3.04
22,18069,1.02,1767.93939,8466.612,5387.844,7546,2121.527268,0.92,538.7844,0.56
23,18069,1.455,1349.57293,155888.7,99201.9,97400,1619.487516,1.31,9920.19,1.9
24,18069,1.37,1500,1283.2105,816.5885,851.5,1800,1.23,81.65885,1.33
25,18069,2.405,2790.45455,429.89375,273.56875,162.5,3348.54546,2.16,27.356875,1.34
26,18069,1.19,1334.10884,1414.3745,900.0565,1080.5,1600.930608,1.07,90.00565,1.31
27,18069,1.185,2300,48.88125,31.10625,37.5,2760,1.07,3.110625,1.19
28,18069,0,2196.78913,0,0,2,2636.146956,0,0,0
29,18069,1.25,2196.78913,0,0,0,2636.146956,1.13,0,1.15
30,18069,1.31,2504.50029,49192.1375,31304.0875,34137.5,3005.400348,1.18,3130.40875,1.59
