District ID,Cost,Yield,Price,Demand Max,Demand Min,Allocation,,,,,,
1,18069,0.94,1745.80737,107107.407,68159.259,103585.5,96236,90461.84,0,90461.84,0,"[['15', '30', 'jowar', 583.2775000000001],"
2,18069,1.37,2230.80682,411.411,261.807,273,546,748.02,1,748.02,1," ['22', '8', 'jowar', 2466.9449999999997], "
3,18069,1.27,1836.71858,194827.017,123980.829,139461,133922,170080.94,0,170080.94,0,"['25', '12', 'jowar', 164.14124999999996],"
4,18069,2.15,1401.23282,81730.8525,52010.5425,34558.5,29802,64074.3,0,62746.4505,0," ['17', '12', 'jowar', 1990.4362500000007], "
5,18069,1.37,2230.80682,275.0275,175.0175,182.5,365,500.05,1,175,0,"['5', '11', 'jowar', 325.0325], "
6,18069,1.14,2652.49848,45278.805,28813.785,36107.5,29527,33660.78,0,33660.78,0,"['4', '11', 'jowar', 1327.8494999999994]]"
7,18069,0,1815.84838,0,0,147752.5,149508,0,-1,0,0,
8,18069,0.9,1126.72414,16385.985,10427.445,16551.5,8845,7960.5,-1,10427,0,
9,18069,1.37,2230.80682,11217.3545,7138.3165,7443.5,14887,20395.19,1,20395.19,1,
10,18069,0.88,2196.78913,12882.144,8197.728,13308,13400,11792,0,11792,0,
11,18069,0.77,1350,7646.716,4866.092,9028,4173,3213.21,-1,4866,0,
12,18069,1.55,1281.39042,11460.1575,7292.8275,6721.5,3315,5138.25,-1,7292,0,
13,18069,0.66,1621.92441,40087.542,25510.254,55217,49073,32388.18,0,32388.18,0,
14,18069,0.545,1556.90174,42606.16525,27113.01425,71069.5,65293,35584.685,0,35584.685,0,
15,18069,1.12,2504.50029,204199.688,129945.256,165746.5,124811,139788.32,0,139205,0,
16,18069,0.93,1690.13649,7143.609,4545.933,6983,12511,11635.23,1,11635.23,1,
17,18069,0.73,1339.46848,31956.991,20336.267,39797,47825,34912.25,1,32921,1,
18,18069,0,2196.78913,0,0,0,0,0,-1,0,0,
19,18069,1.37,1818,819.808,521.696,544,1088,1490.56,1,1490.56,1,
20,18069,0.585,1297.88776,28139.6115,17907.0255,43729,40197,23515.245,0,23515.245,0,
21,18069,1.37,1500,2454.1495,1561.7315,1628.5,3257,4462.09,1,4462.09,1,
22,18069,1.02,1767.93939,8466.612,5387.844,7546,9854,10051.08,1,7584,0,
23,18069,1.455,1349.57293,155888.7,99201.9,97400,127743,185866.065,1,185866.065,1,
24,18069,1.37,1500,1283.2105,816.5885,851.5,1703,2333.11,1,2333.11,1,
25,18069,2.405,2790.45455,429.89375,273.56875,162.5,182,437.71,1,273,0,
26,18069,1.19,1334.10884,1414.3745,900.0565,1080.5,2161,2571.59,1,2571.59,1,
27,18069,1.185,2300,48.88125,31.10625,37.5,73,86.505,1,86.505,1,
28,18069,0,2196.78913,0,0,2,4,0,-1,0,0,
29,18069,1.25,2196.78913,0,0,0,0,0,-1,0,0,
30,18069,1.31,2504.50029,49192.1375,31304.0875,34137.5,23451,30720.81,-1,31304,0,
