District ID,Cost,Yield,Price,Demand Max,Demand Min,Allocation,Latitude,Longitude
Bagalkot,28276,4.25,1265.729736,306121.3375,194804.4875,65480.5,16.2,75.75
BANGALORE RURAL,28276,4.085,1583.043117,44829.40275,28527.80175,9976.5,13.46666667,77.61666667
Belgaum,28276,4.135,1351.193561,684262.6945,435439.8965,150437,15.86666667,74.56666667
BELLARY,28276,3.285,1313.082168,545154.291,346916.367,150866,15.15,76.91666667
BENGALURU URBAN,28276,3.975,1583.043117,5159.55,3283.35,1180,13.56666667,77.05
Bidar,28276,2.77,1413.30829,3590.8895,2285.1115,1178.5,18.51666667,77.76666667
Bijapur,28276,3.075,1160.584175,162919.8038,103676.2388,48165.5,16.83333333,75.78333333
CHAMARAJANAGAR,28276,4.25,1201.04656,136591.8125,86922.0625,29217.5,11.93333333,77
CHIKBALLAPUR,28276,2.985,1492.445137,151533.525,96430.425,46150,13.43333333,77.76666667
CHIKMAGALUR,28276,2.945,1300.248097,58115.01025,36982.27925,17939.5,13.3,75.81666667
CHITRADURGA,28276,3.145,1292.466594,320751.002,204114.274,92716,14.23333333,76.43333333
DAVANGERE,28276,3.395,1306.520779,600324.6095,382024.7515,160751,14.51666667,75.96666667
Dharwad,28276,2.885,1402.844863,112081.673,71324.701,35318,15.45,75.08333333
Gadag,28276,2.475,1320.660516,127159.8075,80919.8775,46707,15.41666667,75.7
Gulbarga,28276,3.44,1448.298755,4694.052,2987.124,1240.5,17.31666667,76.9
Hassan,28276,4.545,1300.248097,425902.4055,271028.8035,85189,13.01666667,76.16666667
Haveri,28276,3.18,1259.995471,658442.532,419008.884,188234,15.33333333,75.63333333
Kodagu,28276,5.33,1059.249124,16988.0425,10810.5725,2897.5,12.63333333,75.36666667
Kolar,28276,3.49,1492.445137,2326.434,1480.458,606,13.15,78.18333333
Koppal,28276,2.51,1320.660516,189175.437,120384.369,68517,15.58333333,76.21666667
Mandya,28276,3.1,1272.215909,23489.785,14948.045,6888.5,12.86666667,77.46666667
Mysore,28276,3.46,1162.104393,143802.098,91510.426,37783,12.3,76.7
Raichur,28276,5.395,1467.785218,18370.24475,11690.15575,3095.5,16.36666667,77.53333333
RAMANAGARA,28276,3.21,1225.821686,9685.533,6163.521,2743,13.18333333,77.45
Shimoga,28276,4.285,1399.85818,324962.8305,206794.5285,68943,13.93333333,75.63333333
Tumkur,28276,2.145,1583.043117,58504.98225,37230.44325,24795.5,13.33333333,77.13333333
UTTAR KANNAD,28276,4.68,1285.362075,51662.754,32876.298,10035.5,15.2,73.78333333
DAKSHIN KANNAD,28276,0,1059.249124,0,0,4,13.33333333,74.88333333
Udupi,28276,3.415,1059.249124,0,0,0,13.33333333,74.75
Yadgir,28276,3.375,1448.298755,348.975,222.075,94,17.26666667,77.2
