District ID,Cost,Yield,Price,Demand Max,Demand Min,Allocation,Price_n,Yield_n,Risk,yield_1_n
1,18056,0.17,5136.319876,7466.4425,4751.3725,39927.5,6163.5838512,0.19,475.13725,0.18
2,18056,0.29,6787.794559,1.1165,0.7105,3.5,8145.3534708,0.32,0.07105,0.21
3,18056,0.44,4942.708854,20759.728,13210.736,42892,5931.2506248,0.48,1321.0736,0.32
4,18056,0.35,5597.195122,64.1025,40.7925,166.5,6716.6341464,0.39,4.07925,0.4
5,18056,0.355,6787.794559,3.5145,2.2365,9,8145.3534708,0.39,0.22365,0.36
6,18056,0.64,4648.752801,21466.72,13660.64,30492.5,5578.5033612,0.7,1366.064,0.47
7,18056,0.125,4286.466165,977.14375,621.81875,7106.5,5143.759398,0.14,62.181875,0.13
8,18056,0.2,5300,401.61,255.57,1825.5,6360,0.22,25.557,0.22
9,18056,0.33,6787.794559,26.6805,16.9785,73.5,8145.3534708,0.36,1.69785,0.28
10,18056,0.2,4334.666667,821.7,522.9,3735,5201.6000004,0.22,52.29,0.19
11,18056,0.125,4819.852476,647.83125,412.25625,4711.5,5783.8229712,0.14,41.225625,0.12
12,18056,0.285,6752.246753,48.43575,30.82275,154.5,8102.6961036,0.31,3.082275,0.26
13,18056,0.24,4504.349276,11358.864,7228.368,43026,5405.2191312,0.26,722.8368,0.3
14,18056,0.125,4934.749378,14962.95625,9521.88125,108821.5,5921.6992536,0.14,952.188125,0.24
15,18056,0.595,4638.448415,40181.7185,25570.1845,61393,5566.138098,0.65,2557.01845,0.55
16,18056,0.185,4995.767268,1592.3875,1013.3375,7825,5994.9207216,0.2,101.33375,0.15
17,18056,0.235,4978.627451,833.01625,530.10125,3222.5,5974.3529412,0.26,53.010125,0.23
18,18056,0.33,4334.666667,1.089,0.693,3,5201.6000004,0.36,0.0693,0.33
19,18056,0.33,6787.794559,7.8045,4.9665,21.5,8145.3534708,0.36,0.49665,0.34
20,18056,0.195,4257.155556,5381.1615,3424.3755,25087,5108.5866672,0.21,342.43755,0.22
21,18056,0.32,4949.019608,111.584,71.008,317,5938.8235296,0.35,7.1008,0.35
22,18056,0.425,5296.983972,2773.21,1764.77,5932,6356.3807664,0.47,176.477,0.21
23,18056,0.28,5196.723708,291.83,185.71,947.5,6236.0684496,0.31,18.571,0.35
24,18056,0.315,4949.019608,18.19125,11.57625,52.5,5938.8235296,0.35,1.157625,0.19
25,18056,0.22,6454.772727,67.76,43.12,280,7745.7272724,0.24,4.312,0.2
26,18056,0.165,4321.543372,1450.0035,922.7295,7989,5185.8520464,0.18,92.27295,0.14
27,18056,0.255,4260.4,125.664,79.968,448,5112.48,0.28,7.9968,0.26
28,18056,0.23,4334.666667,47.817,30.429,189,5201.6000004,0.25,3.0429,0.23
29,18056,0.205,4334.666667,33.374,21.238,148,5201.6000004,0.23,2.1238,0.21
30,18056,0.455,4638.448415,11502.491,7319.767,22982,5566.138098,0.5,731.9767,0.63
