District ID,Cost,Yield,Price,Demand Max,Demand Min,Allocation,Price_n,Yield_n,Risk
1,49578,2.85,2118.646145,84.645,53.865,27,2542.375374,2.85,5.3865
2,49578,2.97,4275.998943,1537.1235,978.1695,470.5,5131.1987316,2.97,97.81695
3,49578,2.41,3403.61657,156560.107,99629.159,59057,4084.339884,2.41,9962.9159
4,49578,3.875,1512.289685,511154.7375,325280.2875,119919,1814.747622,3.875,32528.02875
5,49578,3.42,4275.998943,1186.911,755.307,315.5,5131.1987316,3.42,75.5307
6,49578,1.29,3119.431214,1160.0325,738.2025,817.5,3743.3174568,1.29,73.82025
7,49578,2.86,2118.646145,190.333,121.121,60.5,2542.375374,2.86,12.1121
8,49578,3.635,3991.844471,26883.91475,17107.94575,6723.5,4790.2133652,3.635,1710.794575
9,49578,3.395,4275.998943,1895.25875,1206.07375,507.5,5131.1987316,3.395,120.607375
10,49578,2.455,3783.172231,62536.82875,39796.16375,23157.5,4539.8066772,2.455,3979.616375
11,49578,2.165,2873.836735,2889.95025,1839.05925,1213.5,3448.604082,2.165,183.905925
12,49578,3.535,2951.319532,369549.4303,235167.8193,95036.5,3541.5834384,3.535,23516.78193
13,49578,0.75,1110.169492,13830.3,8801.1,16764,1332.2033904,0.75,880.11
14,49578,2.825,1854.529801,9540.025,6070.925,3070,2225.4357612,2.825,607.0925
15,49578,3,3119.431214,29561.4,18811.8,8958,3743.3174568,3,1881.18
16,49578,2.8,3783.172231,105376.04,67057.48,34213,4539.8066772,2.8,6705.748
17,49578,1.71,1854.156328,61149.429,38913.273,32509,2224.9875936,1.71,3891.3273
18,49578,2.58,1765.167702,65549.286,41713.182,23097,2118.2012424,2.58,4171.3182
19,49578,2.48,2586.937575,6109.356,3887.772,2239.5,3104.32509,2.48,388.7772
20,49578,3.7,2118.646145,262767.34,167215.58,64562,2542.375374,3.7,16721.558
21,49578,3.1,2487.679876,173710.515,110543.055,50941.5,2985.2158512,3.1,11054.3055
22,49578,3.035,3445.966927,275212.586,175135.282,82436,4135.1603124,3.035,17513.5282
23,49578,2.715,1970.927581,430639.8608,274043.5478,144195.5,2365.1130972,2.715,27404.35478
24,49578,5.12,2487.679876,21029.888,13382.656,3734,2985.2158512,5.12,1338.2656
25,49578,2.545,3252.637729,263997.0493,167998.1223,94301.5,3903.1652748,2.545,16799.81223
26,49578,2.645,2181.712713,17189.326,10938.662,5908,2618.0552556,2.645,1093.8662
27,49578,2.035,2565.178571,130709.3728,83178.69179,58391.5,3078.2142852,2.035,8317.869179
28,49578,2.805,2997.289777,126047.3033,80211.92029,40851.5,3596.7477324,2.805,8021.192029
29,49578,2.96,2869.594595,69248.608,44067.296,21268,3443.513514,2.96,4406.7296
30,49578,3.015,3119.431214,336669.5228,214244.2418,101513.5,3743.3174568,3.015,21424.42418
