a,b,c,d,e,f,g,h,i,j,k,l
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7577.25,0.0,3030.9,0.0,9092.7,0.0,4546.35,6061.8,0.0,0.0,0.0,0.0
2610.0,0.0,0.0,0.0,4350.0,0.0,3480.0,5220.0,0.0,1740.0,0.0,0.0
5725.0,0.0,2862.5,0.0,7156.25,0.0,4293.75,8587.5,0.0,0.0,0.0,0.0
9945.0,0.0,0.0,0.0,19890.0,0.0,13260.0,16575.0,0.0,6630.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12347.4,0.0,0.0,0.0,10289.5,0.0,4115.8,8231.6,0.0,6173.7,0.0,0.0
13780.75,0.0,0.0,0.0,11024.6,0.0,5512.3,16536.9,0.0,8268.45,0.0,0.0
17408.5,0.0,0.0,0.0,20890.2,0.0,10445.1,13926.8,0.0,6963.4,0.0,0.0
14633.0,0.0,0.0,0.0,17559.6,0.0,8779.8,11706.4,0.0,5853.2,0.0,0.0
25214.7,0.0,16809.8,0.0,50429.4,0.0,33619.6,42024.5,0.0,0.0,0.0,0.0
1725.0,0.0,2300.0,0.0,3450.0,0.0,1150.0,2875.0,0.0,0.0,0.0,0.0
5089.25,0.0,0.0,0.0,6107.1,0.0,3053.55,4071.4,0.0,2035.7,0.0,0.0
142.05,0.0,0.0,0.0,284.1,0.0,189.4,236.75,0.0,94.7,0.0,0.0
880.0,0.0,0.0,0.0,1320.0,0.0,440.0,1100.0,0.0,660.0,0.0,0.0
13812.5,0.0,0.0,0.0,16575.0,0.0,8287.5,11050.0,0.0,5525.0,0.0,0.0
9069.9,0.0,0.0,0.0,6046.6,0.0,7558.25,4534.95,0.0,3023.3,0.0,0.0
4500.0,0.0,1500.0,0.0,3000.0,0.0,0.0,3750.0,0.0,2250.0,0.0,0.0
10564.8,0.0,0.0,0.0,17608.0,0.0,14086.4,21129.6,0.0,7043.2,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4998.45,0.0,3332.3,0.0,9996.9,0.0,6664.6,8330.75,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10717.5,0.0,5358.75,8931.25,0.0,7145.0,0.0,3572.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8093.25,0.0,0.0,0.0,9711.9,0.0,4855.95,6474.6,0.0,3237.3,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4302.0,0.0,2868.0,0.0,8604.0,0.0,5736.0,7170.0,0.0,0.0,0.0,0.0
