District ID,Cost,Yield,Price,Demand Max,Demand Min,Allocation,Price_n,Yield_n,Risk,yield_1_n
1,25560,0.57,5062.938596,20555.568,13080.816,32784,6075.5263152,0.4,1308.0816,0.59
2,25560,0.905,6285.053582,1076.1355,684.8135,1081,7542.0642984,0.63,68.48135,1.1
3,25560,0.6,5382.978723,6982.47,4443.39,10579.5,6459.5744676,0.42,444.339,0.43
4,25560,0.745,3363.810526,9453.34225,6015.76325,11535.5,4036.5726312,0.52,601.576325,0.83
5,25560,0.78,6285.053582,455.169,289.653,530.5,7542.0642984,0.55,28.9653,0.69
6,25560,1.05,3363.810526,89916.1725,57219.3825,77849.5,4036.5726312,0.74,5721.93825,1.22
7,25560,0.465,5062.938596,200380.125,127514.625,391750,6075.5263152,0.33,12751.4625,0.44
8,25560,0.71,6301.431509,682.594,434.378,874,7561.7178108,0.5,43.4378,0.74
9,25560,0.66,6285.053582,5494.731,3496.647,7568.5,7542.0642984,0.46,349.6647,0.65
10,25560,0.78,3536.363636,360.789,229.593,420.5,4243.6363632,0.55,22.9593,0.69
11,25560,0.605,5808,5787.188,3682.756,8696,6969.6,0.42,368.2756,0.47
12,25560,1.04,5451.785714,7374.796,4693.052,6446.5,6542.1428568,0.73,469.3052,0.46
13,25560,0.36,5062.938596,298.782,190.134,754.5,6075.5263152,0.25,19.0134,0.71
14,25560,0.455,5062.938596,1588.587,1010.919,3174,6075.5263152,0.32,101.0919,0.51
15,25560,1.04,3363.810526,539148.896,343094.752,471284,4036.5726312,0.73,34309.4752,0.86
16,25560,0.49,3536.363636,743.82,473.34,1380,4243.6363632,0.34,47.334,0.41
17,25560,0.835,5451.785714,1232.627,784.399,1342,6542.1428568,0.58,78.4399,0.54
18,25560,0,3536.363636,0,0,0,4243.6363632,0,0,0.67
19,25560,0.79,5405.307692,1890.075,1202.775,2175,6486.3692304,0.55,120.2775,0.54
20,25560,0.42,5062.938596,9700.845,6173.265,20997.5,6075.5263152,0.29,617.3265,0.34
21,25560,0.65,5925,496.5675,315.9975,694.5,7110,0.46,31.59975,0.66
22,25560,0.835,5925,2658.59825,1691.83525,2894.5,7110,0.58,169.183525,0.6
23,25560,0.53,3363.810526,41122.1965,26168.6705,70535.5,4036.5726312,0.37,2616.86705,0.54
24,25560,0.635,5925,1661.033,1057.021,2378,7110,0.44,105.7021,0.7
25,25560,0.78,3536.363636,220.506,140.322,257,4243.6363632,0.55,14.0322,0.67
26,25560,0.3,2532.857143,3542.55,2254.35,10735,3039.4285716,0.21,225.435,0.31
27,25560,0.75,5382.978723,1.65,1.05,2,6459.5744676,0.53,0.105,0.75
28,25560,1,4780.882353,0,0,0,5737.0588236,0.7,0,1
29,25560,0,4780.882353,0,0,0.5,5737.0588236,0,0,1
30,25560,0.85,3363.810526,78611.995,50025.815,84077,4036.5726312,0.6,5002.5815,0.7
