WHID,WH_ID,WHM Name,WH Name,WH ID,Address,Latitude,Longitude,District,State,Capacity,Registration Date,Registration Valid Upto,Contact No.,Status,Sq Feet required,Price Per sq feet,Cost In Rs
1,17,Bhagyamma Chalageri,SHREE KOLLUR MOOKAMBIKA WAREHOUSE,6535595,"KODAMAGGI, MASUR POST SHIKARIPUR ROAD HIREKERUR (RATTIHALLI) HAVERI",15.3333333,75.6333333,Haveri,KARNATAKA,19732,02-Oct-2021,01-Oct-2026,9972144176,Active,285318,4,1141272
2,15,Central Warehousing Corporation,CENTRAL WAREHOUSE GULBARGA-II,6686885,"HIRAPUR VILLAGE AND POST, GULBARGA",17.3166667,76.9,Gulbarga,KARNATAKA,63428,21-Feb-2023,20-Feb-2028,9517553372,Active,994649,5,4973245
3,14,Central Warehousing Corporation,CENTRAL WAREHOUSE GADAG-I,6686612,"Central Warehouse, Unit – I, Sambhapur Road, Gadag – 582 101,",15.4166667,75.7,Gadag,KARNATAKA,23500,20-Feb-2023,19-Feb-2028,9901496899,Active,342817,7,2399719
4,14,Central Warehousing Corporation,"Central Warehousing Corporation, Gadag – II",6708846,"Central Warehouse, Gadag Unit -2, Plot No. 132p to 142p, KIADB Industrial Area, Narasapur Industrial Area,, Gadag",15.4166667,75.7,Gadag,KARNATAKA,26266,13-Apr-2023,12-Apr-2028,9539025231,Active,383289,7,2683023
5,3,Central Warehousing Corporation,"CENTRAL WAREHOUSE , BELGAUM",6722615,"Nehru Nagar APMC Yard, Belgaum",15.8666667,74.5666667,Belgaum,KARNATAKA,14809,29-May-2023,28-May-2028,8105383217,Active,216101,3,648303
6,28,Central Warehousing Corporation,"CENTRAL WAREHOUSE, MANNAGUDDA, MANGALORE-I",6704522,"WAREHOUSE ROAD, MANNAGUDDA",13.3333333,74.8833333,Dakshina Kannada,KARNATAKA,14112,31-Mar-2023,30-Mar-2028,9048378452,Active,214101,3,642303
7,5,Central Warehousing Corporation,CENTRAL WAREHOUSE BANGALORE-I,6680581,"APMC YARD, YESHWANTHPURA",13.5666667,77.05,Bangalore,KARNATAKA,23608,08-Feb-2023,07-Feb-2028,9442896649,Active,342817,25,8570425
8,28,Central Warehousing Corporation,CENTRAL WAREHOUSE PANAMBUR,6707319,"PANAMBUR, MANGALORE",13.3333333,74.8833333,Dakshina Kannada,KARNATAKA,15382,10-Apr-2023,09-Apr-2028,9789357734,Inactive,226101,3,678303
9,6,Central Warehousing Corporation,"Central Warehousing Corporation, Bidar",1001767,"Central Warehouse, Bidar, Plot No. 11A & B Kolhar Industrial Area,",18.5166667,77.7666667,Bidar,KARNATAKA,24300,06-Feb-2023,24-Mar-2028,9689984370,Active,362817,5,1814085
10,15,Central Warehousing Corporation,CENTRAL WAREHOUSE SEDAM,6691927,"APMC YARD, SEDAM",17.3166667,76.9,Gulbarga,KARNATAKA,9100,03-Mar-2023,02-Mar-2028,9019551366,Active,132792,5,663960
11,5,Central Warehousing Corporation,CENTRAL WAREHOUSE RV LAYOUT,6702997,"No. 15, 3rd Cross, Raghavendra Layout, Opp: MEI, Tumkur Road,, Yeshwanthpur,Bangalore-560 022",13.5666667,77.05,Bangalore,KARNATAKA,5017,31-Mar-2023,30-Mar-2028,9442896649,Active,76230,25,1905750
12,26,Central Warehousing Corporation,"CENTRAL WAREHOUSE, TUMKUR",6683197,"PLOT NO. 137-139, KIADB INDUSTRIAL AREA, PHASE-II, ANTHARASANAHALLI, TUMKUR",13.3333333,77.1333333,Tumkur,KARNATAKA,21925,15-Feb-2023,14-Feb-2028,8981103851,Active,319730,8,2557840
13,25,Central Warehousing Corporation,CENTRAL WAREHOUSE SHIKARIPURA,6683460,"APMC YARD SS ROAD,",13.9333333,75.6333333,Shimoga,KARNATAKA,9873,17-Feb-2023,16-Feb-2028,9164506812,Active,142792,7,999544
14,13,Central Warehousing Corporation,"Central Warehousing Corporation, Dharwad",6706865,"Central Warehouse, No. 129, KIADB Belur, Darwad,",15.45,75.0833333,Dharwad,KARNATAKA,23939,04-Apr-2023,03-Apr-2028,7411918607,Active,342817,10,3428170
15,14,Central Warehousing Corporation,"Central Warehousing Corporation, Nargund",6688683,"APMC YARD, NARGUND",15.4166667,75.7,Gadag,KARNATAKA,8766,24-Feb-2023,23-Feb-2028,8310116209,Active,112792,7,789544
16,21,Central Warehousing Corporation,Central Warehouse Mandya,6151651,"Mysore Sugar Co. Ltd.,, Sugar Town, Opp. Goodshed, Twin Godowns,",12.8666667,77.4666667,Mandya,KARNATAKA,5538,22-Jul-2021,21-Jul-2026,8971438073,Active,78230,7,547610
17,13,Central Warehousing Corporation,CENTRAL WAREHOUSE HUBLI,6719918,"Near KOF, Taj Nagar, HUBLI",15.45,75.0833333,Dharwad,KARNATAKA,36695,24-May-2023,23-May-2028,9449528909,Active,535352,10,5353520
18,3,Central Warehousing Corporation,"Central Warehouse, Soundatti",3350023,"APMC Yard, Soundatti,",15.8666667,74.5666667,Belgaum,KARNATAKA,9000,25-May-2023,24-May-2028,9448337859,Active,132792,3,398376
19,15,Central Warehousing Corporation,CENTRAL WAREHOUSE GULBARGA-I,6712715,"CENTRAL WAREHOUSE GULBARGA, NEHRU GUNJ HUMNABAD ROAD",17.3166667,76.9,Gulbarga,KARNATAKA,9936,28-Apr-2023,27-Apr-2028,9876227183,Active,142792,5,713960
20,12,Central Warehousing Corporation,Central Warehouse Davanagere,6684997,"P B Road, Davanagere",14.5166667,75.9666667,Davanagere,KARNATAKA,21523,20-Feb-2023,19-Feb-2028,9961202133,Active,319730,4,1278920
21,23,Central Warehousing Corporation,CENTRAL WAREHOUSE RAICHUR,6680136,"LAKSHMI NARASIMHA WAREHOUSE, HUNASEHAL HUNDA",16.3666667,77.5333333,Raichur,KARNATAKA,5100,06-Feb-2023,05-Feb-2028,7772047609,Inactive,76230,6,457380
22,15,DUSHYANT MALGE,VIJAY WAREHOUSE,1550018,"PLOT NO:163,164&165, NANDUR-KESARATAGI INDUSTRIAL AREA",17.3166667,76.9,Gulbarga,KARNATAKA,1000,19-Feb-2018,18-Feb-2023,9448119099,Inactive,14592,5,72960
23,15,ERGOS BUSINESS SOLUTIONS PRIVATE LIMITED,NAGAMMA WAREHOUSE-1,6737555,"SY NO-37/2, Haranura village, Tq- Jevargi, Kalaburgi",17.3166667,76.9,Gulbarga,KARNATAKA,1584,14-Jun-2023,13-Jun-2028,7033212281,Active,17592,5,87960
24,25,ERGOS BUSINESS SOLUTIONS PRIVATE LIMITED,Dayananda Ramchandra Tarakeshava Warehouse,6738546,"SY No-41/1, KITTADAHALLI VILLAGE, SHIKARIPUR TALUK, Shivamoga",13.9333333,75.6333333,Shimoga,KARNATAKA,2450,16-Jun-2023,15-Mar-2028,7033212281,Active,35719,7,250033
25,12,ERGOS BUSINESS SOLUTIONS PRIVATE LIMITED,M ASIFULLA WAREHOUSE,6715320,"Sy No. 1/7, #398, Gollarahalli VILLAGE, Honnali-Harihara Road, Honnali",14.5166667,75.9666667,Davanagere,KARNATAKA,600,03-May-2023,02-May-2028,7033212281,Active,8755,4,35020
26,11,ERGOS BUSINESS SOLUTIONS PRIVATE LIMITED,BT. Niranjana Murthy Warehouse,6737191,"Khata No. SY No. 22/1, Bharamsagara, Chitradurga",14.2333333,76.4333333,Chitradurga,KARNATAKA,1660,14-Jun-2023,13-Jun-2028,7033212281,Active,24223,7,169561
27,15,Gurusiddayya Hiremath,Anagha Ware House,4870013,"Plot No. 61 (P2), Nandur-Kesaratgi Industrial Area",17.3166667,76.9,Gulbarga,KARNATAKA,2262,05-Oct-2018,04-Oct-2023,9972112119,Inactive,33008,5,165040
28,13,Hubli Cold Storage Pvt Ltd,Hubli Cold Storage Private Limited,6782460,"3rd Main Cross APMC Yard,Amargol,",15.45,75.0833333,Dharwad,KARNATAKA,9000,19-Sep-2023,18-Sep-2028,9848139469,Active,132792,10,1327920
29,19,Karnataka State Warehouse Corporation,KSWC Bangarpet,6723878,"APMC YARD ,BANGARPET,",13.15,78.1833333,Kolar,KARNATAKA,4400,29-May-2023,28-May-2028,7760966931,Active,64207,10,642070
30,6,Karnataka State Warehouse Corporation,BIDAR KIADB,6609754,"KIADB INDUSTRIAL AREA, Kolhar Industrial Area",18.5166667,77.7666667,Bidar,KARNATAKA,42000,03-Aug-2022,02-Aug-2027,7760967034,Active,612889,5,3064445
31,21,Karnataka State Warehouse Corporation,SWC Maddur,6620827,"Chamanahalli, Koppa road, Maddur,",12.8666667,77.4666667,Mandya,KARNATAKA,6195,23-Aug-2022,22-Aug-2027,7760966949,Active,90401,5,452005
