District ID,maize,tur,jowar,rice
1,68045,25303.3,94097.42222,0
2,9041.833333,1481.7,533.8666666,743.6
3,153168.4445,4394.6,130945.9555,71010.5
4,169058.8667,6554.1,29139.73333,112126.3
5,1134.611111,420,356.8888889,297
6,674.3333333,86548,28018.06667,712.6
7,50520,0,146185.6,0
8,29289,864.6,8648.444444,3312.1
9,39135.22222,7504,14556.17778,474.1
10,20592,356.3,8337.777778,25539.42222
11,97127.83333,9336.6,4080.266667,1108.8
12,189436,8957.3,3241.333334,67320.86667
13,42650,616.7,30534.31111,15694.7
14,54946,0,15315.06184,1705.9
15,2261,361688.8,122037.4222,8616.3
16,87526,1784.2,12232.97777,23787.5
17,191315,2629.687425,48526.31257,19411
18,3558,0,0,19019.7
19,1098,2021.077778,1063.822222,1381.6
20,73290,12078.5,25011.46667,59332.9
21,10287,1152.8,3184.622222,37238.3
22,47159.47778,2224.2,9635.022223,71640.8
23,4599,26731.6,124904.2667,124802.7
24,2671.644445,2363.9,1665.155555,3005.8
25,60274.74444,343.7,177.9555556,102867.6
26,29469,7674.1,1344.622222,3400.6
27,10203,2.2,71.37777778,44007.6
28,0,0,0,21268.5
29,1.555555556,0,3.911111111,40852.03333
30,128,63838.5,22929.86666,115987.3
