District ID,Cost,Yield,Price,Demand Max,Demand Min,,W,1.6,11.1.4
1,37084,0.94,5500,88451.57689,72369.472,,-1.007821972,47850.16,
2,37084,1.37,7200,731.3973333,598.416,,-0.296022527,47850.16,
3,37084,1.68,6000,219989.2053,179991.168,,-1.007821972,47850.16,
4,37084,2.15,4700,62650.42667,51259.44,,-0.131761117,47850.16,
5,37084,1.37,7200,488.9377778,400.04,,-0.296022527,47850.16,
6,37084,1.14,5500,32912.76267,26928.624,,-1.007821972,47850.16,
7,37084,0.805,5500,117679.408,96283.152,,-1.007821972,47850.16,
8,37084,0.905,5500,7826.842222,6403.78,,0.095076069,47850.16,
9,37084,1.37,5500,19941.96356,16316.152,,0.365289644,47850.16,
10,37084,0.88,3900,11529.95556,9433.6,,-0.106339708,47850.16,
11,37084,1.29,5808,5263.544,4306.536,,-0.07439999,47850.16,
12,37084,1.55,5200,5024.066667,4110.6,,-0.167394545,47850.16,
13,37084,0.66,5500,31668.44267,25910.544,,-1.007821972,47850.16,
14,37084,0.545,5500,34793.91422,28467.748,,-1.007821972,47850.16,
15,37084,1.12,5500,136681.9129,111830.656,,-1.007821972,47850.16,
16,37084,0.93,6650,11376.66933,9308.184,,0.183073253,47850.16,
17,37084,0.735,5400,34370.23333,28121.1,,-1.007821972,47850.16,
18,37084,0,5500,0,0,,-1.007821972,47850.16,
19,37084,1.37,5200,1457.436444,1192.448,,0.365289644,47850.16,
20,37084,0.585,3000,22992.684,18812.196,,-1.007821972,47850.16,
21,37084,1.37,5800,4362.932444,3569.672,,-0.029364394,47850.16,
22,37084,1.02,7000,9827.722667,8040.864,,0.095076069,47850.16,
23,37084,1.455,5500,181735.708,148692.852,,-1.007821972,47850.16,
24,37084,1.37,5500,2281.263111,1866.488,,-0.296022527,47850.16,
25,37084,2.405,7000,427.9831111,350.168,,-0.296022527,47850.16,
26,37084,1.19,2900,2514.443556,2057.272,,-0.124916892,47850.16,
27,37084,1.185,5500,84.58266667,69.204,,-1.007821972,47850.16,
28,37084,0,5500,0,0,,-1.007821972,47850.16,
29,37084,1.25,5500,4.888888889,4,,-1.007821972,47850.16,
30,37084,1.31,5500,30038.12533,24576.648,,-1.007821972,47850.16,
