District ID,Cost,Yield,Price,Demand Max,Demand Min,,W,1.6,11.1.4
1,70000,2.85,3000,0,0,,-1.007821972,47850.16,
2,70000,2.97,3800,2208.492,1806.948,,-0.296022527,47850.16,
3,70000,2.825,3500,200604.6625,164131.0875,,-1.007821972,47850.16,
4,70000,3.12,3500,349834.056,286227.864,,-0.131761117,47850.16,
5,70000,3.42,3800,1015.74,831.06,,-0.296022527,47850.16,
6,70000,1.29,4500,1444.542,1181.898,,-1.007821972,47850.16,
7,70000,2.86,3000,0,0,,-1.007821972,47850.16,
8,70000,3.635,4000,12039.4835,9850.4865,,0.095076069,47850.16,
9,70000,3.62,3000,1716.242,1404.198,,0.365289644,47850.16,
10,70000,2.455,3400,72638.049,59431.131,,-0.106339708,47850.16,
11,70000,2.165,2830,3772.296,3086.424,,-0.07439999,47850.16,
12,70000,3.535,2280,250431.0655,204898.1445,,-0.167394545,47850.16,
13,70000,0.75,1370,18497.325,15134.175,,-1.007821972,47850.16,
14,70000,2.825,1850,7572.9775,6196.0725,,-1.007821972,47850.16,
15,70000,3,3000,25848.9,21149.1,,-1.007821972,47850.16,
16,70000,2.8,3500,66605,54495,,0.183073253,47850.16,
17,70000,1.71,1780,52160.13,42676.47,,-1.007821972,47850.16,
18,70000,2.58,1800,77111.298,63091.062,,-1.007821972,47850.16,
19,70000,2.48,4000,3426.368,2803.392,,0.365289644,47850.16,
20,70000,3.7,2370,219531.73,179616.87,,-1.007821972,47850.16,
21,70000,3.1,2900,115438.73,94449.87,,-0.029364394,47850.16,
22,70000,3.035,3000,217429.828,177897.132,,0.095076069,47850.16,
23,70000,2.715,2600,338839.3305,277232.1795,,-1.007821972,47850.16,
24,70000,2.56,3000,12091.904,9893.376,,-0.296022527,47850.16,
25,70000,2.745,4200,282371.562,231031.278,,-0.296022527,47850.16,
26,70000,2.645,2400,14134.351,11564.469,,-0.124916892,47850.16,
27,70000,2.035,2350,140730.018,115142.742,,-1.007821972,47850.16,
28,70000,2.805,3300,102321.351,83717.469,,-1.007821972,47850.16,
29,70000,2.96,2800,153341.32,125461.08,,-1.007821972,47850.16,
30,70000,3.015,3000,349701.7095,286119.5805,,-1.007821972,47850.16,
