District ID,maize,tur,jowar,rice
1,62916,23003,110935,0
2,9449,1347,0,676
3,141195,6278,145000,64555
4,97818,9363,39315,101933
5,1153,600,0,270
6,867,78680,42688,1018
7,50520,262563,145997,0
8,29289,786,24298,3011
9,59501,10720,0,431
10,15287,509,13216,26898
11,80866,13338,13883,1584
12,189436,8143,10128,64403
13,27986,881,61361,22421
14,38468,3373,76856,2437
15,2220,328808,206682,7833
16,82852,1622,1455,21625
17,185153,1221,31769,27730
18,3558,0,0,27171
19,114,2297,0,1256
20,63744,17255,47261,53939
21,10287,1048,0,33853
22,49309,2022,5238,65128
23,1592,38188,67057,113457
24,2160,3377,0,4294
25,71212,491,143,93516
26,20122,10963,0,4858
27,9868,2,2,62868
28,0,0,0,33162
29,6,0,0,47095
30,60,58035,44824,105443
