Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 10, 'wheat': 10}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 9, 'wheat': 10}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 8, 'wheat': 10}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 7, 'wheat': 10}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 6, 'wheat': 10}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 5, 'wheat': 10}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 4, 'wheat': 10}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 3, 'wheat': 10}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 2, 'wheat': 10}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 1, 'wheat': 10}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 0, 'wheat': 10}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 10, 'wheat': 9}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 9, 'wheat': 9}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 8, 'wheat': 9}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 7, 'wheat': 9}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 6, 'wheat': 9}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 5, 'wheat': 9}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 4, 'wheat': 9}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 3, 'wheat': 9}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 2, 'wheat': 9}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 1, 'wheat': 9}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 0, 'wheat': 9}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 10, 'wheat': 8}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 9, 'wheat': 8}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 8, 'wheat': 8}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 7, 'wheat': 8}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 6, 'wheat': 8}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 5, 'wheat': 8}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 4, 'wheat': 8}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 3, 'wheat': 8}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 2, 'wheat': 8}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 1, 'wheat': 8}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 0, 'wheat': 8}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 10, 'wheat': 7}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 9, 'wheat': 7}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 8, 'wheat': 7}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 7, 'wheat': 7}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 6, 'wheat': 7}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 5, 'wheat': 7}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 4, 'wheat': 7}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 3, 'wheat': 7}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 2, 'wheat': 7}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 1, 'wheat': 7}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 0, 'wheat': 7}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 10, 'wheat': 6}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 9, 'wheat': 6}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 8, 'wheat': 6}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 7, 'wheat': 6}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 6, 'wheat': 6}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 5, 'wheat': 6}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 4, 'wheat': 6}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 3, 'wheat': 6}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 2, 'wheat': 6}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 1, 'wheat': 6}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 0, 'wheat': 6}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 10, 'wheat': 5}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 9, 'wheat': 5}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 8, 'wheat': 5}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 7, 'wheat': 5}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 6, 'wheat': 5}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 5, 'wheat': 5}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 4, 'wheat': 5}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 3, 'wheat': 5}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 2, 'wheat': 5}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 1, 'wheat': 5}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 0, 'wheat': 5}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 10, 'wheat': 4}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 9, 'wheat': 4}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 8, 'wheat': 4}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 7, 'wheat': 4}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 6, 'wheat': 4}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 5, 'wheat': 4}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 4, 'wheat': 4}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 3, 'wheat': 4}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 2, 'wheat': 4}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 1, 'wheat': 4}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 0, 'wheat': 4}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 10, 'wheat': 3}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 9, 'wheat': 3}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 8, 'wheat': 3}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 7, 'wheat': 3}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 6, 'wheat': 3}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 5, 'wheat': 3}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 4, 'wheat': 3}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 3, 'wheat': 3}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 2, 'wheat': 3}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 1, 'wheat': 3}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 0, 'wheat': 3}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 10, 'wheat': 2}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 9, 'wheat': 2}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 8, 'wheat': 2}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 7, 'wheat': 2}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 6, 'wheat': 2}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 5, 'wheat': 2}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 4, 'wheat': 2}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 3, 'wheat': 2}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 2, 'wheat': 2}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 1, 'wheat': 2}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 0, 'wheat': 2}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 10, 'wheat': 1}}
Profit:430760.98325516173 for allocation {'1': {'rice': 5, 'wheat': 10}, '2': {'rice': 10, 'wheat': 10}, '3': {'rice': 9, 'wheat': 1}}
